"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"X77094_rsxE",0.0328189194072674,0.00714271590985043,0.02029027442379,0.0796558082399632,0.000670075411773058
"X78577_ispB",0.00520810117149298,0.00616705793044396,0.0203057176992774,0.152350213535418,0.0591927811116037
"X77329_yebC",0.0605950247389614,0.0137943766367274,0.0228048764099161,0.0265209539410328,0.0102225763285867
"X76065_fepD",1.98600997406399e-06,0.0979331936315867,0.0704410855995372,0.000295743258428418,0.00352145255569814
"X77731_alaA",0.0168170973026305,0.000236285401411741,0.000262788604287705,0.0714685457397163,0.000232751140225189
"X78045_yfjD",0.0198932106562992,0.00430396194772827,0.0326024746000854,0.0249152131232608,0.0086896658292422
"X79425_fdhF",0.00365774698400041,0.11475842271849,0.0334050750173853,0.000517682440726286,0.00249657965705536
"X77188_ydjM",0.00513162069446622,0.118980771886026,0.000584013547195143,0.0128272891353589,0.0140862572482328
"X77951_rodZ",9.88290437335622e-05,0.000311719165259374,0.149124339500248,0.0264631358017405,6.2075037265912e-06
"X4393_Putative_transcripti..",0.0503751757809771,0.0288351028156917,0.0290385991432474,0.00770565697173532,0.0237988459697872
"X78042_rpsP",0.0797238617120157,0.0012746918922821,0.0122113246565844,0.00483957386241139,0.00914296760724658
"X77472_hisA",0.0257593071667176,0.0132960197003002,0.00959193721067571,0.0119367906159407,0.00164524667557093
"X77933_upp",0.060636357080225,0.00212055736157051,0.0365626847160839,0.0232560491650924,0.0108557355563
"X77757_accD",0.0508884834085287,0.000789551652795102,0.00785792415488424,0.0635753386154439,0.00531432292048777
"X78326_yggE",0.0476704025858902,0.0516444161360179,0.0154794062286451,0.000733339642788237,0.0169445439010787
"X78548_yhbT",0.0384091318995221,0.0225100712785045,0.0449575679223321,0.0149957535664431,0.00328384059313593
"X79357_yjaB",0.0390786701332438,0.0161634555889074,0.000845186446143362,0.0702385322779761,0.0559646635811427
"X78984_gpsA",0.0163967744237684,0.00578686866108387,0.00999797975003387,0.0465131812848012,0.0836980245753542
"X76673_chaA",0.0101798781657475,0.0502812373557147,0.039760982668862,0.0430199797750932,0.00066688177681248
"X77324_ruvB",0.0178972701001856,0.0741224171114664,0.0197011248891452,2.16889752228657e-07,0.00865976665500928
"X75602_ppdD",0.0053518519051723,0.0155828517735371,0.0177344155402521,0.100124439393773,0.0554007543620101
"X77343_flhE",0.0415001213747416,0.0417263118949806,0.00143410908682963,0.000397660504895081,6.80060965577071e-05
"X3665_Hypothetical_oxidore..",0.000316820200412589,0.0785032970027906,0.0206964302310279,0.0416204889636752,0.0650545194725464
"X79118_atpI",0.055732142228202,0.0292971473763724,9.71796622206367e-05,0.0120743195304356,0.00918417451821555
"X395_2.5.diketo.D.gluconi..",0.0846277657099846,0.0065103320415136,0.000918384526822887,7.16542853295725e-05,7.5521238598909e-05
"X78928_yiaG",0.0655179213960909,0.0139623955963286,0.00844647884318169,0.00112540013047142,0.0657669136533272
"X79401_aphA",0.0350502428274349,0.046126449315279,0.0455914240515271,0.00697671644462344,0.000262283341311627
"X76090_citX",0.00106314047285636,0.109855384078528,0.0419128492971726,0.0106172663381813,0.000246892409290037
"X77691_nudI",0.0386373398761171,0.00260010281903949,0.004224807352952,0.149431365497372,0.000273736661410093
"X75621_yadG",0.00782589514315505,0.0420996531916221,0.123490749847207,0.00288057733233488,0.000822658399883033
"X77688_yfaX",0.0562663613208677,0.0209958994021462,0.0190087444601255,0.0245339934082081,0.0107278364984947
"X79715_deoA",0.068304853389315,0.0020528098427533,0.0227449222682382,0.00674506105234526,7.53171758814471e-05
"X79601_holC",0.0320852562545874,0.0650376519015521,0.0093605709590381,4.05054746961655e-05,0.020675052321357
"X4663_Putative_conserved_p..",0.049166923946796,0.00206444046087794,0.00792298591123245,0.110780990859702,0.00909199135206763
"X79673_yjiM",0.0339053003597273,0.0415766962699924,0.0369015169576754,0.0222416077226584,0.0174037531906009
"X77971_hcaT",0.0322132881854375,0.0676550409195726,9.4736742742104e-05,0.0089240355385572,0.00777462757537212
"X77172_btuC",0.00195961290416903,0.0100947887326247,2.51605528365444e-05,0.00626575245543645,0.0918205155276944
"X75626_rpnC",0.0272024016290878,0.00632513958647603,0.0128685911863877,0.0328962413965146,0.0292475043494204
"X75585_murG",0.00136167216539356,0.0889880964470562,0.0290598304529379,0.000366986856804399,0.0569303138756344
"X78708_gspH",0.00292420518612847,0.0900082111325389,0.0503260566896121,0.0325077488755964,0.0112770347637502
"X77621_yejA",0.0356170664913048,0.00126531247260206,0.075855112912229,0.0170242888251202,0.0462047306498021
"X77282_manZ",0.00302307528757355,0.000963763028263594,0.0363345435840244,0.0420712852782842,0.10112255342771
"X76648_ycgR",0.0174115663700788,0.0195223299981437,0.00822867578691815,0.0978109705747793,0.096191853369504
"X79597_rraB",0.00606116966039476,0.0416710249895894,0.0349291911664908,0.0392366651722107,0.0201027007997056
"X77266_rnd",0.065364519914753,0.0136572619467839,0.0338256596812806,0.00129868539128943,0.0136340291684191
"X79279_yiiR",0.000979928827145603,5.89890615738053e-05,0.0882439809872089,0.021279880806594,0.0801775900651457
"X78668_trkA",0.00706255729667808,0.0110324781023591,0.0343411277379015,0.12526537626536,0.0394784669293311
"X76172_ybgI",0.0723361896579032,0.0203662888806375,0.01111105743589,0.00173330294304425,0.00546437234013084
"X3424_Hypothetical_protein",0.000594970966154122,0.00619052286205774,0.192196912273795,0.0026695154810036,0.0119075776067992
"X75888_tsx",0.0456749237255436,0.0195324630702844,0.0193565142448461,0.0170126203054048,0.00151896233072613
"X77309_ptrB",0.0702232516422983,0.0149817274110893,0.000593251999658295,0.00581516846701341,0.0250479392050035
"X79507_mscM",0.0199136673649346,0.0299659492433656,0.0171873224993313,0.0617904982664038,0.0124568991582362
"X79645_nanC",0.0512161241290616,0.0342585153985054,0.00358587291024773,1.22821949194242e-05,0.0414210089001701
"X76524_flgM",0.0277267299704843,0.0368093099348035,0.0148531801954069,0.0572240999387722,0.0418832365938324
"X76316_rlmC",0.0253127813119544,0.0887031377588169,0.00457552204150842,0.0147911347460316,0.0242130134296111
"X11107_dsdA_1",0.00203737229159213,0.0059895796825704,0.0682792781318196,0.0796311573120856,0.103674099412177
"X77734_hxpA",0.0503330940401929,0.0481678606598875,0.000970200932248714,0.0102834746551197,0.00261284930602217
"X77692_ais",0.0095037795001092,0.000105061284888487,0.0517111717178493,0.0186787207374761,0.0718425557824448
"X79293_priA",0.0368712403242666,0.059109081619677,0.00674443750445615,0.00288855306622602,0.0314914772221558
"X78352_yqgF",0.0286910824517532,0.0269849522984037,0.108951259029971,0.00128927922620946,0.00034719483844606
"X76426_yccA",0.0180577121476335,0.0129347509494658,0.022900414482648,0.138778203926503,0.00880231012119358
"X79053_yidH",0.0561518160582793,0.0121059473026315,0.00448352648602531,0.00472703390862951,0.0185874690471511
"X75566_leuD",0.0392081956603332,0.00207676448436889,0.088298053115991,0.00751914121947826,0.000247571584573332
"X78882_yhiD",0.0699779829406728,0.00101669023456702,0.0018842701260883,0.00734388392632957,0.0456942037148125
"X76117_ybeL",0.074948031334355,0.000452255181138282,0.00636498952747992,0.0266106116885705,0.00197458187087446
"X76314_potI",0.0355773805424512,0.0058767127977224,0.0224384511161376,0.101516464723627,0.000220754225875866
"X79354_purD",4.41816845203543e-06,0.00693523241241825,0.0567849554061983,0.159708309551752,0.021585478096977
"X79247_yiiD",0.0607794144384896,0.00136590019449264,0.000296121682643185,0.000362425548381332,0.0460382610210116
"X77533_yegS",0.0720709318017917,0.0195774272980334,0.00128976750030409,0.00365544271524844,0.00022872048708447
"X77959_iscX",0.00115787511728661,0.0298550131193643,0.0118570085399695,0.0911334354533175,0.0085760517097487
"X78996_waaF",0.0395417679794831,0.0015548492575811,0.00457117744382818,0.00295236911949753,0.073212604887195
"X76698_oppB",0.000424774468522281,0.0070249458742422,0.121965338080244,0.000816514909155909,0.00908265128046831
"X78942_xylG",0.0662611477513325,0.000970100344542001,0.0293249889374618,0.0338412135706313,0.00947093115809008
"X78080_lhgO",0.0670113763265447,0.0180293071777563,0.0088516344099803,0.000246579015961549,0.0252113640909559
"X78748_cysG",0.000354966228394887,0.0843536141474727,0.0576135970701414,0.00235229887082998,0.00118887302338921
"X77696_arnD",0.0494857772661377,0.0303342857210055,0.0202124546599474,0.0003452603966754,0.0487992059892733
"X79562_ytfK",0.0419755794748757,8.05917769550207e-05,0.0183974967379362,0.11926762905475,1.15337755837312e-05
"X77657_ompC",0.0338128668971939,0.0129917139495865,0.00313402725361459,0.000252682514755854,0.0688602164280793
"X78474_ebgC",0.0161726505055843,0.0991215710799097,0.0098534031590419,0.00663294443412381,1.14652130293153e-05
"X76898_ydcR",0.00424703906377454,0.054909388369567,0.0236309549965387,0.0802969461182582,0.0509946943595152
"X79442_phnM",0.0397932416251512,0.016375733385711,0.0247787231916757,0.0334870080685164,0.0739888152483089
"X77285_rlmA",0.0333179268357639,0.0370365846244946,0.0195581673898421,0.00282101342615784,0.0986800458355291
