,predict,resid,K-12,Gene Name
PROKKA_00017,1.6623438591009156,-0.07542874204523775,b1504,ydeS
PROKKA_00018,1.8573347105716875,0.7932213917052908,b1503,ydeR
PROKKA_00019,1.8077199957230654,-0.07471846839240714,b1502,ydeQ
PROKKA_00020,3.4503101647943266,-1.022442520544725,b1501,ydeP
PROKKA_00021,0.6417808636301993,-0.09990938716018194,b1500,safA
PROKKA_00022,1.478264811253914,-0.6005674373480333,b1499,ydeO
PROKKA_00023,6.279146280369133,0.09530933419863885,b1498,ydeN
PROKKA_00024,3.093228845939388,-0.20061127439633086,b1497,ydeM
PROKKA_00025,3.4102013088228333,5.115921180157912,b1496,yddA
PROKKA_00026,3.6103960199948353,3.957164012927197,b1495,yddB
PROKKA_00027,3.5892170667975756,4.2110085564922315,b1494,pqqL
PROKKA_00029,8.124131238248781,-5.017862820963794,b1492,gadC
PROKKA_00030,5.177389803968813,-0.06217509870898308,b1491,yddW
PROKKA_00033,9.365811355702645,-3.374956631078674,b1482,osmC
PROKKA_00034,7.123009819410151,-2.8175539919122468,b1481,bdm
PROKKA_00035,8.387456557094493,-2.106608710521358,b1480,sra
PROKKA_00036,8.088624177818131,-1.1128657897377252,b1479,maeA
PROKKA_00041,3.5471236672828352,-0.24280509010524254,b1477,yddM
PROKKA_00042,4.370359313670652,2.6608669295458176,b1476,fdnI
PROKKA_00043,2.293354818885186,3.130674827859959,b1475,fdnH
PROKKA_00044,1.6399477569933858,3.0445658991932563,b1474,fdnG
PROKKA_00047,3.985720175881065,0.3324962290133602,b1473,yddG
PROKKA_00048,4.074258725186784,-2.8248543934968886,b1469,narU
PROKKA_00049,3.9914512066850034,-2.5715943335831497,b1468,narZ
PROKKA_00050,4.600643715280403,-2.5665497094069787,b1467,narY
PROKKA_00051,4.2651668565812395,-2.9270115594676334,b1466,narW
PROKKA_00052,3.5839195902170973,-2.751235979126196,b1465,narV
PROKKA_00053,4.717815140710866,1.2884206315615998,b1464,yddE
PROKKA_00054,5.7102994869333425,-0.4640663158664129,b1463,nhoA
PROKKA_00055,4.52207588449505,-3.099825760883431,b1462,yddH
PROKKA_00056,4.221514512302708,-0.10242272592029966,b1461,pptA
PROKKA_00067,2.5482403092233725,0.29264579218434017,b1453,ansP
PROKKA_00068,5.358941273500438,5.248382552830664,b1452,yncE
PROKKA_00069,4.642122127078074,0.2230816107756457,b1451,yncD
PROKKA_00071,5.007479059778528,0.519552604773625,b1448,mnaT
PROKKA_00072,3.8779466847351003,0.7733403125338976,b1447,ydcZ
PROKKA_00073,9.058082540532489,1.3346845474390996,b1446,ydcY
PROKKA_00074,4.814180633467059,3.47534243197571,b1445,ortT
PROKKA_00075,6.884770346687895,-4.431815039053809,b1444,patD
PROKKA_00076,6.699226409087975,-4.8213057178195085,b1443,ydcV
PROKKA_00077,3.392872112703066,-3.0992074278109825,b1442,ydcU
PROKKA_00078,5.090881960929081,-3.459989476774326,b1441,ydcT
PROKKA_00079,5.784916810261491,-3.54901219209553,b1440,ydcS
PROKKA_00080,4.32376916811283,-0.05460652362142504,b1439,ydcR
PROKKA_00081,2.9850810772172607,0.9569934015540258,b1436,yncJ
PROKKA_00082,5.229369902377672,0.7428120072176796,b1435,rlhA
PROKKA_00083,3.7434797473571466,0.5069383628094002,b1434,sutR
PROKKA_00084,2.9996912668458173,-0.31315810677543565,b1433,ydcO
PROKKA_00085,7.734211843167799,-1.886070115688141,b1431,ydcL
PROKKA_00086,6.280859654129587,2.5399298327125646,b1430,tehB
PROKKA_00087,4.849562650027259,1.6758517230257075,b1429,tehA
PROKKA_00088,5.191245877420683,-2.2630909998110265,b1428,ydcK
PROKKA_00089,5.063655671825125,0.5301283909868513,b1427,rimL
PROKKA_00090,8.321639646502984,1.7929802458608393,b1426,ydcH
PROKKA_00091,5.791059692893459,0.5943257066272496,b1424,opgD
PROKKA_00092,6.760392529863687,-3.2403556353236933,b1423,ydcJ
PROKKA_00093,5.687202618910351,-1.0470530126097524,b1422,ydcI
PROKKA_00095,4.423058887722845,1.775581812483674,b1419,ydcA
PROKKA_00097,6.2529307177380655,0.7295421393067665,b1418,cybB
PROKKA_00101,4.505479707593387,0.14017709106615506,b1414,ydcF
PROKKA_00102,4.828704697316628,0.621165250103755,b1413,hrpA
PROKKA_00103,5.34169543386152,3.866336138803198,b1412,azoR
PROKKA_00105,6.207124876669583,-2.62011795165615,b1406,pdxI
PROKKA_00108,5.423373060170887,-0.548290300316733,b1383,ydbL
PROKKA_00109,5.0570851885015005,-0.22123305755963774,b1382,ynbE
PROKKA_00110,4.1819111719273465,0.2728656238422529,b1381,ydbH
PROKKA_00111,6.008826677953677,0.658366000636506,b1380,ldhA
PROKKA_00112,4.752021099449565,1.6712420506979102,b1379,hslJ
PROKKA_00113,7.327487800397399,-1.877077525286528,b4529,ydbJ
PROKKA_00115,5.269883218368688,-1.2437003485075362,b1378,ydbK
PROKKA_00117,2.580239044546563,-0.5468510009223455,b1377,ompN
PROKKA_00118,9.067159519168108,-1.905357380055408,b1376,uspF
PROKKA_00120,5.434157021095129,1.4318123329414076,b1344,ttcA
PROKKA_00121,4.575176977958999,0.4257865461695731,b1343,dbpA
PROKKA_00122,6.550223153819076,-5.394523745617307,b4743,ynaL
PROKKA_00124,5.30577358486528,-0.4023803103553272,b1342,zntB
PROKKA_00126,5.915313482500813,-2.715200492661354,b1341,dgcM
PROKKA_00127,5.283117419560557,-0.23557341054681658,b1340,smrA
PROKKA_00134,8.595254744849708,0.9754889119195926,b1334,fnr
PROKKA_00135,7.453328961092281,-0.05016805959449755,b1333,uspE
PROKKA_00136,8.593317480703105,-0.551994041181274,b1332,ynaJ
PROKKA_00137,5.274728079618779,0.2591322454286846,b1330,ynaI
PROKKA_00138,6.115276905797881,-0.4584081413430354,b1329,mppA
PROKKA_00139,4.176322909455777,0.6639745479444379,b1328,pgrR
PROKKA_00140,5.65145702526369,-1.6403065885359975,b1327,ycjY
PROKKA_00142,4.011223522890443,-1.6649174319044797,b1326,mpaA
