,predict,resid,K-12,Gene Name
PROKKA_00017,2.441029081872471,-0.854113964816793,b1504,ydeS
PROKKA_00018,2.8244845340277127,-0.17392843175073436,b1503,ydeR
PROKKA_00019,2.6081383099607893,-0.8751367826301311,b1502,ydeQ
PROKKA_00020,4.024444406157043,-1.5965767619074414,b1501,ydeP
PROKKA_00021,0.7292215629774071,-0.18735008650738982,b1500,safA
PROKKA_00022,2.5932250052921004,-1.7155276313862196,b1499,ydeO
PROKKA_00023,5.734499698471964,0.6399559160958077,b1498,ydeN
PROKKA_00024,3.0305819326094827,-0.1379643610664254,b1497,ydeM
PROKKA_00025,4.977150311633409,3.548972177347336,b1496,yddA
PROKKA_00026,4.607922680672104,2.9596373522499286,b1495,yddB
PROKKA_00027,4.258242336329619,3.5419832869601873,b1494,pqqL
PROKKA_00029,8.313519085643707,-5.20725066835872,b1492,gadC
PROKKA_00030,3.28817603228674,1.82703867297309,b1491,yddW
PROKKA_00033,10.648910230368019,-4.658055505744048,b1482,osmC
PROKKA_00034,7.363643406208425,-3.0581875787105206,b1481,bdm
PROKKA_00035,9.716064267678226,-3.43521642110509,b1480,sra
PROKKA_00036,7.111904464423757,-0.1361460763433513,b1479,maeA
PROKKA_00041,3.95053125053529,-0.6462126733576974,b1477,yddM
PROKKA_00042,4.7606055091902775,2.270620734026192,b1476,fdnI
PROKKA_00043,2.639681160488027,2.7843484862571186,b1475,fdnH
PROKKA_00044,2.029315671076042,2.6551979851106,b1474,fdnG
PROKKA_00047,3.8402868827076966,0.4779295221867286,b1473,yddG
PROKKA_00048,6.177981912240281,-4.928577580550385,b1469,narU
PROKKA_00049,5.462096467679228,-4.042239594577374,b1468,narZ
PROKKA_00050,6.374303211969725,-4.340209206096301,b1467,narY
PROKKA_00051,5.649869152324786,-4.31171385521118,b1466,narW
PROKKA_00052,5.744260805315273,-4.911577194224372,b1465,narV
PROKKA_00053,4.325329972486516,1.6809057997859496,b1464,yddE
PROKKA_00054,6.666582799501285,-1.420349628434355,b1463,nhoA
PROKKA_00055,5.78648835847482,-4.364238234863201,b1462,yddH
PROKKA_00056,5.239490659395248,-1.1203988730128396,b1461,pptA
PROKKA_00067,2.5915060371188043,0.24938006428890835,b1453,ansP
PROKKA_00068,7.567092607436278,3.0402312188948244,b1452,yncE
PROKKA_00069,4.811878454605365,0.053325283248354616,b1451,yncD
PROKKA_00071,6.448675848208378,-0.921644183656225,b1448,mnaT
PROKKA_00072,5.355496272381837,-0.7042092751128388,b1447,ydcZ
PROKKA_00073,9.61815806757669,0.7746090203948981,b1446,ydcY
PROKKA_00074,5.8463215352086095,2.443201530234159,b1445,ortT
PROKKA_00075,6.656211501243645,-4.203256193609559,b1444,patD
PROKKA_00076,6.389173478657979,-4.511252787389512,b1443,ydcV
PROKKA_00077,3.778813671496999,-3.4851489866049152,b1442,ydcU
PROKKA_00078,5.7405753657866505,-4.109682881631896,b1441,ydcT
PROKKA_00079,6.4475682332420075,-4.211663615076047,b1440,ydcS
PROKKA_00080,4.107276297873222,0.16188634661818302,b1439,ydcR
PROKKA_00081,4.1113004164957445,-0.16922593772445804,b1436,yncJ
PROKKA_00082,4.507925919518114,1.4642559900772376,b1435,rlhA
PROKKA_00083,3.7923659251015236,0.4580521850650232,b1434,sutR
PROKKA_00084,3.693452486144677,-1.0069193260742955,b1433,ydcO
PROKKA_00085,7.081478323007012,-1.233336595527354,b1431,ydcL
PROKKA_00086,6.165546965708325,2.655242521133827,b1430,tehB
PROKKA_00087,5.1150262300110185,1.4103881430419483,b1429,tehA
PROKKA_00088,6.511430360797865,-3.5832754831882085,b1428,ydcK
PROKKA_00089,6.0272651100286065,-0.43348104721663017,b1427,rimL
PROKKA_00090,10.65889389407213,-0.5442740017083061,b1426,ydcH
PROKKA_00091,4.730399839049182,1.654985560471526,b1424,opgD
PROKKA_00092,6.717617182563602,-3.197580288023609,b1423,ydcJ
PROKKA_00093,6.459720476364074,-1.819570870063476,b1422,ydcI
PROKKA_00095,5.551905648570669,0.6467350516358499,b1419,ydcA
PROKKA_00097,5.789783016574603,1.192689840470229,b1418,cybB
