,predict,resid,K-12,Gene Name
PROKKA_00017,2.360288186869663,-0.7733730698139851,b1504,ydeS
PROKKA_00018,3.554694897506561,-0.9041387952295827,b1503,ydeR
PROKKA_00019,3.20997619686851,-1.4769746695378518,b1502,ydeQ
PROKKA_00020,3.2453882352289485,-0.8175205909793468,b1501,ydeP
PROKKA_00021,0.9781619478351771,-0.43629047136515975,b1500,safA
PROKKA_00022,2.892354327386033,-2.014656953480152,b1499,ydeO
PROKKA_00023,6.582103174571156,-0.2076475600033838,b1498,ydeN
PROKKA_00024,3.0433897631381965,-0.15077219159513922,b1497,ydeM
PROKKA_00025,7.168807355913353,1.3573151330673916,b1496,yddA
PROKKA_00026,6.920759740378635,0.6468002925433973,b1495,yddB
PROKKA_00027,6.986590822870157,0.8136348004196492,b1494,pqqL
PROKKA_00029,6.816851342414525,-3.710582925129538,b1492,gadC
PROKKA_00030,3.705998214175973,1.409216491083857,b1491,yddW
PROKKA_00033,7.339425354866478,-1.3485706302425067,b1482,osmC
PROKKA_00034,6.610391761695852,-2.304935934197948,b1481,bdm
PROKKA_00035,5.9982852027597655,0.28256264381337015,b1480,sra
PROKKA_00036,6.27865489033476,0.6971034977456458,b1479,maeA
PROKKA_00041,2.449317948629455,0.8550006285481375,b1477,yddM
PROKKA_00042,8.779219801832314,-1.7479935586158444,b1476,fdnI
PROKKA_00043,7.73808701838065,-2.3140573716355046,b1475,fdnH
PROKKA_00044,7.765012237615213,-3.0804985814285715,b1474,fdnG
PROKKA_00047,3.264769085777866,1.0534473191165592,b1473,yddG
PROKKA_00048,1.4812324159999162,-0.23182808431002067,b1469,narU
PROKKA_00049,1.8807436809052862,-0.4608868078034327,b1468,narZ
PROKKA_00050,2.4007828336352754,-0.3666888277618514,b1467,narY
PROKKA_00051,1.613970347960759,-0.2758150508471531,b1466,narW
PROKKA_00052,2.1498687612597376,-1.3171851501688363,b1465,narV
PROKKA_00053,2.8548866942260718,3.151349078046394,b1464,yddE
PROKKA_00054,5.911539656283654,-0.6653064852167248,b1463,nhoA
PROKKA_00055,1.4733797764323184,-0.0511296528206997,b1462,yddH
PROKKA_00056,4.727460266761386,-0.608368480378978,b1461,pptA
PROKKA_00067,3.9514592583489874,-1.1105731569412747,b1453,ansP
PROKKA_00068,8.026814238768164,2.580509587562938,b1452,yncE
PROKKA_00069,3.67719353939846,1.1880101984552596,b1451,yncD
PROKKA_00071,4.548117720713106,0.9789139438390473,b1448,mnaT
PROKKA_00072,2.443848539693616,2.207438457575382,b1447,ydcZ
PROKKA_00073,9.093270739771175,1.2994963482004138,b1446,ydcY
PROKKA_00074,6.049504642819341,2.240018422623428,b1445,ortT
PROKKA_00075,3.714540516119678,-1.2615852084855925,b1444,patD
PROKKA_00076,3.19070742468418,-1.3127867334157128,b1443,ydcV
PROKKA_00077,-0.12059935890331785,0.4142640437954016,b1442,ydcU
PROKKA_00078,1.9382108834334777,-0.30731839927872273,b1441,ydcT
PROKKA_00079,2.8422802149378796,-0.6063755967719189,b1440,ydcS
PROKKA_00080,2.194293998309549,2.074868646181856,b1439,ydcR
PROKKA_00081,2.268434228209668,1.6736402505616184,b1436,yncJ
PROKKA_00082,5.018877485760252,0.9533044238350996,b1435,rlhA
PROKKA_00083,4.282793358134981,-0.03237524796843427,b1434,sutR
PROKKA_00084,2.5849433919908424,0.10158976807953923,b1433,ydcO
PROKKA_00085,4.4984938281023945,1.3496478993772634,b1431,ydcL
