,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3556,17064.4809362832,7.47611887632097,0.730213295956919,8.86880437836213,7.39354296022535e-19,3.17816725247401e-16
b0996,1990.35665849998,7.073484754791,0.886687308520417,6.84963537475867,7.40384566418408e-12,8.91126864141196e-10
b0990,1507.74909911275,6.67177705856933,0.840029181978051,6.75188098253178,1.45940575289792e-11,1.62642663350735e-09
b1796,776.302102663238,6.52988725030986,0.88237318972437,6.26706173159823,3.67924325452547e-10,3.25613028025504e-08
b2678,2389.50357950091,6.20217885017395,0.985980862055343,5.27614586689813,1.31929089419965e-07,7.13081952305969e-06
b1797,4109.15548849294,5.94672181706778,0.897451693634217,5.51196443458266,3.54850636275829e-08,2.17907258072238e-06
b2677,13141.2011159702,5.84887427837709,0.924291210668212,5.24604607553459,1.55398054689806e-07,7.92530078918009e-06
b2679,5406.97389143131,5.75077611390689,0.96450896960729,4.92559039221918,8.41060185103553e-07,3.72169131908322e-05
b1617,38374.5501976928,5.50506433649746,0.755545501836269,5.96266449280474,2.48157626323983e-09,1.78832680240672e-07
b3437,2318.94125142594,5.45776418553255,0.46493265000129,9.58797835669356,8.98277900967416e-22,5.40583640802191e-19
b1102,3643.44483403957,5.22488624781556,1.00234604678712,4.21499766608332,2.4978077229404e-05,0.00062114904448989
b4476,2364.27317336733,5.19640879344425,0.497009324831706,8.44332004206401,3.08449078798045e-17,1.16015409762915e-14
b3829,10120.2348613083,5.09331950611367,0.821820002729376,4.98079809753863,6.33225786251675e-07,2.97715061067389e-05
b1705,674.027264976968,5.04988034700194,0.359099971046969,11.277863195573,1.68796225760493e-29,5.07907843313323e-26
b3110,5571.31665906579,4.82346811217573,0.428720531391457,8.91832285187336,4.73402633332638e-19,2.37411420616318e-16
b1475,2148.67759315636,4.77794945415831,0.541842041028095,6.97241846902467,3.11538215033608e-12,4.2609931319824e-10
b3364,3977.13015459138,4.71963576853829,0.768147415259405,4.84234626667611,1.28314903667412e-06,5.4380217624682e-05
b3101,1232.26831411946,4.64547818459577,1.05948843927621,3.44079090384994,0.000580016570601203,0.00969594367188345
b0849,2021.32786361018,4.59959503157573,0.453128183554552,7.94387805088352,1.95956251895238e-15,5.36029419957065e-13
b0595,4621.07481173763,4.59745244587241,0.502557531413002,7.15828978974354,8.16897298594022e-13,1.29370735340495e-10
b4315,30226.6738076261,4.57037797832905,1.05033385359303,3.39927915882683,0.000675637178539116,0.0109300659689473
b0596,3255.38176238913,4.56496912692402,0.674160715250503,5.28801077588651,1.23653695610671e-07,6.89025870541682e-06
b0594,8399.23752468369,4.55405140259042,0.471766149908002,7.53350235764794,4.93971203558061e-14,1.14335334731247e-11
b2378,2795.20725945881,4.53917874225167,0.713900982184695,4.95752048333229,7.13985168760911e-07,3.26720597755549e-05
b4209,3899.9075056749,4.50743762843094,0.932218557090994,3.76246278488165,0.000168248350157821,0.00322458143710117
b0010,1682.37252467323,4.50263830675231,0.653298835936082,5.36146417853867,8.25500938676695e-08,4.76545149226813e-06
b2676,4834.43263552483,4.49528092680322,0.61807529392271,5.65510539115693,1.55750672670189e-08,1.04145283125467e-06
b0774,229.028032682037,4.49016231540169,0.698633528307638,4.99569827954897,5.86232555925666e-07,2.79995835044496e-05
b2675,8386.09207863921,4.40692479527945,0.701767361019061,4.85477807108632,1.20521641307063e-06,5.18070883847077e-05
b0597,2085.18204787837,4.36533108747963,0.462781226392756,7.27196976789962,3.54282897097621e-13,6.66273273354213e-11
b0998,300.063101926759,4.3472452516581,0.846546681630844,3.95399961312204,7.68555333853243e-05,0.0016171909087863
b1970,2597.6123502706,4.2834550032936,1.01156286291322,3.24592284243957,0.00117070564175414,0.017613266380191
b2562,1313.98839937213,4.24493023081355,0.495090612474764,6.5542148226027,5.59353967753555e-11,5.42934222248531e-09
b3242,918.673348101025,4.1915326253977,0.788125974993406,4.04952092262206,5.13225894819804e-05,0.00113551229228882
b4060,180.16895257688,4.0950412832761,0.725443342153758,4.26641352043741,1.98640442872434e-05,0.000515266459140651
b2167,7378.21408285599,4.05222784820637,0.881333748662261,3.46319184172763,0.000533807654903147,0.00907140134779364
b0587,598.698204591529,4.01327568913978,0.607907412620127,4.95680037220196,7.166354088357e-07,3.26720597755549e-05
b2673,1025.57730198512,4.0060269875649,0.571441940358553,5.26042415731467,1.43723476877952e-07,7.58708670045189e-06
b3457,419.07894565897,3.97069257722124,0.692898409957347,4.28734217676169,1.80823642706813e-05,0.00047312899209113
b2392,14891.4809146744,3.92335735002598,0.846351557606777,3.45406979375372,0.000552194449169023,0.00928241953938319
b0776,161.474778673692,3.87231402472535,0.949983683183207,3.02354037818923,0.00249835686389227,0.0324032577734994
b0805,7095.55855029113,3.83339999231044,0.910541594892623,3.11177436396475,0.00185966577800756,0.0250929790404697
b0824,585.530118024616,3.82070538680896,0.723382977623726,3.89932507960696,9.64611944974205e-05,0.00198118320821623
b0775,662.785164608816,3.81197207006461,0.792399225962958,3.54868099050372,0.000387165821455968,0.00673399975006362
b0593,5657.76321265985,3.80910406466108,0.575397395665873,4.88202429454911,1.05002315733302e-06,4.57901402958704e-05
b3941,983.911429432138,3.80386729945892,0.603552212361195,4.64560851908691,3.39075472861478e-06,0.000120032717392963
b4511,2033.94999039539,3.78427032426999,0.579186059502468,4.80721225690709,1.53049471477375e-06,6.39619249549197e-05
b1685,1145.83678856188,3.75604178527501,0.575895536186342,4.78566269765849,1.70424064888982e-06,6.92981096285065e-05
b0585,6330.87407902958,3.74006670960442,0.510728830346249,5.36501279504191,8.09434811668848e-08,4.76545149226813e-06
b2069,1956.95741575255,3.70716948581857,0.669890499152583,4.04121194321037,5.31756713427557e-05,0.00116792405160841
b0777,202.700919941692,3.68476649631471,0.812613939032075,3.30386468574807,0.000953618484749287,0.0147150667723621
b2669,3113.50812326012,3.67821992925512,0.569307204698352,4.70434926372341,2.54676945500253e-06,9.82465293602901e-05
b1476,3981.41671268726,3.67285894903008,0.38808368864343,6.88732618052879,5.6850770450743e-12,7.12766534526191e-10
b0605,115218.470024129,3.64200140831554,0.500847367239917,5.27506298550625,1.32710499598319e-07,7.13081952305969e-06
b0616,702.041869189268,3.63976151186864,0.703456555440027,3.75255798166159,0.000175039329911351,0.00331253675285066
b1109,9017.7158664513,3.63437778609948,0.576288413765024,4.57128361975645,4.84745665895354e-06,0.000165749966895355
b2552,9118.03590733876,3.60178427786839,0.698420724341288,3.72523922499901,0.000195130082330941,0.00360212526217057
b2971,1883.40734586891,3.57641225574385,0.670396297845193,3.84311826307071,0.000121480892841975,0.0024207682553742
b2169,1821.98770885444,3.48638754175709,0.774370901605253,3.21084836297808,0.00132343749970909,0.0193311817311876
b3686,850.390215135685,3.48599836950976,0.762878241852815,3.25870923185851,0.00111920312659297,0.0169230261704434
b1452,21392.9750324473,3.48202195085434,0.547908764330214,4.52999132782345,5.89861075977358e-06,0.000195043074463282
b3162,17570.9092322984,3.47342619708937,0.671940558041919,3.68101935132046,0.000232303371370191,0.00418563379911918
b4108,4199.56573466043,3.44134109334945,0.521254124756484,4.68359093463285,2.8189230880308e-06,0.000106845960918051
b4470,6841.89438282751,3.41231026070467,0.623638193183995,3.86812463872454,0.00010967560452054,0.00221485834900875
b3077,130.966319200213,3.39866251702613,0.51231427740036,4.68201380058678,2.84070351393955e-06,0.000106845960918051
b3074,302.673261103711,3.35070665275472,0.51735770586962,4.54367766457338,5.52811706191864e-06,0.000186900047632732
b2365,803.055470227948,3.33377572642438,0.529239960752373,4.40967405996074,1.03526319166663e-05,0.000314657267042919
b3076,945.983509708529,3.28835208564919,0.528300290794544,4.33153667624826,1.48072276036235e-05,0.000401395926660389
b2168,2746.94475865633,3.2512454399493,0.786634925849905,2.86186814997692,0.00421152068841489,0.0483050569457755
b3106,1267.6108352245,3.23341935367062,0.989135480431834,2.25795090546703,0.0239487203983014,0.190771336542378
b0778,284.1834360077,3.21929809884321,0.751478442832862,2.95324253145185,NA,NA
b0873,522.042005668995,3.18176621155422,0.547535352840247,3.98470381909894,6.75643439469652e-05,0.00146259792040589
b1660,964.131711471483,3.17232716866113,0.494561999558448,4.39242637040577,1.12092597673955e-05,0.000330673163138166
b3455,1083.46363702501,3.14152256307335,0.682047835138673,3.13984218223923,0.00169038871832881,0.0233320167589513
b0823,1110.61683250107,3.134952445001,0.719284816052334,2.96816003529492,0.00299588304438015,0.0369451314776224
b3366,76.915711272939,3.11644818171453,0.709715260525929,2.98210888144938,0.00286270167932452,0.0360412943643827
b3570,4039.05367904014,3.05326162047413,0.708661126275405,2.89738147662438,0.00376291891778738,0.0442289961860244
b2968,310.887022796239,3.04467776833318,0.468318937078915,4.36599421130954,1.26545830809182e-05,0.000362644195147455
b0804,955.128579766748,3.04257897761489,0.603628822321446,3.38383274966808,0.00071481532084503,0.0114408473426739
b2533,8918.94113531817,3.04182479480666,0.335742246063256,6.08152479691807,1.19044950296472e-09,9.42648040637062e-08
b2674,1935.60681148233,3.03150842143027,0.471116986115575,4.31211032779848,1.61703705217946e-05,0.000426812674562105
b4506,20.1077545150118,3.00576411437201,0.882051915831053,2.27397512365496,0.0229674822566235,0.186278043423666
b3710,884.651286343126,3.00451229100116,0.422272946075864,4.74695883226448,2.06497960878212e-06,8.22919381128404e-05
b3795,3210.90995860143,2.97282208268574,0.421972070797099,4.67524326659608,2.93605372887929e-06,0.000109068958891331
b0615,885.223842534313,2.96131684826882,0.732863130407795,2.67623894133883,0.00744535436865826,0.0769864992965385
b2710,527.738330057139,2.95432885372786,1.10745301686792,1.7647058827426,NA,NA
b2944,184.415654212533,2.94794801394371,0.363528096732009,5.35845243175174,8.3937829541446e-08,4.76545149226813e-06
b0590,357.753129627728,2.92777070697841,0.414093790595674,4.65539631542243,3.23358103657868e-06,0.000115831492131729
b3539,890.864158183845,2.89655816664212,0.623533804134659,3.04162846355085,0.00235302134677964,0.0311904900108367
b2296,27581.5069784628,2.86573727823689,0.393147765852659,4.7456387655936,2.07849361800461e-06,8.22919381128404e-05
b4502,17.7168265850363,2.86117231007503,0.632528394628796,2.94243282337905,0.00325644429637379,0.0393519714369025
b3456,660.389587384038,2.85695612735306,0.83532749895485,2.22302765044423,0.0262139355431654,0.205410760545272
b2949,624.811548814847,2.85499339273615,0.260868567424775,7.11083520352086,1.15342799249555e-12,1.73533241470955e-10
b0211,5355.55077733854,2.8530094197026,0.540812951862814,3.4263406845564,0.000611772528369574,0.0100591450156505
b0588,1811.40259438891,2.83872990418269,0.44249974080899,4.15532425131159,3.24826549766549e-05,0.000794636657111825
b1628,668.744747180694,2.8220988643915,0.409185324500114,4.45299172598011,8.46820190059299e-06,0.000263496024400704
b3687,5457.74361871954,2.8094484932445,0.639226240106067,2.83068556907842,0.00464483582245051,0.0514912151581716
b1972,281.049472949459,2.80433738259287,0.992174363612154,1.8185688410895,0.0689772351563899,0.43603466509575
b3937,201.569762367663,2.76420121899561,0.637374070663749,2.76792122584844,0.005641508979259,0.0604103221302146
b3454,381.742300558927,2.75780139453304,1.00501953164771,1.74902212263593,0.0802871954361417,0.491024737941769
b1627,554.673978035269,2.74699807977455,0.402176346606135,4.34386083248561,1.40000223600256e-05,0.000382964248011973
b3241,2323.86062222412,2.73280044092677,0.721818302015866,2.40060474511033,0.0163680055320737,0.144556248154903
b4013,2067.60621652914,2.71758702049319,0.709411230977978,2.42114438775569,0.0154717305785765,0.138968469584886
b0401,2692.37356579756,2.71559521772929,0.459635118390439,3.73251553044293,0.00018957700424444,0.0035465407877701
b2187,1716.60747595911,2.70419545552791,0.324220974022898,5.25627763800238,1.47000319941976e-07,7.62627521905873e-06
b1161,258.837654565145,2.69856092449075,0.581181678481013,2.92259888324447,0.00347123379885748,0.0412843577105223
