,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3556,17064.4809362832,4.27214880526666,0.730106774412222,4.48174009603038,7.40368762791073e-06,0.000271679220394919
b2968,310.887022796239,3.59645472698408,0.488816876853877,5.3117125245253,1.08599823433746e-07,6.16560129645549e-06
b3795,3210.90995860143,3.53601073161781,0.4243447170688,5.97629858369756,2.28264464332251e-09,1.96242220907355e-07
b1055,3267.25612749248,3.50267300628022,0.456801220197143,5.47869159631433,4.28482447055509e-08,2.86511929597784e-06
b2518,19965.3336365061,3.44596899643739,0.872413388397829,2.80368117794406,0.00505228372663167,0.077960624274024
b0805,7095.55855029113,3.33828936045513,0.910919612465844,2.56695467794949,0.0102596021083414,0.13837960329561
b2971,1883.40734586891,3.20644765209079,0.672121481785467,3.28281078924815,0.00102777624284939,0.0214762410745404
b2250,659.931250067633,2.85093540869535,0.587895616795548,3.14840824768226,0.00164162249501609,0.0322852424019832
b2365,803.055470227948,2.66638590951128,0.533130457558874,3.12566255760629,0.00177404990154643,0.034000739832823
b3936,2994.21843856612,2.61150204180117,0.461966978315359,3.48834898909396,0.000486013270028269,0.0117777723087508
b3437,2318.94125142594,2.60945086336676,0.464948597956009,3.46156730107839,0.000537039826023219,0.0127240380827076
b0605,115218.470024129,2.60843889821202,0.50087238590316,3.2112748545954,0.00132147475647809,0.026867010420558
b2562,1313.98839937213,2.58710729099106,0.496667659625167,3.19551164694082,0.00139583149104701,0.0281883017218821
b0434,2301.38931135424,2.57235418494879,0.228304443436792,6.88709409803539,5.69435587748114e-12,8.1591984930194e-10
b2069,1956.95741575255,2.54462991889492,0.6708402854616,2.30253005427673,0.0213052985523822,0.245623154575165
b1047,786.431427632286,2.53332599813485,0.387911023659963,3.95277758200277,7.72492351736164e-05,0.00234790857209507
b2533,8918.94113531817,2.52185505061707,0.336228245225498,4.52625581648088,6.00378976578211e-06,0.00022581754256548
b0120,7905.39314671724,2.52061298428055,0.553985501935877,2.74486061271791,0.00605366038129096,0.0906241994393259
b0010,1682.37252467323,2.49801848509192,0.653999286487289,2.29055064132862,0.0219894164631666,0.248744940367174
b4537,2636.81582422207,2.4597287864137,0.500520851343198,2.91641953076754,0.00354074044529818,0.0591893777772346
b2792,377.750318622335,2.42009523330494,0.391023806635824,3.63173599460027,0.000281521047092907,0.00736605939741353
b0238,3883.92864969929,2.35541528941842,0.326207411906349,4.15507201843576,3.25185099029126e-05,0.00108720218108738
b0774,229.028032682037,2.35027573198416,0.702381159929614,1.92242589781234,0.0545521894882975,0.480942454441724
b1286,8065.45214353983,2.34454145619951,0.468193706919083,2.87176319615054,0.00408188714548363,0.0663913428149202
b4108,4199.56573466043,2.32355478740909,0.521776980960131,2.53662931809218,0.0111925396189475,0.14827998633848
b3261,3480.17880302774,2.31828938140119,0.447581282011712,2.94536307567637,0.00322575887622201,0.0555875635666124
b1722,1562.9760458252,2.31671381609598,0.701858647587414,1.87603845962729,0.060649999010863,0.513458149149498
b2949,624.811548814847,2.26236446499478,0.268995587083122,4.69288168881631,2.69383295606239e-06,0.000111037580339613
b0121,9777.74899361103,2.25942058794783,0.585243682087278,2.15195930600412,0.0314005595851568,0.32921353237539
b3031,1770.8947940525,2.25821179295017,0.365666749175547,3.44087012501686,0.000579846782679841,0.0136309294459659
b0777,202.700919941692,2.2547834530765,0.81834467713171,1.53331901354146,0.125197272084705,0.815408207149085
b0961,454.915911803382,2.22347153400445,0.427272842680107,2.86344324233226,0.00419063885092401,0.06743118878305
b1254,1669.15155851282,2.22140422295403,0.347679287038614,3.51301981017459,0.000443044442718135,0.0109272190831055
b0954,2830.97238455678,2.21637456694604,0.598424467344705,2.03262839894108,0.0420900801133989,0.40592644570903
b2972,1077.36403826194,2.21604112066762,0.741112048927181,1.64083301901236,0.100832082087287,0.702278441981719
b3986,180200.666245221,2.20927144741717,0.453531516069914,2.66634490563331,0.00766809785064002,0.109872887774171
b2748,2748.51806934522,2.20471311802168,0.297041570902195,4.05570545012485,4.99832155413556e-05,0.0016171988770316
b3190,1610.88683541166,2.16159383786095,0.386254063577652,3.00733104812351,0.00263552579735784,0.0477728742424684
b1109,9017.7158664513,2.16008180929054,0.576461792559665,2.01241751710799,0.044175943478694,0.419323072326152
b1207,17118.1938302219,2.14591694429987,0.408182515199502,2.80736411195809,0.00499487485354101,0.0774720537850768
b0430,10700.6517985726,2.12643024738188,0.490711310673145,2.29550495959971,0.0217042025108613,0.24757933553753
