,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
b3556,17064.4809362832,4.27214880526666,0.730106774412222,4.48174009603038,7.40368762791073e-06,0.000271679220394919
b2968,310.887022796239,3.59645472698408,0.488816876853877,5.3117125245253,1.08599823433746e-07,6.16560129645549e-06
b3795,3210.90995860143,3.53601073161781,0.4243447170688,5.97629858369756,2.28264464332251e-09,1.96242220907355e-07
b1055,3267.25612749248,3.50267300628022,0.456801220197143,5.47869159631433,4.28482447055509e-08,2.86511929597784e-06
b2971,1883.40734586891,3.20644765209079,0.672121481785467,3.28281078924815,0.00102777624284939,0.0214762410745404
b2250,659.931250067633,2.85093540869535,0.587895616795548,3.14840824768226,0.00164162249501609,0.0322852424019832
b2365,803.055470227948,2.66638590951128,0.533130457558874,3.12566255760629,0.00177404990154643,0.034000739832823
b3936,2994.21843856612,2.61150204180117,0.461966978315359,3.48834898909396,0.000486013270028269,0.0117777723087508
b3437,2318.94125142594,2.60945086336676,0.464948597956009,3.46156730107839,0.000537039826023219,0.0127240380827076
b0605,115218.470024129,2.60843889821202,0.50087238590316,3.2112748545954,0.00132147475647809,0.026867010420558
b2562,1313.98839937213,2.58710729099106,0.496667659625167,3.19551164694082,0.00139583149104701,0.0281883017218821
b0434,2301.38931135424,2.57235418494879,0.228304443436792,6.88709409803539,5.69435587748114e-12,8.1591984930194e-10
b1047,786.431427632286,2.53332599813485,0.387911023659963,3.95277758200277,7.72492351736164e-05,0.00234790857209507
b2533,8918.94113531817,2.52185505061707,0.336228245225498,4.52625581648088,6.00378976578211e-06,0.00022581754256548
b2792,377.750318622335,2.42009523330494,0.391023806635824,3.63173599460027,0.000281521047092907,0.00736605939741353
b0238,3883.92864969929,2.35541528941842,0.326207411906349,4.15507201843576,3.25185099029126e-05,0.00108720218108738
b2949,624.811548814847,2.26236446499478,0.268995587083122,4.69288168881631,2.69383295606239e-06,0.000111037580339613
b3031,1770.8947940525,2.25821179295017,0.365666749175547,3.44087012501686,0.000579846782679841,0.0136309294459659
b1254,1669.15155851282,2.22140422295403,0.347679287038614,3.51301981017459,0.000443044442718135,0.0109272190831055
b2748,2748.51806934522,2.20471311802168,0.297041570902195,4.05570545012485,4.99832155413556e-05,0.0016171988770316
b3190,1610.88683541166,2.16159383786095,0.386254063577652,3.00733104812351,0.00263552579735784,0.0477728742424684
b2187,1716.60747595911,2.1182575363444,0.326452493801306,3.42548320989401,0.000613706864672189,0.0142685368135924
b0415,5009.19607123252,2.08986330870911,0.330707511246295,3.29555051411408,0.000982290419699364,0.020952804902454
b0125,4492.89414912215,2.03827438407509,0.258077331313702,4.02311345514121,5.74338117820034e-05,0.00182620776802352
b2156,3955.53863734222,2.03052456814074,0.319846618352035,3.22193360508351,0.00127328637322648,0.0261915356833572
b1253,688.637931196757,1.94957631540736,0.262253146487757,3.62083859860072,0.000293649669248556,0.00761717116180091
b3262,368.38044120996,1.81532771412861,0.267595742281285,3.04686355312625,0.0023124265279884,0.0421702510467704
b0039,790.609844803752,-1.98611264163744,0.299376258844569,-3.29389058919802,0.000988109520051213,0.020952804902454
b4185,145.225539250334,-2.1670447880156,0.378250239814855,-3.08537752305681,0.002032939321933,0.0379944995012198
b0041,223.942427783608,-2.18684472304223,0.315819430762786,-3.75798512515741,0.000171287060919078,0.0048111994834224
b2993,603.134132560755,-2.26837079112261,0.354116494656802,-3.58178963776278,0.000341248528557227,0.00855680685357248
b2729,499.105319918127,-2.29059613450679,0.387541006734518,-3.33021825324127,0.000867779355208483,0.0193418376283135
b2202,937.010715821787,-2.35021792039087,0.430211565820252,-3.13849749208046,0.00169816388256491,0.0330187273396389
b3060,267.442169824577,-2.36285282918336,0.40865189164469,-3.33499699144502,0.000853003221411699,0.0192983961896827
b2726,488.144794774842,-2.41999872504719,0.378298971235345,-3.75364151906136,0.000174284062377216,0.0048111994834224
b1723,6531.63905489302,-2.66702841420206,0.555063226927681,-3.00331265580175,0.00267057915890454,0.0481183993361903
b2904,8910.82791727508,-2.70548828607782,0.45290850154057,-3.76563539937228,0.000166126066569224,0.00471578617270561
b3211,199.583939510326,-2.72333427408644,0.375184023721488,-4.59330399251149,4.3628279799391e-06,0.000166308777179798
b4074,98.715235953826,-2.7294248581429,0.556261569046079,-3.1090137345074,0.00187712992136778,0.035523798323243
b2147,1094.59692461983,-2.73487498482793,0.374105390861376,-4.63739637868725,3.52825391990461e-06,0.000141367369273694
b2996,1369.8372093714,-2.73635916455992,0.422355042942207,-4.11113633795894,3.93716618315199e-05,0.0012877101135983
