,resid,K-12,Gene Name
PROKKA_00017,-0.07542874204523775,b1504,ydeS
PROKKA_00018,0.7932213917052908,b1503,ydeR
PROKKA_00019,-0.07471846839240714,b1502,ydeQ
PROKKA_00020,-1.022442520544725,b1501,ydeP
PROKKA_00021,-0.09990938716018194,b1500,safA
PROKKA_00022,-0.6005674373480333,b1499,ydeO
PROKKA_00023,0.09530933419863885,b1498,ydeN
PROKKA_00024,-0.20061127439633086,b1497,ydeM
PROKKA_00025,5.115921180157912,b1496,yddA
PROKKA_00026,3.957164012927197,b1495,yddB
PROKKA_00027,4.2110085564922315,b1494,pqqL
PROKKA_00029,-5.017862820963794,b1492,gadC
PROKKA_00030,-0.06217509870898308,b1491,yddW
PROKKA_00033,-3.374956631078674,b1482,osmC
PROKKA_00034,-2.8175539919122468,b1481,bdm
PROKKA_00035,-2.106608710521358,b1480,sra
PROKKA_00036,-1.1128657897377252,b1479,maeA
PROKKA_00041,-0.24280509010524254,b1477,yddM
PROKKA_00042,2.6608669295458176,b1476,fdnI
PROKKA_00043,3.130674827859959,b1475,fdnH
PROKKA_00044,3.0445658991932563,b1474,fdnG
PROKKA_00047,0.3324962290133602,b1473,yddG
PROKKA_00048,-2.8248543934968886,b1469,narU
PROKKA_00049,-2.5715943335831497,b1468,narZ
PROKKA_00050,-2.5665497094069787,b1467,narY
PROKKA_00051,-2.9270115594676334,b1466,narW
PROKKA_00052,-2.751235979126196,b1465,narV
PROKKA_00053,1.2884206315615998,b1464,yddE
PROKKA_00054,-0.4640663158664129,b1463,nhoA
PROKKA_00055,-3.099825760883431,b1462,yddH
PROKKA_00056,-0.10242272592029966,b1461,pptA
PROKKA_00067,0.29264579218434017,b1453,ansP
PROKKA_00068,5.248382552830664,b1452,yncE
PROKKA_00069,0.2230816107756457,b1451,yncD
PROKKA_00071,0.519552604773625,b1448,mnaT
PROKKA_00072,0.7733403125338976,b1447,ydcZ
PROKKA_00073,1.3346845474390996,b1446,ydcY
PROKKA_00074,3.47534243197571,b1445,ortT
PROKKA_00075,-4.431815039053809,b1444,patD
PROKKA_00076,-4.8213057178195085,b1443,ydcV
PROKKA_00077,-3.0992074278109825,b1442,ydcU
PROKKA_00078,-3.459989476774326,b1441,ydcT
PROKKA_00079,-3.54901219209553,b1440,ydcS
PROKKA_00080,-0.05460652362142504,b1439,ydcR
PROKKA_00081,0.9569934015540258,b1436,yncJ
PROKKA_00082,0.7428120072176796,b1435,rlhA
PROKKA_00083,0.5069383628094002,b1434,sutR
PROKKA_00084,-0.31315810677543565,b1433,ydcO
PROKKA_00085,-1.886070115688141,b1431,ydcL
PROKKA_00086,2.5399298327125646,b1430,tehB
PROKKA_00087,1.6758517230257075,b1429,tehA
PROKKA_00088,-2.2630909998110265,b1428,ydcK
PROKKA_00089,0.5301283909868513,b1427,rimL
PROKKA_00090,1.7929802458608393,b1426,ydcH
PROKKA_00091,0.5943257066272496,b1424,opgD
PROKKA_00092,-3.2403556353236933,b1423,ydcJ
PROKKA_00093,-1.0470530126097524,b1422,ydcI
PROKKA_00095,1.775581812483674,b1419,ydcA
PROKKA_00097,0.7295421393067665,b1418,cybB
PROKKA_00101,0.14017709106615506,b1414,ydcF
PROKKA_00102,0.621165250103755,b1413,hrpA
PROKKA_00103,3.866336138803198,b1412,azoR
