,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
78042_rpsP,51644.71678638696,2.9609946730268817,0.6042281971617607,3.2454537577661164,0.0011726360775079858,0.016097548876769202,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77933_upp,7253.338641180296,4.21019061481596,0.4027111539622991,7.971446986830889,1.5682716625430955e-15,2.1996714710278366e-13,K-12,b2498,upp,uracil phosphoribosyltransferase
3424_Hypothetical_protein,60.17057227882355,5.288508053018433,0.7532959982699342,5.692991948540394,1.2483227579560724e-08,5.298801601534591e-07,CFT073,c3506,,Hypothetical protein
75566_leuD,5864.510583198311,-6.8864777926719425,0.9537001843432416,-6.172251918694572,6.732411500687842e-10,3.3935561720654655e-08,K-12,b0071,leuD,3-isopropylmalate dehydratase subunit LeuD
78942_xylG,8549.466723718066,-7.723244714336563,0.7126768579093681,-9.433791261384783,3.9552815010159215e-21,9.114098658769544e-19,K-12,b3567,xylG,xylose ABC transporter ATP binding subunit
78214_fucP,329.6259143610088,-3.4434170313687966,0.693618457955395,-3.5227105094223528,0.0004271576617102697,0.006657056119214155,K-12,b2801,fucP,L-fucose:H(+) symporter
76128_gltJ,565.145249303131,-2.5666717299323527,0.5385615815949987,-2.9089927381981338,0.003625952822182533,0.04162748684825927,K-12,b0654,gltJ,glutamate/aspartate ABC transporter membrane subunit GltJ
76070_entB,4594.7268749555715,-3.7108392410541375,0.4989274783370713,-5.433333217263127,5.531098088676236e-08,1.9041890614593647e-06,K-12,b0595,entB,enterobactin synthase component B
78340_speB,3585.559493264961,2.3201961024210904,0.4489759242420808,2.940460793414975,0.003277244732493485,0.03858537046359118,K-12,b2937,speB,agmatinase
75722_gpt,3918.881612748266,3.1331727905504683,0.33100236187250265,6.4445848013982925,1.1591730741079405e-10,6.677664887628956e-09,K-12,b0238,gpt,xanthine-guanine phsophoribosyltransferase
79140_ilvM,3825.278874235472,-4.242227708589781,0.5962155595175811,-5.438012572521896,5.3878173575352265e-08,1.8904323559879848e-06,K-12,b3769,ilvM,acetolactate synthase II subunit IlvM
78687_rplE,81743.66227009312,2.4993459057127634,0.5013840544512873,2.990414019755059,0.0027859954937001284,0.03378805061156622,K-12,b3308,rplE,50S ribosomal subunit protein L5
78549_yhbU,383.8995696019864,3.7559409082101856,0.6538774275703455,4.214766853859161,2.500363527666507e-05,0.0005170623551443689,K-12,b3158,yhbU,putative peptidase YhbU
77855_cysA,1929.914214436344,5.025292214459438,0.6191659909296492,6.501151990624758,7.970724800608469e-11,4.9449150397621005e-09,K-12,b2422,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit
79356_yjaA,165.6737306149764,2.50029675485707,0.4856212053102666,3.089438307988466,0.0020053534913008447,0.02587708145174609,K-12,b4011,yjaA,stress response protein
78831_livG,1072.5828439141098,-4.80105952628734,0.6779942460314893,-5.6063300662743405,2.066616838686345e-08,8.032416773014638e-07,K-12,b3455,livG,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG
78677_rpsM,66317.97116196483,2.1139216982589173,0.34874415917129825,3.1940942062108477,0.001402703350758177,0.0188074694125722,K-12,b3298,rpsM,30S ribosomal subunit protein S13
76129_gltI,23035.15963344285,-3.248845310957381,0.6491394293753017,-3.4643486579170735,0.0005315171232922257,0.008050113801599625,K-12,b0655,gltI,glutamate/aspartate ABC transporter periplasmic binding protein
76071_entA,3231.6237916461987,-3.725956034975898,0.6696259623460699,-4.070863718344145,4.683914677172383e-05,0.0009162199872849988,K-12,b0596,entA,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
77608_psuG,40134.723382945114,-4.105885960666517,0.7922609687014863,-3.9202814266580064,8.844562245265424e-05,0.0016211680570014915,K-12,b2165,psuG,pseudouridine-5'-phosphate glycosidase
