,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,-0.19664483027299856,0.635179804802202,-0.0,1.0,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,0.14791779124945334,0.23731365085199024,0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,0.6985860048947238,0.3905253753906741,0.0,1.0,1.0,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,0.24350321707843395,0.4116195271792342,0.0,1.0,1.0,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,-0.1210292321446978,0.4247213042998699,-0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,-0.758683423771854,0.430959417674364,-0.0,1.0,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,3.2551530222154152,0.4005031612236243,5.630799555552651,1.7937609944323184e-08,7.71556395738488e-07,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,1.3501078250088625,0.4137540886645428,0.8461736925401536,0.397455855474855,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,-0.6390614310949448,0.2435878755640981,-0.0,1.0,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,1.0647284138872566,0.6731535494238892,0.09615698222590324,0.9233958956505552,1.0,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,1.9987960882201203,0.6042767057456117,1.6528786874015189,0.0983555554641575,0.4981083546740535,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,-0.5425212875900595,0.43933043506773534,-0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,2.991629983705857,0.4031891868151492,4.939690966015323,7.824648002918952e-07,2.381350420510994e-05,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,0.4424224803583394,0.339764004067622,0.0,1.0,1.0,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,-1.722999200704702,0.3836416624198688,-1.8845690432688988,0.059488045072230836,0.3426936310768155,K-12,b2922,yggE,uncharacterized protein YggE
78548_yhbT,3014.3311705613173,0.23348749589046355,0.3180983952109055,0.0,1.0,1.0,K-12,b3157,yhbT,SCP2 domain-containing protein YhbT
79357_yjaB,274.63678670371604,-0.4612132698626117,0.7075737948538582,-0.0,1.0,1.0,K-12,b4012,yjaB,putative N-acetyltransferase YjaB
78984_gpsA,5310.680593105596,-0.5853703656185063,0.38268044866633627,-0.0,1.0,1.0,K-12,b3608,gpsA,glycerol-3-phosphate dehydrogenase
