,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
79425_fdhF,710.9262323078894,3.2551530222154152,0.4005031612236243,5.630799555552651,1.7937609944323184e-08,7.71556395738488e-07,K-12,b4079,fdhF,formate dehydrogenase H
77933_upp,7253.338641180296,2.991629983705857,0.4031891868151492,4.939690966015323,7.824648002918952e-07,2.381350420510994e-05,K-12,b2498,upp,uracil phosphoribosyltransferase
78928_yiaG,3856.901159214069,-4.05380299389971,0.9245818295127178,-3.3029018053590296,0.0009568988927143623,0.013719803679540146,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
76090_citX,142.51007694607304,7.247856291407724,0.7426415056813644,8.413017914579651,3.9959390865179665e-17,1.07424162442558e-14,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
75566_leuD,5864.510583198311,-5.5281518017139675,0.9550206242843214,-4.741417815041743,2.1222774754512277e-06,5.902126841211775e-05,K-12,b0071,leuD,3-isopropylmalate dehydratase subunit LeuD
77533_yegS,1849.1645093960876,-3.2937245625862226,0.7356594112829874,-3.1179164262793497,0.001821344425215793,0.022685934809830686,K-12,b2086,yegS,lipid kinase
78942_xylG,8549.466723718066,-4.899684043421189,0.7126741166695137,-5.471903570239491,4.452270887744763e-08,1.8181045422613427e-06,K-12,b3567,xylG,xylose ABC transporter ATP binding subunit
78474_ebgC,130.69736325527538,2.5478535389225505,0.5114120275642655,3.0266271724085394,0.0024729877024096568,0.02933036149990276,K-12,b3077,ebgC,DUF386 domain-containing evolved beta-D-galactosidase subunit beta
79539_ulaA,1075.6332334086273,5.324314905178166,0.5809106724321412,7.444027301260004,9.766130337125594e-14,1.3127306861486318e-11,K-12,b4193,ulaA,L-ascorbate specific PTS enzyme IIC component
77167_ydiU,2822.550218190987,-3.0790949811155666,0.28531084782473753,-7.287122087950632,3.166459470792693e-13,3.783332686213789e-11,K-12,b1706,ydiU,UPF0061 family protein YdiU
78827_ugpE,560.6944908934802,-2.9935348239156143,0.6735427229212855,-2.9597748681319977,0.003078639294140147,0.03559745649783553,K-12,b3451,ugpE,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE
78853_nikB,81.63990664241261,3.6771789743029175,0.6669177760092303,4.014256435512771,5.963348634322145e-05,0.0011589013671279061,K-12,b3477,nikB,Ni(2(+)) ABC transporter membrane subunit NikB
79415_acs,6385.669340011775,-3.773036366901794,0.7926162453013085,-3.498586337765056,0.00046773162848079804,0.0072838501402636155,K-12,b4069,acs,acetyl-CoA synthetase (AMP-forming)
79140_ilvM,3825.278874235472,-4.004060141066258,0.5979310509532031,-5.024091216332184,5.058219370120719e-07,1.6317815688009436e-05,K-12,b3769,ilvM,acetolactate synthase II subunit IlvM
78549_yhbU,383.8995696019864,5.121839717995028,0.6548087637695719,6.2947228962951245,3.079494791918165e-10,1.8949066664357035e-08,K-12,b3158,yhbU,putative peptidase YhbU
79356_yjaA,165.6737306149764,2.8772598053802527,0.4955159162483654,3.788495472745464,0.00015156235423451775,0.002667089292681463,K-12,b4011,yjaA,stress response protein
78729_yheV,719.7188087714903,-2.5116704824290954,0.4692843698197788,-3.2212248684302613,0.0012764395374932087,0.017229263380556862,K-12,b4551,yheV,DUF2387 domain-containing protein YheV
76689_rssA,1605.6464751674653,-2.2747926471179403,0.3956335363741051,-3.2221551762298417,0.0012723020811701994,0.017229263380556862,K-12,b1234,rssA,putative patatin-like phospholipase RssA
76088_citT,651.6437048529219,5.748209557485111,0.7134842883135226,6.654960221630878,2.833766841398797e-11,2.0776663250801182e-09,K-12,b0612,citT,citrate:succinate antiporter
76805_ynaL,399.3268642124702,-4.173889369244872,0.9624456649727232,-3.2977335601951347,0.0009746857483353783,0.013912992142167834,K-12,b4743,ynaL,protein YnaL
78831_livG,1072.5828439141098,-3.4360281114902818,0.6811594997741419,-3.5762961718922184,0.00034849680769961634,0.0056212535081948106,K-12,b3455,livG,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG
6354_hypothetical_protein,57.35856759863386,3.24398121444933,0.5686477728117162,3.946170761126554,7.941098920227614e-05,0.0015069403009796635,UTI89,UTI89_C1440,,hypothetical protein
78964_yiaY,97.09929100623786,3.1045763045571846,0.3909824650441425,5.382789492412593,7.334029061897749e-08,2.719491695825533e-06,K-12,b3589,yiaY,L-threonine dehydrogenase
76683_narJ,1660.3237388172574,4.576967177816581,0.7035386491765874,5.084251138161375,3.6907933074933e-07,1.2533157063129878e-05,K-12,b1226,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone
76129_gltI,23035.15963344285,-3.7959629192236193,0.6493826534351385,-4.305570689998244,1.665557918080036e-05,0.00037574054851232156,K-12,b0655,gltI,glutamate/aspartate ABC transporter periplasmic binding protein
77608_psuG,40134.723382945114,-4.666625932235707,0.7924515185740425,-4.626940382212312,3.7110728258889504e-06,9.65477494864335e-05,K-12,b2165,psuG,pseudouridine-5'-phosphate glycosidase
77646_napG,365.8380215479724,6.146493299626366,0.7088811916424272,7.260022356782111,3.8702634950062407e-13,4.4590964410321895e-11,K-12,b2205,napG,ferredoxin-type protein NapG
78852_nikA,526.5693136362671,4.02438061326196,0.7048779405141434,4.2906444356252,1.7815536857339913e-05,0.00039911751320679563,K-12,b3476,nikA,Ni(2(+)) ABC transporter periplasmic binding protein
78744_tsgA,4017.423932271477,5.624580362732726,0.7755015730642605,5.963341047084528,2.471318533649052e-09,1.3287455982586405e-07,K-12,b3364,tsgA,putative transporter TsgA
78648_fis,3511.123140119153,3.508430473530628,0.4521622145545296,5.547633996798989,2.8956122877838643e-08,1.2131487325182785e-06,K-12,b3261,fis,DNA-binding transcriptional dual regulator Fis
79451_phnC,29.046174887724188,3.3442525602729285,0.8129511581105477,2.8836327212097395,0.003931169514464453,0.04298967069038076,K-12,b4106,phnC,phosphonate ABC transporter ATP binding subunit
76154_potE,533.337301260015,3.618167404019996,0.5590407825831554,4.683320941134652,2.8226403304447625e-06,7.651964458835969e-05,K-12,b0692,potE,putrescine:H(+) symporter/putrescine:ornithine antiporter PotE
79013_rpmB,14910.868838980483,2.3564570655395247,0.32558308348904513,4.166239385054432,3.0966553117429105e-05,0.0006529287605021326,K-12,b3637,rpmB,50S ribosomal subunit protein L28
78511_tdcC,2440.9709071013,4.994479661600537,0.7334916114853738,5.445842323283597,5.156079690457249e-08,1.9568838919311865e-06,K-12,b3116,tdcC,threonine/serine:H(+) symporter
76094_citC,344.79261142225164,6.7663862355935205,0.7127919465839181,8.089858847633087,5.973391528754222e-16,1.2043850669850702e-13,K-12,b0618,citC,citrate lyase synthetase
79538_ulaG,3115.937712263288,3.9431834720280134,0.7550176407718873,3.8981651726959248,9.692429911052547e-05,0.001817894121689274,K-12,b4192,ulaG,L-ascorbate-6-phosphate lactonase
75980_allA,180.33591092286682,3.38442918253292,0.5472430389194524,4.357166766782536,1.3175687846252604e-05,0.00030360549280007785,K-12,b0505,allA,ureidoglycolate lyase
75567_leuC,9704.909257792338,-5.344922102652541,0.8343058839843939,-5.2078286705860215,1.910632136550584e-07,6.699673122295853e-06,K-12,b0072,leuC,3-isopropylmalate dehydratase subunit LeuC
76089_citG,249.44747906151798,6.65670964879475,0.8260757732300588,6.847688592387008,7.505271664688181e-12,6.371580629022122e-10,K-12,b0613,citG,triphosphoribosyl-dephospho-CoA synthase
75533_caiA,783.9089866818318,2.27773716642865,0.30085168759565994,4.247066641507124,2.165875520196532e-05,0.0004689338542385242,K-12,b0039,caiA,crotonobetainyl-CoA reductase
79469_dcuB,677.1043390597171,5.140778517151007,0.6180752538518698,6.6994730679565455,2.0917241299134482e-11,1.5692795449071584e-09,K-12,b4123,dcuB,anaerobic C4-dicarboxylate transporter DcuB
77932_uraA,909.3681965400597,3.0160645011022007,0.4148289335779064,4.8599900776293765,1.1739163638313595e-06,3.442776536109061e-05,K-12,b2497,uraA,hypothetical protein
78081_gabD,5380.301720902237,-5.153430169383022,0.7107382608400976,-5.843825214184526,5.1015555907404606e-09,2.493578535716473e-07,K-12,b2661,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase
76908_mnaT,1004.9907859080428,-2.3987143072891217,0.3597552433414229,-3.887960865553481,0.00010108992029186175,0.0018850640627835027,K-12,b1448,mnaT,L-amino acid N-acyltransferase
16624_Bacterial_type_II_se..,110.14168018804251,2.5235436475491424,0.5290624023573485,2.879705004099089,0.003980474207676018,0.04338178984446904,UTI89,UTI89_C3380,gspI,hypothetical type II secretion protein GspI
78137_hycB,54.400868302273814,4.127167054267089,0.5520354011668457,5.664794409302642,1.472009200658384e-08,6.505070796334174e-07,K-12,b2724,hycB,formate hydrogenlyase subunit HycB
77979_yphA,551.6904646041829,-3.788445254808793,0.8122458029693246,-3.433006664503629,0.0005969274250550263,0.009083433364280729,K-12,b2543,yphA,putative inner membrane protein
75993_ylbE,397.20894896744886,5.254120890402964,0.5230924944374005,8.132636074196364,4.20054256407068e-16,9.03396687446134e-14,K-12,b4572,ylbE,DUF1116 domain-containing protein YlbE
77629_rplY,13668.685992752136,2.3878470726519128,0.4512492620095567,3.0755664097297077,0.0021010313376433045,0.025969069330411116,K-12,b2185,rplY,50S ribosomal subunit protein L25
75930_ybaY,585.9335553731405,-3.88783365648858,0.7897367675092455,-3.6567040757093436,0.0002554790293341004,0.0042325054328106616,K-12,b0453,ybaY,PF09619 family lipoprotein YbaY
79145_ilvC,75337.86752390304,-5.2530475311520375,0.9602125271559284,-4.429277280675788,9.454939772365456e-06,0.00022977524728939668,K-12,b3774,ilvC,ketol-acid reductoisomerase (NADP(+))
76501_opgC,794.2413163569441,2.3770329084496837,0.3978286294508461,3.4613720745802268,0.0005374294718372926,0.00821681268316164,K-12,b1047,opgC,protein required for succinyl modification of osmoregulated periplasmic glucans
79544_ulaF,1374.3182150762475,4.064688589867929,0.3821413829182165,8.01977678121245,1.0593750214793366e-15,2.0103198937013767e-13,K-12,b4198,ulaF,L-ribulose-5-phosphate 4-epimerase UlaF
78691_rpmC,8881.275662598326,2.546474409731857,0.4821096394229982,3.2077234787977247,0.0013379006906965036,0.017725155111672324,K-12,b3312,rpmC,50S ribosomal subunit protein L29
75808_yahK,1655.1218102237467,-3.4474690631513925,0.8210217649978342,-2.981003875284413,0.002873051570685737,0.033460160169791295,K-12,b0325,yahK,"aldehyde reductase, NADPH-dependent"
79331_rplK,30116.322036379435,2.8245790909367523,0.41197449605460496,4.42886418555122,9.473065061838116e-06,0.00022977524728939668,K-12,b3983,rplK,50S ribosomal subunit protein L11
78017_grcA,11270.345899226348,5.670635791475022,0.6156419791044384,7.586610318986528,3.283827730115808e-14,4.605925329284174e-12,K-12,b2579,grcA,stress-induced alternate pyruvate formate-lyase subunit
76311_potF,6386.726453176237,-3.758375798767302,0.6977220041120406,-3.9534023328929737,7.704772153732603e-05,0.0014707452643752295,K-12,b0854,potF,putrescine ABC transporter periplasmic binding protein
76281_ybiY,578.4776547449899,4.4195010952629366,0.7162999058694799,4.773839933864264,1.807460575520811e-06,5.114796330377312e-05,K-12,b0824,ybiY,putative pyruvate formate-lyase activating enzyme YbiY
