,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,1.4464031116703444,0.6354855571067599,0.7024598854814726,0.4823924100221455,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,0.5752233336710562,0.23829232612311396,0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,0.6541744828359813,0.3906227111753023,0.0,1.0,1.0,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,0.674846961595458,0.4150537294771264,0.0,1.0,1.0,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,0.7719034420391164,0.4250078864006631,0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,1.3838315156843208,0.4318717510026973,0.8887627282709766,0.37413061082396215,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,-2.9250289232465714,0.4089954564614045,-4.706724470491103,2.5172877451800707e-06,0.00011124342830069736,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,-0.10111878804867157,0.4171615394386922,-0.0,1.0,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,1.151082603261513,0.24408459867682586,0.6189763880249981,0.5359319139998877,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,-3.4608990190592555,0.7056225311893753,-3.4875573132723536,0.0004874544357835913,0.011735283655506459,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,1.8796460329164315,0.6042630526250787,1.4557336065725286,0.14546627584843946,0.9024503959366648,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,0.31089194741681664,0.441730818658884,0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,1.5174631321181822,0.402803619792628,1.284653629440032,0.19891334906311475,1.0,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,1.1274394414964517,0.3400375044566309,0.3747805457521388,0.7078236837290299,1.0,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,-0.3159536299640756,0.3850132516186485,-0.0,1.0,1.0,K-12,b2922,yggE,uncharacterized protein YggE
78548_yhbT,3014.3311705613173,-0.4000585998024529,0.3193651143693088,-0.0,1.0,1.0,K-12,b3157,yhbT,SCP2 domain-containing protein YhbT
79357_yjaB,274.63678670371604,-0.6747575668756829,0.7160657277888259,-0.0,1.0,1.0,K-12,b4012,yjaB,putative N-acetyltransferase YjaB
78984_gpsA,5310.680593105596,0.2920795014696967,0.3832330705941254,0.0,1.0,1.0,K-12,b3608,gpsA,glycerol-3-phosphate dehydrogenase
76673_chaA,1669.0642364571818,1.5399256469952658,0.656425727123282,0.8225235920618689,0.4107789651990452,1.0,K-12,b1216,chaA,Na(+)/K(+):H(+) antiporter ChaA
77324_ruvB,1741.9530058971827,0.20775056579701773,0.2966452580627521,0.0,1.0,1.0,K-12,b1860,ruvB,Holliday junction branch migration complex subunit RuvB
75602_ppdD,20.791907461685263,-0.7399671121937821,0.9013805096201272,-0.0,1.0,1.0,K-12,b0108,ppdD,prepilin peptidase-dependent protein
77343_flhE,61.96060443626818,-1.0986991713519547,0.6076069075732374,-0.16243918579885153,0.8709600147839961,1.0,K-12,b1878,flhE,flagellar protein
3665_Hypothetical_oxidore..,133.5643885134952,-1.792146618557216,0.8498034149528506,-0.932152783360098,0.35125757293082904,1.0,CFT073,c3751,,Hypothetical oxidoreductase ydfI
79118_atpI,4659.211634648992,1.37962361582026,0.4021356745752787,0.9440187474568248,0.3451600681581373,1.0,K-12,b3739,atpI,ATP synthase accessory factor
395_2-5-diketo-D-gluconi..,1335.4859037508475,-1.006898184932152,0.4767684618682755,-0.01446862677350915,0.9884561088513988,1.0,CFT073,c0414,,"2,5-diketo-D-gluconic acid reductase A"
78928_yiaG,3856.901159214069,-0.697921436012928,0.9274123995993058,-0.0,1.0,1.0,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
79401_aphA,865.1635777206031,-1.8015996784113733,0.3437274033642319,-2.332079638008832,0.0196965020200961,0.23190115152127744,K-12,b4055,aphA,acid phosphatase/phosphotransferase
76090_citX,142.51007694607304,-5.856185830225473,0.8408729600934864,-5.775171828198132,7.687459355678116e-09,6.702633481464217e-07,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
77691_nudI,774.2138551438915,-1.0715951282271785,0.5870135022514935,-0.12196504501612825,0.902926701584668,1.0,K-12,b2251,nudI,pyrimidine deoxynucleotide diphosphatase NudI
75621_yadG,3580.914348293305,0.7261686772537348,0.2455776593954767,0.0,1.0,1.0,K-12,b0127,yadG,putative ABC transporter ATP-binding protein YadG
77688_yfaX,43.599592842464105,-2.6493456240931703,0.6474752417574553,-2.5473493312521382,0.010854471436586943,0.14712825569088014,K-12,b2248,yfaX,putative DNA-binding transcriptional regulator YfaX
79715_deoA,4865.165346049903,-2.5461551066152057,0.5594466595119585,-2.763722117786916,0.005714618323597658,0.08737136830296703,K-12,b4382,deoA,thymidine phosphorylase
79601_holC,2602.28468997596,-0.5337346994926165,0.3243717228443705,-0.0,1.0,1.0,K-12,b4259,holC,DNA polymerase III subunit chi
4663_Putative_conserved_p..,862.6996315253308,0.2337905507380991,0.39072748846298944,0.0,1.0,1.0,CFT073,c4761,,Putative conserved protein
79673_yjiM,196.495498578794,-1.8121400807006809,0.6776719344415167,-1.1984266123843277,0.23075097728267374,1.0,K-12,b4335,yjiM,putative dehydratase subunit
77971_hcaT,346.3419339200102,0.8004709879182841,0.3376972192175624,0.0,1.0,1.0,K-12,b2536,hcaT,putative 3-phenylpropionate transporter
77172_btuC,1157.4100445297847,0.3365378735662069,0.4247775351958679,0.0,1.0,1.0,K-12,b1711,btuC,vitamin B12 ABC transporter membrane subunit
75626_rpnC,1117.9245268199477,0.3789158315331469,0.6003380089974693,0.0,1.0,1.0,K-12,b0132,rpnC,recombination-promoting nuclease RpnC
75585_murG,3371.071365544081,0.638063800684108,0.2500158427714672,0.0,1.0,1.0,K-12,b0090,murG,N-acetylglucosaminyl transferase
78708_gspH,102.7691576404146,-2.7289721343015843,0.5813379798073883,-2.9741255420374144,0.0029382483452100967,0.052369000893081614,K-12,b3329,gspH,Type II secretion system protein GspH
77621_yejA,1095.4276373925272,0.5832707929827806,0.3003452261308022,0.0,1.0,1.0,K-12,b2177,yejA,putative oligopeptide ABC transporter periplasmic binding protein
77282_manZ,10607.340976341182,-0.19425377076967512,0.6073957205416092,-0.0,1.0,1.0,K-12,b1819,manZ,mannose-specific PTS enzyme IID component
76648_ycgR,577.8942310336545,0.9080353026707008,1.2282429790161424,0.0,1.0,1.0,K-12,b1194,ycgR,flagellar brake protein YcgR
79597_rraB,12948.093936883364,2.1163528713037705,0.5761939769084079,1.9374601541196368,0.052689119577306286,0.4656852048120277,K-12,b4255,rraB,ribonuclease E inhibitor protein B
77266_rnd,2403.175495672896,1.579214927295044,0.28961324149084555,1.9999600995914841,0.04550457259151379,0.4304919389449369,K-12,b1804,rnd,RNase D
79279_yiiR,621.3421230159679,0.9186219750209029,0.3399759711981741,0.0,1.0,1.0,K-12,b3921,yiiR,DUF805 domain-containing protein YiiR
78668_trkA,1957.2588902044504,1.2678257361386391,0.3001203757508579,0.892394378317626,0.3721815832714262,1.0,K-12,b3290,trkA,NAD-binding component of Trk potassium transporters
76172_ybgI,4037.7470846395363,-0.7282494445028527,0.29604751185100586,-0.0,1.0,1.0,K-12,b0710,ybgI,radiation resistance protein YbgI
3424_Hypothetical_protein,60.17057227882355,-2.4279807212144457,0.9209118963117906,-1.5506160002204796,0.12099373543338518,0.7873407541932935,CFT073,c3506,,Hypothetical protein
75888_tsx,6210.166905046288,0.5889789156608872,0.5449821019253618,0.0,1.0,1.0,K-12,b0411,tsx,nucleoside-specific channel-forming protein Tsx
77309_ptrB,1279.5856849480888,-0.5857022917775604,0.4823001159457682,-0.0,1.0,1.0,K-12,b1845,ptrB,oligopeptidase B
