,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
78042_rpsP,51644.71678638696,3.8784421211365516,0.6042419964795454,4.763724034256186,1.900523837918788e-06,3.2099947126314184e-05,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77933_upp,7253.338641180296,4.5090931158240375,0.4028982450657043,8.70962621158049,3.0487847118021162e-18,8.941254072976022e-16,K-12,b2498,upp,uracil phosphoribosyltransferase
78326_yggE,6116.647604324817,-2.0389528306687783,0.3841300092731804,-2.704690614082977,0.006836803244735319,0.037509400114823364,K-12,b2922,yggE,uncharacterized protein YggE
79118_atpI,4659.211634648992,2.646928552706032,0.401728144841746,4.09960958387621,4.1384768016805015e-05,0.0004751148100434626,K-12,b3739,atpI,ATP synthase accessory factor
395_2-5-diketo-D-gluconi..,1335.4859037508475,-3.131765309333967,0.4741328505177378,-4.496135011539799,6.919980596796808e-06,0.00010193542194185618,CFT073,c0414,,"2,5-diketo-D-gluconic acid reductase A"
78928_yiaG,3856.901159214069,-4.751724429912637,0.9259957167236601,-4.0515570019987965,5.087792723050164e-05,0.0005679314645176411,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
79715_deoA,4865.165346049903,-2.8777397453132325,0.5592125519860969,-3.357828322422772,0.0007855738743078317,0.005991161509496606,K-12,b4382,deoA,thymidine phosphorylase
76172_ybgI,4037.7470846395363,-2.079647594560857,0.2948998740950605,-3.6610649559410606,0.00025116906462100286,0.0021958574592611255,K-12,b0710,ybgI,radiation resistance protein YbgI
75888_tsx,6210.166905046288,2.643721720813704,0.5448837640923154,3.016646538462872,0.0025558764765007173,0.015917485546701374,K-12,b0411,tsx,nucleoside-specific channel-forming protein Tsx
78352_yqgF,628.0479871565693,2.1545924686372504,0.26548527662193605,4.348988702230167,1.367667570055338e-05,0.00018231799921481488,K-12,b2949,yqgF,ribonuclease H-like domain containing nuclease
75566_leuD,5864.510583198311,-4.694782905125988,0.9543755790912896,-3.8714139234828084,0.00010820586788627736,0.0010610095130733457,K-12,b0071,leuD,3-isopropylmalate dehydratase subunit LeuD
78882_yhiD,3801.734538502083,-6.7237435956893625,1.145894071053596,-4.995002365643317,5.883504620869917e-07,1.1433846931883344e-05,K-12,b3508,yhiD,inner membrane protein YhiD
77533_yegS,1849.1645093960876,-4.577246128863865,0.7417885322215345,-4.82246081393386,1.4179789266111646e-06,2.433191498535967e-05,K-12,b2086,yegS,lipid kinase
78942_xylG,8549.466723718066,-7.104303617019736,0.7182421018151296,-8.498949868843722,1.9131349734197505e-17,5.089893683734153e-15,K-12,b3567,xylG,xylose ABC transporter ATP binding subunit
77696_arnD,974.2520798213134,-2.82476581128555,0.5060574799184023,-3.6058469318145017,0.0003111365049798694,0.002627555929489682,K-12,b2256,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
78474_ebgC,130.69736325527538,3.530686392753517,0.5072516619890954,4.9890154777017175,6.06877851135774e-07,1.1584544069609507e-05,K-12,b3077,ebgC,DUF386 domain-containing evolved beta-D-galactosidase subunit beta
77167_ydiU,2822.550218190987,-2.321833475294659,0.2842864560206566,-4.649653359492486,3.3249337461709155e-06,5.3364359528096394e-05,K-12,b1706,ydiU,UPF0061 family protein YdiU
78409_dkgA,2328.535683482138,-3.9308019337680298,0.8501298187552714,-3.4474757491264123,0.0005658512037543851,0.0044414500810502355,K-12,b3012,dkgA,methylglyoxal reductase DkgA
76899_ydcS,843.9997681712795,-4.5242431207908576,0.9896143766792708,-3.5612287006346186,0.0003691233864705562,0.0030769820277881505,K-12,b1440,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase
78628_yhcO,1504.5615031262164,-3.9951402077893103,0.8533684006711915,-3.5097856979864406,0.0004484679823133077,0.0036454417651914906,K-12,b3239,yhcO,putative barnase inhibitor
77634_narP,881.6097968753654,2.4833494792611672,0.50825758628378,2.918499436687118,0.003517205107625706,0.02124813422696728,K-12,b2193,narP,DNA-binding transcriptional dual regulator NarP
78340_speB,3585.559493264961,2.8647677065021653,0.4492815091146884,4.150555205747727,3.316697563109522e-05,0.00040167157737030736,K-12,b2937,speB,agmatinase
76405_uup,6073.776087881717,2.137291213038948,0.35095228140551105,3.240586465157793,0.0011928409027454074,0.008494712477387827,K-12,b0949,uup,ATP-binding protein with possible role in replication
78565_secG,10070.018122178337,2.6634036533206413,0.3929927612781883,4.232657232439876,2.3094634721266265e-05,0.00029216977102276457,K-12,b3175,secG,Sec translocon subunit SecG
75722_gpt,3918.881612748266,4.2939156049068705,0.3312808283586761,9.94297080584622,2.7063328841072386e-23,2.1826574710324878e-20,K-12,b0238,gpt,xanthine-guanine phsophoribosyltransferase
79415_acs,6385.669340011775,-5.56966942763979,0.7955202812575538,-5.744252579476771,9.232788636128921e-09,3.070616096922876e-07,K-12,b4069,acs,acetyl-CoA synthetase (AMP-forming)
79140_ilvM,3825.278874235472,-2.8964738968312327,0.5970466707702129,-3.176424875436806,0.0014910240179736964,0.01021240654348863,K-12,b3769,ilvM,acetolactate synthase II subunit IlvM
76187_sdhB,7169.672246408464,-2.8577083161778343,0.6040242363824543,-3.075552609120101,0.0021011285738893803,0.013502471672046096,K-12,b0724,sdhB,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein"
78687_rplE,81743.66227009312,2.607119608669961,0.5014010830123559,3.20525755352299,0.0013494167516413852,0.009402199656144944,K-12,b3308,rplE,50S ribosomal subunit protein L5
79309_pflC,343.4575984608928,-2.6035757292993527,0.5916749161157971,-2.7102310502301497,0.006723635275472035,0.03707768786097912,K-12,b3952,pflC,putative pyruvate formate-lyase 2 activating enzyme PflC
76232_bioF,162.9075172999193,3.975847914858255,0.9510780603339892,3.1289207889131925,0.0017544959828835814,0.011655145339196416,K-12,b0776,bioF,8-amino-7-oxononanoate synthase
78685_rpsH,74233.45565549031,2.7551167288230105,0.5421615865250677,3.2372576229021712,0.0012068440887741732,0.00857550447221472,K-12,b3306,rpsH,30S ribosomal subunit protein S8
77575_osmF,1401.4798123408764,-4.104703819368403,0.8115008200491042,-3.825878844066401,0.00013030636934157242,0.0012436933357867234,K-12,b2131,osmF,glycine betaine ABC transporter periplasmic binding protein OsmF
77205_astB,1224.7972022134156,-5.109730056395176,1.0002704607815165,-4.108618836133802,3.980323781309565e-05,0.0004618893711692321,K-12,b1745,astB,N-succinylarginine dihydrolase
75945_apt,1460.4498767835198,3.4536493375187503,0.33234628863112353,7.382809501574108,1.5498370634390167e-13,1.6665914555514226e-11,K-12,b0469,apt,adenine phosphoribosyltransferase
79356_yjaA,165.6737306149764,4.194001709652053,0.4895260371271257,6.524681972784622,6.814597018653603e-11,3.726083047826529e-09,K-12,b4011,yjaA,stress response protein
78729_yheV,719.7188087714903,-2.4852638159622846,0.4709547268848402,-3.1537295013188547,0.0016119842420519654,0.010902015020670106,K-12,b4551,yheV,DUF2387 domain-containing protein YheV
77556_yehE,363.9754797738346,-4.333731385230778,0.9207589578261708,-3.6206342136506806,0.0002938817541157749,0.002514754744767878,K-12,b2112,yehE,DUF2574 domain-containing protein YehE
77538_gatA,51.412760649662296,-4.1755144501844645,1.11699738937558,-2.842902302537725,0.0044704771626284815,0.026126375591738187,K-12,b2094,gatA,galactitol-specific PTS enzyme IIA component
76805_ynaL,399.3268642124702,-6.182043674078647,1.0153113261374498,-5.103896253962518,3.327307302398188e-07,7.061771945747733e-06,K-12,b4743,ynaL,protein YnaL
76544_fabH,6746.860283117688,2.1678407842433067,0.3689589522747268,3.1652322759571714,0.0015495919350817418,0.010524175963313051,K-12,b1091,fabH,beta-ketoacyl-[acyl carrier protein] synthase III
78006_lepA,8582.398398318774,2.024474718392093,0.359067355824245,2.853154712547997,0.00432875412951405,0.025529361648651414,K-12,b2569,lepA,elongation factor 4
78119_gutM,1442.7460958367105,-4.1154854830528205,0.9644828712298918,-3.230213387906005,0.0012369785790151634,0.00873193193851842,K-12,b2706,gutM,DNA-binding transcriptional activator GutM
78679_secY,149934.05325160167,3.0154530349992066,0.5084691401014607,3.963766679325003,7.377636209617217e-05,0.0007880878944445411,K-12,b3300,secY,Sec translocon subunit SecY
78689_rplN,66797.06070056255,2.9497158166787734,0.5229337640931428,3.728418301809056,0.00019268535430102274,0.0017760084370717125,K-12,b3310,rplN,50S ribosomal subunit protein L14
6354_hypothetical_protein,57.35856759863386,2.8384455427837945,0.5795532333854291,3.1721771821453117,0.0015130066638801894,0.01034101588490994,UTI89,UTI89_C1440,,hypothetical protein
77108_sodC,1210.1203674278179,-4.602962251940872,0.7832088924248151,-4.600257079290941,4.219698480681002e-06,6.576206424481601e-05,K-12,b1646,sodC,superoxide dismutase (Cu-Zn)
78677_rpsM,66317.97116196483,2.845848733934735,0.348766915069712,5.2924995295662844,1.2065578027954508e-07,2.9712637189451335e-06,K-12,b3298,rpsM,30S ribosomal subunit protein S13
78964_yiaY,97.09929100623786,2.3430891138162453,0.40429107255668617,3.3220845202510105,0.0008934762490653783,0.006687597168178446,K-12,b3589,yiaY,L-threonine dehydrogenase
76683_narJ,1660.3237388172574,3.0890464005057834,0.7042536633692372,2.966326636501293,0.003013802195228755,0.018448815715005618,K-12,b1226,narJ,nitrate reductase 1 molybdenum cofactor assembly chaperone
76129_gltI,23035.15963344285,-4.305627422424778,0.6495823200358641,-5.088850666751939,3.602401437263852e-07,7.595651657917116e-06,K-12,b0655,gltI,glutamate/aspartate ABC transporter periplasmic binding protein
76292_rimO,7969.104837659423,3.029136238056036,0.6135558084525136,3.3071746858266144,0.0009424210302641679,0.0069781895052995905,K-12,b0835,rimO,ribosomal protein S12 methylthiotransferase RimO
77608_psuG,40134.723382945114,-5.828931472212268,0.7928167000672857,-6.090854887141554,1.1230931991774519e-09,4.8960792710087305e-08,K-12,b2165,psuG,pseudouridine-5'-phosphate glycosidase
78688_rplX,97891.71262745325,2.637754333661809,0.5832926868326632,2.807774502634306,0.004988514426226881,0.028892185886908294,K-12,b3309,rplX,50S ribosomal subunit protein L24
3214_Potential_molybdenum..,2805.6341158893456,-2.6993159839185465,0.5841019860472552,-2.9092795856048816,0.003622627314133101,0.02175053939508416,CFT073,c3292,,Potential molybdenum-pterin-binding-protein
77828_yfeO,225.8746301623352,-2.682423884633419,0.5564248512384187,-3.0236318181851454,0.002497601944893272,0.015614852469429641,K-12,b2389,yfeO,putative transport protein YfeO
75900_thiI,3151.8820069323065,2.9796617822415485,0.3711575633349552,5.333750347032483,9.620477063291414e-08,2.4437526776518198e-06,K-12,b0423,thiI,tRNA uridine 4-sulfurtransferase
