"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0009271",3,3,0.16,"0.00015","phage shock","pspA,pspD,pspG","pspA,pspD,pspG"
"2","GO:0015990",8,4,0.43,"0.00048","electron transport coupled proton transport","cyoA,cyoB,cyoC,cyoD,nuoB,nuoL,nuoM,nuoN","cyoA,cyoB,cyoC,cyoD"
"3","GO:0019646",9,4,0.49,"0.00082","aerobic electron transport chain","appB,appC,cydA,cydB,cyoA,cyoB,cyoC,cyoD,ndh","cyoA,cyoB,cyoC,cyoD"
"4","GO:0033212",5,3,0.27,"0.00142","iron assimilation","ahpC,cirA,efeB,fepA,fhuF","ahpC,cirA,efeB"
"5","GO:0009263",6,3,0.32,"0.00272","deoxyribonucleotide biosynthetic process","dut,nrdB,nrdE,nrdF,tmk,yfbR","nrdE,nrdF,yfbR"
"6","GO:0071978",12,4,0.65,"0.00285","bacterial-type flagellum-dependent swarming motility","flgB,flgC,flgD,flgE,flgF,flgG,fliL,pgrR,ycdX,ycdY,yciG,yfiR","flgB,flgE,flgG,fliL"
"7","GO:0031162",2,2,0.11,"0.00289","sulfur incorporation into metallo-sulfur cluster","sufE,sufS","sufE,sufS"
"8","GO:0040011",53,13,2.86,"0.00557","locomotion","aer,cdgI,chaC,cheA,cheB,cheW,cheY,cheZ,cobB,dgcJ,dgcN,dgcQ,ecpR,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgI,flgJ,fliD,fliG,fliK,fliL,fliM,fliS,fliT,fliZ,frdA,frdB,frdC,glgS,malE,motA,nikA,pdeH,pgrR,plaP,recA,tar,tsr,uspE,uspG,ybjN,ycdX,ycdY,ycgR,yciG,ydiV,yfiR,ypdB","cheA,cheB,flgA,flgB,flgE,flgG,fliD,fliL,fliM,fliS,fliZ,motA,plaP"
"9","GO:0046654",8,3,0.43,"0.00704","tetrahydrofolate biosynthetic process","folA,folC,folM,metF,nudB,pabA,pabB,purU","folA,pabB,purU"
"10","GO:0008295",3,2,0.16,"0.00837","spermidine biosynthetic process","speC,speD,speE","speD,speE"
