"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"3","GO:0032843",4,3,0.19,"0.00043","hydroperoxide reductase activity","ahpC,bcp,hmp,tpx","ahpC,bcp,hmp"
"4","GO:0016209",15,4,0.73,"0.00471","antioxidant activity","adeD,ahpC,bcp,btuE,efeB,gor,hcp,katG,osmC,sodA,sodB,sodC,tpx,trxB,yfeX","ahpC,bcp,efeB,sodA"
"5","GO:0042912",3,2,0.15,"0.00677","colicin transmembrane transporter activity","cirA,fepA,ompF","cirA,ompF"
"6","GO:0009008",3,2,0.15,"0.00677","DNA-methyltransferase activity","dam,dcm,yhdJ","dcm,yhdJ"
"7","GO:0016684",10,3,0.48,"0.01036","oxidoreductase activity, acting on peroxide as acceptor","adeD,ahpC,bcp,btuE,efeB,hcp,katG,osmC,tpx,yfeX","ahpC,bcp,efeB"
"8","GO:0004601",10,3,0.48,"0.01036","peroxidase activity","adeD,ahpC,bcp,btuE,efeB,hcp,katG,osmC,tpx,yfeX","ahpC,bcp,efeB"
"9","GO:0140104",11,3,0.53,"0.01375","molecular carrier activity","acpP,cusF,fdhD,iscA,iscS,narJ,narW,sufE,tusA,tusD,tusE","acpP,sufE,tusA"
"10","GO:0015078",45,6,2.18,"0.01964","proton transmembrane transporter activity","acrB,acrD,adeP,ampG,araE,atpA,atpB,atpC,atpD,atpF,atpG,atpH,cadB,chaA,clcA,codB,cyoA,cyoB,cyoC,cyoD,cysZ,dctA,dtpA,dtpB,dtpC,emrE,fucP,galP,glcA,kdgT,lacY,lldP,mdfA,mdtB,mdtC,mntH,nanT,nhaB,nupC,plaP,proP,satP,tdcC,yaaU,ybbW","cyoA,cyoB,cyoC,cyoD,cysZ,plaP"
"11","GO:0061731",5,2,0.24,"0.02115","ribonucleoside-diphosphate reductase activity","nrdB,nrdD,nrdE,nrdF,nrdG","nrdE,nrdF"
"12","GO:0004748",5,2,0.24,"0.02115","ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor","nrdB,nrdD,nrdE,nrdF,nrdG","nrdE,nrdF"
"13","GO:0051213",5,2,0.24,"0.02115","dioxygenase activity","alkB,hmp,roxA,tauD,yhhW","hmp,yhhW"
"14","GO:0048039",5,2,0.24,"0.02115","ubiquinone binding","cyoA,cyoB,gcd,nuoM,sdhC","cyoA,cyoB"
"15","GO:0016728",5,2,0.24,"0.02115","oxidoreductase activity, acting on CH or CH2 groups, disulfide as acceptor","nrdB,nrdD,nrdE,nrdF,nrdG","nrdE,nrdF"
