"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"7","GO:0031460",6,4,0.37,"0.00019","glycine betaine transport","emrE,osmF,proP,yehW,yehX,yehY","osmF,yehW,yehX,yehY"
"8","GO:0006970",29,8,1.8,"0.00025","response to osmotic stress","aqpZ,betI,cpsB,cysG,emrE,envZ,flgH,gshA,lepA,mscK,mscM,opgG,osmC,osmE,osmF,osmY,otsA,otsB,proP,rcsC,rpoE,treA,treF,uspC,ybdG,ybiO,yggT,yjjB,ynaI","osmC,osmE,osmF,osmY,otsA,otsB,treA,ybiO"
"9","GO:0071973",38,9,2.36,"0.00037","bacterial-type flagellum-dependent cell motility","cdgI,chaC,cheY,cheZ,dgcJ,dgcN,dgcQ,ecpR,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgI,flgJ,fliD,fliG,fliK,fliL,fliS,fliT,fliZ,frdA,frdB,frdC,glgS,motA,pgrR,uspE,ybjN,ycdX,ycdY,ycgR,yciG,ydiV,yfiR","cheY,cheZ,fliD,fliS,frdA,frdB,frdC,ycgR,yciG"
"10","GO:0006097",7,4,0.43,"0.00043","glyoxylate cycle","aceA,aceB,aceK,acnA,acnB,glcB,prpB","aceA,aceB,acnA,glcB"
"11","GO:0009436",4,3,0.25,"0.00089","glyoxylate catabolic process","gcl,glcB,glxK,glxR","glcB,glxK,glxR"
"12","GO:0044780",9,4,0.56,"0.00140","bacterial-type flagellum assembly","bdm,dgcZ,flgK,flhA,fliG,frdA,frdB,frdC,ybjN","bdm,frdA,frdB,frdC"
"13","GO:0009061",56,10,3.48,"0.00186","anaerobic respiration","acnA,bisC,dld,dmsA,dmsB,dmsC,erpA,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,fnr,frdA,frdB,frdC,frdD,glpA,glpB,glpC,glpD,hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO,hycB,hydN,lldD,mdh,napA,napB,napC,narG,narH,narI,narV,narY,narZ,ndh,nirB,nirD,nrfA,nrfB,nrfC,nrfD,torA,torC,torS,torY,torZ,ygfS,ysaA","acnA,frdA,frdB,frdC,frdD,hyaA,hyaB,narV,narY,narZ"
"14","GO:0070415",2,2,0.12,"0.00383","trehalose metabolism in response to cold stress","otsA,otsB","otsA,otsB"
"15","GO:0019935",2,2,0.12,"0.00383","cyclic-nucleotide-mediated signaling","dgcM,pdeR","dgcM,pdeR"
"16","GO:0045471",2,2,0.12,"0.00383","response to ethanol","aldB,uspB","aldB,uspB"
"17","GO:0005992",2,2,0.12,"0.00383","trehalose biosynthetic process","otsA,otsB","otsA,otsB"
"18","GO:0042402",6,3,0.37,"0.00408","cellular biogenic amine catabolic process","eutB,patA,patD,sad,speG,tnaA","patA,patD,tnaA"
"19","GO:0009060",36,7,2.23,"0.00557","aerobic respiration","aceK,acnA,acnB,appB,appC,cydA,cydB,cyoA,cyoB,cyoC,cyoD,dld,erpA,fumC,glpD,lldD,mdh,ndh,nuoB,nuoF,nuoG,nuoH,nuoI,nuoM,nuoN,sdhA,sdhB,sdhC,sdhD,sucA,sucB,sucC,sucD,torA,torC,yahF","acnA,appC,sdhA,sdhB,sdhC,sdhD,sucC"
"20","GO:0000103",7,3,0.43,"0.00681","sulfate assimilation","cysH,cysQ,cysU,cysW,cysZ,trxA,trxC","cysH,cysU,cysW"
"21","GO:0009268",21,5,1.3,"0.00777","response to pH","clcA,clcB,evgS,frc,hchA,hdeA,hdeB,hdeD,lepA,mnmE,oxc,phoU,sodA,yagU,ybaT,yceO,ydeP,ygiN,yhcN,yjaA,yodD","hdeA,hdeB,hdeD,ybaT,yodD"
"22","GO:0071214",21,5,1.3,"0.00777","cellular response to abiotic stimulus","clcA,clcB,frc,hdeA,mscK,mscM,nth,osmF,oxc,phoU,rcsC,treA,treF,uspE,ybdG,ybiO,yggT,yhcN,yjaA,ynaI,yodD","hdeA,osmF,treA,ybiO,yodD"
"23","GO:0072329",48,13,2.98,"0.00928","monocarboxylic acid catabolic process","acnB,acs,aidB,ansA,caiA,dgoA,dgoD,dgoK,fadA,fadB,fadD,fadE,fadH,fadM,fixB,gabD,gabT,gcl,ghrB,glcB,glcD,glcE,glcF,glxK,glxR,gntK,hdhA,idnD,idnK,idnO,kdgK,kduD,kduI,lgoD,lgoR,poxB,prpB,pta,sad,tesB,uxaA,uxaB,uxaC,uxuA,uxuB,ydiO,ydiR,ykgF","acs,aidB,fadA,fadH,gabD,gabT,glcB,glcD,glcE,glcF,glxK,glxR,poxB"
"24","GO:0006972",8,3,0.5,"0.01041","hyperosmotic response","cpsB,gshA,osmC,osmF,proP,treA,treF,yggT","osmC,osmF,treA"
"25","GO:0019645",8,3,0.5,"0.01041","anaerobic electron transport chain","narI,narV,narY,narZ,nrfA,nrfB,nrfC,nrfD","narV,narY,narZ"
"26","GO:0009450",3,2,0.19,"0.01101","gamma-aminobutyric acid catabolic process","gabD,gabT,sad","gabD,gabT"
"27","GO:0009447",3,2,0.19,"0.01101","putrescine catabolic process","patA,patD,sad","patA,patD"
"28","GO:0009448",3,2,0.19,"0.01101","gamma-aminobutyric acid metabolic process","gabD,gabT,sad","gabD,gabT"
"29","GO:0042135",9,3,0.56,"0.01491","neurotransmitter catabolic process","gabD,gabT,gcvH,gcvT,glyA,lpd,norV,norW,sad","gabD,gabT,gcvH"
"30","GO:0030258",17,4,1.06,"0.01795","lipid modification","aidB,caiA,cfa,fadA,fadB,fadD,fadE,fadH,fadK,fadM,fadR,fixB,lpp,pgpA,ydiO,ydiR,yegS","aidB,fadA,fadH,yegS"
"31","GO:0071470",10,3,0.62,"0.02034","cellular response to osmotic stress","mscK,mscM,osmF,rcsC,treA,treF,ybdG,ybiO,yggT,ynaI","osmF,treA,ybiO"
"32","GO:0001505",10,3,0.62,"0.02034","regulation of neurotransmitter levels","gabD,gabT,gcvH,gcvT,glyA,lpd,ltaE,norV,norW,sad","gabD,gabT,gcvH"
"33","GO:0042133",10,3,0.62,"0.02034","neurotransmitter metabolic process","gabD,gabT,gcvH,gcvT,glyA,lpd,ltaE,norV,norW,sad","gabD,gabT,gcvH"
"34","GO:0071474",4,2,0.25,"0.02113","cellular hyperosmotic response","osmF,treA,treF,yggT","osmF,treA"
"35","GO:0006591",4,2,0.25,"0.02113","ornithine metabolic process","argD,astC,gabT,ygeW","astC,gabT"
"36","GO:0006598",4,2,0.25,"0.02113","polyamine catabolic process","patA,patD,sad,speG","patA,patD"
"37","GO:0042450",4,2,0.25,"0.02113","arginine biosynthetic process via ornithine","argD,astC,gabT,ygeW","astC,gabT"
"38","GO:0018394",4,2,0.25,"0.02113","peptidyl-lysine acetylation","acs,cheY,patZ,yhcC","acs,cheY"
"39","GO:0015707",4,2,0.25,"0.02113","nitrite transport","narK,narU,nirC,yfdC","narU,yfdC"
"40","GO:0006099",11,3,0.68,"0.02672","tricarboxylic acid cycle","aceK,acnA,acnB,fumC,mdh,sdhA,sucA,sucB,sucC,sucD,yahF","acnA,sdhA,sucC"
"41","GO:0006101",11,3,0.68,"0.02672","citrate metabolic process","aceK,acnA,acnB,fumC,mdh,sdhA,sucA,sucB,sucC,sucD,yahF","acnA,sdhA,sucC"
