"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0000104",6,6,0.38,"0.00023","succinate dehydrogenase activity","frdA,frdB,frdC,frdD,sdhA,sdhC","frdA,frdB,frdC,frdD,sdhA,sdhC"
"3","GO:0015169",3,3,0.19,"0.00024","glycerol-3-phosphate transmembrane transporter activity","ugpA,ugpC,ugpE","ugpA,ugpC,ugpE"
"4","GO:0019154",3,3,0.19,"0.00024","glycolate dehydrogenase activity","glcD,glcE,glcF","glcD,glcE,glcF"
"5","GO:0008177",3,3,0.19,"0.00024","succinate dehydrogenase (ubiquinone) activity","frdC,frdD,sdhC","frdC,frdD,sdhC"
"6","GO:0004029",7,4,0.44,"0.00044","aldehyde dehydrogenase (NAD) activity","aldB,astD,eutE,gabD,patD,putA,sad","aldB,astD,gabD,patD"
"7","GO:0051538",5,3,0.31,"0.00218","3 iron, 4 sulfur cluster binding","frdB,hyaA,ispH,narH,sdhB","frdB,hyaA,sdhB"
"8","GO:0008106",5,3,0.31,"0.00218","alcohol dehydrogenase (NADP+) activity","ahr,yahK,ybbO,yghA,yqhD","ahr,yahK,yghA"
"9","GO:0001406",2,2,0.13,"0.00388","glycerophosphodiester transmembrane transporter activity","ugpA,ugpE","ugpA,ugpE"
"10","GO:0043424",2,2,0.13,"0.00388","protein histidine kinase binding","tar,tsr","tar,tsr"
"11","GO:0004888",2,2,0.13,"0.00388","transmembrane signaling receptor activity","tar,tsr","tar,tsr"
"12","GO:0004474",2,2,0.13,"0.00388","malate synthase activity","aceB,glcB","aceB,glcB"
"13","GO:0008940",7,3,0.44,"0.00695","nitrate reductase activity","napA,narG,narH,narI,narV,narY,narZ","narV,narY,narZ"
"14","GO:0003992",3,2,0.19,"0.01117","N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity","argD,astC,gabT","astC,gabT"
"15","GO:0043879",3,2,0.19,"0.01117","glycolate transmembrane transporter activity","actP,glcA,lldP","actP,glcA"
"16","GO:0003988",3,2,0.19,"0.01117","acetyl-CoA C-acyltransferase activity","fadA,leuA,yqeF","fadA,yqeF"
"17","GO:0015665",3,2,0.19,"0.01117","alcohol transmembrane transporter activity","actP,glcA,lldP","actP,glcA"
"18","GO:0050660",42,7,2.63,"0.01366","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fixC,fpr,frdA,gcl,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhB,xdhD,ydiO,ydiR","aidB,cysJ,fadH,frdA,lhgO,poxB,sdhA"
"19","GO:0071111",4,2,0.25,"0.02143","cyclic-guanylate-specific phosphodiesterase activity","pdeF,pdeH,pdeL,pdeR","pdeH,pdeR"
"20","GO:0015112",4,2,0.25,"0.02143","nitrate transmembrane transporter activity","narK,narU,nirC,yfdC","narU,yfdC"
"21","GO:0046906",29,5,1.81,"0.03126","tetrapyrrole binding","bfr,btuF,ccmE,ccmF,cybB,cydA,cydB,cyoB,cysI,efeB,eutC,fdnI,fdoI,hemF,hmp,hyaC,katG,metH,narI,narV,nikA,nirB,nrfA,nrfB,sdhC,sdhD,torC,torY,yfeX","cysI,eutC,narV,sdhC,sdhD"
"22","GO:0048029",6,2,0.38,"0.04931","monosaccharide binding","araF,fimH,fucU,ulaR,xylF,ytfQ","araF,ytfQ"
"23","GO:0016408",6,2,0.38,"0.04931","C-acyltransferase activity","fadA,grcA,leuA,pflB,tdcE,yqeF","fadA,yqeF"
