"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"6","GO:0019569",3,3,0.21,"0.00035","L-arabinose catabolic process to xylulose 5-phosphate","araA,araB,araD","araA,araB,araD"
"7","GO:0042882",3,3,0.21,"0.00035","L-arabinose transmembrane transport","araE,araF,araG","araE,araF,araG"
"8","GO:0015882",3,3,0.21,"0.00035","L-ascorbic acid transmembrane transport","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"9","GO:0006567",8,4,0.57,"0.00134","threonine catabolic process","grcA,ltaE,pflB,pta,tdcB,tdcD,tdcE,tdh","grcA,tdcB,tdcD,tdcE"
"10","GO:0044780",9,4,0.64,"0.00228","bacterial-type flagellum assembly","bdm,dgcZ,flgK,flhA,fliG,frdA,frdB,frdC,ybjN","bdm,frdA,frdB,frdC"
"11","GO:0042126",5,3,0.35,"0.00311","nitrate metabolic process","narG,narH,narJ,narL,narW","narG,narH,narJ"
"12","GO:0019852",4,4,0.28,"0.00484","L-ascorbic acid metabolic process","ulaD,ulaE,ulaF,ulaG","ulaD,ulaE,ulaF,ulaG"
"13","GO:0019679",2,2,0.14,"0.00496","propionate metabolic process, methylcitrate cycle","prpC,prpD","prpC,prpD"
"14","GO:0019854",2,2,0.14,"0.00496","L-ascorbic acid catabolic process","ulaD,ulaG","ulaD,ulaG"
"15","GO:0046210",2,2,0.14,"0.00496","nitric oxide catabolic process","norV,norW","norV,norW"
"16","GO:0046487",11,4,0.78,"0.00534","glyoxylate metabolic process","aceA,aceB,aceK,acnA,acnB,gcl,glcB,glxK,glxR,hyi,prpB","gcl,glxR,hyi,prpB"
"17","GO:0009437",7,3,0.49,"0.00979","carnitine metabolic process","caiB,caiD,caiE,caiF,fixA,fixB,fixC","caiE,fixB,fixC"
"18","GO:0015944",7,3,0.49,"0.00979","formate oxidation","fdhF,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI","fdhF,fdnG,fdnH"
"19","GO:0046942",87,15,6.14,"0.01147","carboxylic acid transport","aaeA,aaeB,acrA,actP,adiC,alaE,ansP,argO,aroP,artJ,artM,brnQ,cadB,cycA,cydC,cydD,dauA,dctA,dcuA,dcuB,dcuC,dsdX,eamA,eamB,exuT,fadL,focA,gabP,gadC,glcA,glnP,gltK,gltP,gltS,gntT,gntU,hisM,hisP,idnT,kdgT,leuE,livF,livG,livH,livJ,livK,livM,lldP,lysO,lysP,metI,metN,metQ,mtr,nanC,nanT,panF,pheP,plaP,proP,proV,proY,putP,rhtA,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,tnaB,ulaA,ulaB,ulaC,ybaT,yddG,ydgI,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","aaeA,aaeB,adiC,cadB,dcuB,dcuC,exuT,focA,gadC,mtr,proV,tdcC,ulaA,ulaB,ulaC"
