"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0044799",3,3,0.19,"0.00026","NarGHI complex","narG,narH,narI","narG,narH,narI"
"3","GO:0044569",7,4,0.45,"0.00048","[Ni-Fe] hydrogenase complex","hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO","hybA,hybB,hybC,hybO"
"4","GO:0031235",4,3,0.26,"0.00098","intrinsic component of the cytoplasmic side of the plasma membrane","ccmD,fdoH,narG,narH","ccmD,narG,narH"
"5","GO:0009350",2,2,0.13,"0.00407","ethanolamine ammonia-lyase complex","eutB,eutC","eutB,eutC"
"6","GO:0009344",2,2,0.13,"0.00407","nitrite reductase complex [NAD(P)H]","nirB,nirD","nirB,nirD"
"7","GO:0016020",968,80,61.95,"0.00558","membrane","aaeB,aas,abrB,aceE,ackA,acrA,acrB,acrD,acrE,acrF,acrZ,actP,adeP,adeQ,adhE,adiC,aer,agaC,agaD,ahpC,alaE,alaS,alsA,alsB,alsC,alx,amiD,ampG,amtB,ansP,appB,appC,aqpZ,araE,araF,araG,araH,araJ,arcB,argO,arnC,arnE,arnF,arnT,aroP,artM,artP,artQ,ascF,asmA,aspA,atoE,atoS,atpA,atpB,atpC,atpD,atpF,atpG,atpH,atpI,bacA,baeS,bamA,bamB,bamC,bamD,bamE,barA,basS,bcr,bcsA,bcsB,bcsG,bepA,betT,bfr,bglF,bglH,bglX,bhsA,brnQ,btuC,btuD,cadB,caiT,cbrB,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,cdgI,cdh,cdsA,chaA,chbC,cheA,cheB,cheR,cheZ,chiP,cirA,clcA,clcB,clpB,clpP,clsA,clsB,clsC,cmtA,cobS,codB,copA,corA,cpxA,crcB,creC,crr,csgB,csgE,csgF,csgG,cspC,csrD,cstA,cusA,cusC,cusS,cvpA,cvrA,cybB,cycA,cydA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cyoE,cysU,cysW,cysZ,dacA,dacC,dacD,dadA,dauA,dctA,dcuA,dcuB,dcuC,dcuS,dedA,degQ,degS,deoA,deoC,deoD,dgcE,dgcI,dgcJ,dgcN,dgcQ,dgkA,dgoT,dinF,djlA,dld,dmsA,dmsB,dmsC,dmsD,dnaA,dnaJ,dnaK,dpiB,dppA,dppB,dppC,dppD,dppF,dps,dsbB,dsbD,dsdX,dtpA,dtpB,dtpC,dtpD,eamA,eamB,ecnA,ecnB,eda,elyC,emrA,emrB,emrD,emrE,emrY,eno,entB,entD,entF,envC,envZ,eptA,eptB,eptC,era,eutH,evgS,exbB,exbD,exuT,fabI,fadD,fadE,fadL,fbaB,fdnG,fdnH,fdnI,fdoG,fdoH,fdoI,feoB,fepA,fepB,fepC,fepD,fepE,fepG,fetA,fetB,fhuA,fhuB,fhuE,fimD,fiu,flgG,flhA,flhB,fliG,fliP,fliR,focA,frdA,frdB,frdC,frdD,fruA,fruB,frvB,fryC,fsr,ftsA,ftsE,ftsH,ftsI,ftsL,ftsN,ftsQ,ftsW,ftsX,ftsY,fucP,fxsA,gabP,gadC,galP,gapA,garP,gcd,ghoT,glcA,glnA,glnP,glnQ,glpC,glpD,glpF,glpG,glpT,glrK,gltJ,gltK,gltP,gltS,glyA,gntT,gntU,gor,groL,gsiA,gsiC,gsiD,gspF,gspL,gspO,gudP,gyrA,hcaT,hda,hdeD,hflC,hflD,hflK,hisM,hisQ,hns,hofC,hslJ,hslU,hsrA,htpX,hupA,hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO,hycB,hycC,hycD,hydN,hypA,idnT,infB,infC,kch,kdgT,kdpA,kdpB,kdpC,kefB,kefC,kgtP,kup,lacY,lamB,lapA,lapB,lepA,lepB,leuE,lgt,lhgO,livH,livM,lldD,lldP,lnt,loiP,lolB,lolC,lolD,lolE,lpd,lplT,lpoA,lpoB,lpp,lptA,lptB,lptC,lptD,lptE,lptF,lptG,lpxB,lpxH,lpxL,lpxT,lspA,lysO,lysP,macA,macB,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdh,mdlA,mdlB,mdtB,mdtC,mdtD,mdtE,mdtF,mdtG,mdtH,mdtI,mdtJ,mdtK,mdtL,mdtO,menA,mepM,mepS,metG,metI,mglA,mglC,mgtA,minD,minE,mipA,mlaA,mlaB,mlaC,mlaE,mlaF,mliC,mltA,mltD,mltF,mnmE,mntH,mntP,modB,motA,motB,mqo,mrcA,mrcB,mrdA,mrdB,mreB,mreC,mreD,msbA,mscK,mscL,mscM,mscS,mtgA,mtr,murJ,murP,nagE,nanC,nanT,napC,napG,napH,narG,narH,narI,narK,narQ,narU,narV,narX,narY,narZ,ndh,nepI,nfrB,nfsB,nhaA,nhaB,nikB,nikC,nimT,nirC,nlpA,nlpD,nlpE,nlpI,nrfC,nrfD,nrfE,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,nupC,nupG,ompA,ompC,ompF,ompG,ompL,ompN,ompT,ompW,opgB,opgC,opgE,oppB,oppC,oppF,ortT,osmF,pagP,pal,panB,panF,parC,pbpC,pbpG,pdeA,pdeB,pdeC,pdeF,pdeK,pdeN,pflB,pgpA,pgpB,pgpC,pgsA,pheP,pheT,phoE,phoQ,phoR,phoU,plaP,pldA,pldB,plsB,plsC,pnp,pntA,pntB,pnuC,potB,potC,potF,potH,potI,ppa,ppiD,ppk,pppA,pqiA,proP,proW,proY,psiE,pspA,pspD,pspG,pstA,pstB,pstC,pstS,ptsG,purA,purC,putA,putP,pykF,pyrD,qmcA,qseC,rarD,rbbA,rbsB,rbsC,rclC,rcnA,rcsC,rcsD,rcsF,relA,rfaD,rfe,rhaT,rho,rhtA,rhtB,rhtC,ridA,rlpA,rodZ,rpoA,rpoB,rpoC,rpoH,rpsA,rpsG,rseC,rseP,rstB,rsxA,rsxD,rsxE,rsxG,rutG,safA,sanA,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,sdhC,sdhD,secA,secD,secE,secF,secG,secY,setB,shiA,slp,slyB,sodB,sohB,spoT,sppA,srlA,srlE,sstT,ssuA,syd,talB,tamA,tar,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tcyP,tdcC,tdcE,tehA,thiP,tig,tnaA,tnaB,tolA,tolC,tolQ,tolR,tonB,torC,torS,torY,tpiA,tqsA,treB,trkA,trkH,tsf,tsgA,tsr,tsx,ttdT,tyrP,tyrS,uacT,ubiA,ubiB,udp,ugpA,ugpC,ugpE,uhpB,uhpC,uhpT,uidB,uidC,ulaA,umuC,upp,uraA,uspA,uspB,uup,viaA,waaA,waaH,wcaD,wcaJ,wecH,wrbA,wzc,wzxC,wzxE,wzyE,wzzE,xanP,xanQ,xapB,xylH,yaaJ,yaaU,yabI,yadG,yadH,yadS,yagU,yahC,yahN,yaiO,yaiW,yaiY,yajC,ybaL,ybaN,ybaT,ybbJ,ybbP,ybbW,ybbY,ybcI,ybdG,ybhC,ybhF,ybhG,ybhI,ybhL,ybhM,ybhN,ybhQ,ybhR,ybhS,ybiO,ybjG,ybjJ,ybjL,ybjM,ybjO,ybjT,ycaC,ycaD,ycaI,yccA,yccF,yccM,yccS,ycdZ,yceJ,yceK,ycfT,ycfZ,ychE,ychQ,yciB,yciC,ycjF,ycjO,ycjP,ydbH,ydcO,ydcU,ydcV,ydcZ,yddA,yddG,ydeA,ydeE,ydfJ,ydgC,ydgI,ydgK,ydhC,ydhK,ydhP,ydhU,ydiM,ydiN,ydjE,ydjK,ydjM,ydjX,ydjZ,yebE,yebQ,yebS,yebZ,yecN,yedA,yedE,yedI,yeeA,yeeO,yegH,yegT,yehB,yehW,yehX,yehY,yeiB,yeiH,yejA,yejB,yejE,yejF,yejM,yfaV,yfaZ,yfbS,yfbV,yfcA,yfcC,yfcJ,yfdC,yfdV,yfeH,yfeZ,yfgH,yfgM,yfgO,yfhM,yfjD,ygaH,ygaP,ygaZ,ygbE,ygbN,ygcS,ygdD,ygdQ,ygfS,yggE,yggT,yghB,yghG,yghQ,ygiB,ygiD,ygiM,ygjI,ygjV,yhaH,yhbE,yhbX,yhcB,yhdX,yhdY,yhfK,yhfT,yhgE,yhgN,yhhJ,yhhN,yhhQ,yhhS,yhhT,yhiD,yhiM,yhjD,yhjE,yhjG,yhjV,yhjX,yiaA,yiaB,yibH,yibI,yicG,yicJ,yicL,yidC,yidE,yidG,yidH,yidK,yifK,yihG,yihO,yihP,yihY,yiiR,yijD,yijE,yjbB,yjbF,yjcE,yjcH,yjdF,yjeH,yjeM,yjeO,yjfF,yjfL,yjiG,yjiH,yjiJ,yjiK,yjiN,yjjB,yjjP,ykgH,ykgR,ylaC,ymfA,ynaI,yneE,ynfA,ynfB,ynfM,ynhF,yniB,ynjF,yoaE,yobD,yohC,yohD,yohJ,yohK,ypdA,yphA,yphD,ypjD,yqaA,yqcE,yqeG,yqfA,yqgA,yqhA,yqiJ,yqiK,yqjA,yqjD,yqjE,yqjF,yrbG,ysaA,ytfF,ytfL,ytfQ,ytfR,ytfT,zipA,zntA,znuB,zraS,zupT","aaeB,acrZ,adiC,agaC,appC,araE,araF,araG,araH,aspA,bhsA,cadB,caiT,ccmA,ccmD,cydX,dcuB,dcuC,dmsA,dmsC,dtpB,eutH,exuT,fdnG,fdnH,focA,frdA,frdB,frdC,frdD,gadC,ghoT,hybA,hybB,hybC,hybO,hycB,hydN,mdtE,mdtI,mntP,mtr,napC,napG,napH,narG,narH,narI,narK,nikC,nrfC,nrfD,nrfE,ompW,pagP,proW,slp,tdcC,tdcE,uhpT,ulaA,wrbA,yaiO,ybbW,ybcI,ybjM,ydjE,yeiH,yfcC,yfdV,yfgH,yhhJ,yhiD,yhiM,yhjX,yjiH,ykgH,ynfM,yqiJ,yqiK"
"8","GO:0031232",3,2,0.19,"0.01169","extrinsic component of external side of plasma membrane","hybC,hybO,mcbA","hybC,hybO"
"9","GO:0031236",3,2,0.19,"0.01169","extrinsic component of periplasmic side of plasma membrane","hybC,hybO,mcbA","hybC,hybO"
"10","GO:0009390",3,2,0.19,"0.01169","dimethyl sulfoxide reductase complex","dmsA,dmsB,dmsC","dmsA,dmsC"
"11","GO:0044459",360,39,23.04,"0.01347","plasma membrane part","acrB,acrE,actP,adeP,adeQ,adiC,amtB,ansP,aqpZ,araE,araF,araG,araH,argO,arnE,aroP,artM,artP,artQ,atpB,barA,betT,btuC,btuD,cadB,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,chaA,chbC,clcA,cmtA,codB,copA,corA,crcB,crr,cstA,cycA,cydA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cysZ,dacA,dacC,dacD,dauA,dctA,dcuS,degQ,degS,dld,dmsA,dmsB,dmsC,dmsD,dpiB,dppA,dppB,dppC,dppD,dppF,dsbD,dsdX,dtpA,dtpB,dtpC,eamB,elyC,emrA,emrE,entD,envZ,exuT,fadD,fdnH,fdnI,fdoH,fdoI,fepB,fepC,fepD,fepG,fetB,focA,frdA,frdB,frdC,frdD,fruA,fruB,ftsA,ftsE,ftsI,ftsL,ftsQ,ftsW,ftsY,gabP,gadC,galP,glcA,glpD,glpF,glpG,glrK,gntT,gntU,gsiC,gsiD,hflC,hflD,hflK,hyaA,hyaC,hybA,hybB,hybC,hybO,hycD,hypA,idnT,kdpB,kefC,kgtP,lacY,lapA,lapB,lepB,lgt,lldP,lnt,lolC,lolD,lolE,lptB,lptC,lptF,lptG,lpxB,lpxH,lysO,lysP,macB,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdtB,mdtC,mdtI,mdtJ,mepM,mgtA,minD,mlaB,mlaC,mlaE,mlaF,mltA,mqo,mrcA,mrcB,mrdA,mreB,mreC,mreD,mscL,mscM,mtr,murJ,murP,nagE,nanT,narG,narH,narI,narK,narU,ndh,nikB,nikC,nirC,nrfC,nrfD,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN,nupC,nupG,opgE,oppB,oppC,ortT,osmF,parC,pbpG,pgpA,pgpB,pgpC,pgsA,pheP,phoU,plaP,pldB,plsB,pntA,pntB,pnuC,potF,potH,potI,ppiD,proP,proY,pspA,pstA,pstC,ptsG,putA,putP,rcnA,rcsD,rfe,rodZ,rseP,rutG,safA,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,secA,secE,secY,shiA,sppA,srlA,srlE,ssuA,syd,tar,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tdcC,tehA,tolA,tolQ,tolR,tonB,torS,torY,treB,trkH,tsgA,tsr,tyrP,uacT,ugpA,ugpC,ugpE,uhpC,uhpT,ulaA,uraA,wzc,xanP,xanQ,yaaU,yajC,ybaT,ybhR,ybhS,ybiO,yciB,ycjP,ydgI,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yfdC,yfgM,yfhM,ygaP,ygbN,yggE,yghB,ygiM,ygjI,ygjV,yhcB,yhhJ,yhhS,yhiM,yhjD,yhjE,yhjX,yiaB,yidC,yifK,yihO,yihP,yijE,yjbB,yjeH,yjeM,yjfF,ynaI,ynfA,ypdA,yqjA,yrbG,ytfQ,ytfR,ytfT,zipA,zntA,zraS","adiC,araE,araF,araG,araH,cadB,ccmA,ccmD,cydX,dmsA,dmsC,dtpB,exuT,fdnH,focA,frdA,frdB,frdC,frdD,gadC,hybA,hybB,hybC,hybO,mdtI,mtr,narG,narH,narI,narK,nikC,nrfC,nrfD,tdcC,uhpT,ulaA,yhhJ,yhiM,yhjX"
