"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"5","GO:0019645",5,4,0.46,"0.00033","anaerobic electron transport chain","narI,nrfA,nrfB,nrfC,nrfD","narI,nrfB,nrfC,nrfD"
"6","GO:0006099",9,5,0.83,"0.00058","tricarboxylic acid cycle","aceK,acnA,acnB,fdrA,fumC,mdh,sdhA,sucB,sucC","acnB,fdrA,sdhA,sucB,sucC"
"7","GO:0015882",3,3,0.28,"0.00077","L-ascorbic acid transmembrane transport","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"8","GO:0006063",7,4,0.65,"0.00196","uronic acid metabolic process","kdgK,kduD,kduI,uxaA,uxaB,uxaC,uxuA","uxaA,uxaB,uxaC,uxuA"
"9","GO:0009061",45,14,4.15,"0.00217","anaerobic respiration","acnA,dld,dmsB,dmsC,erpA,fdnH,fdnI,fdoH,fdoI,fnr,frdA,frdB,frdC,frdD,glpA,glpB,glpC,glpD,hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO,hycB,hydN,lldD,mdh,napA,napB,napC,narI,ndh,nirB,nirD,nrfA,nrfB,nrfC,nrfD,torC,torS,torY,ygfS,ysaA","dmsB,dmsC,fdnH,fdnI,glpB,glpC,hycB,narI,nirD,nrfB,nrfC,nrfD,torC,torY"
"10","GO:0042450",4,3,0.37,"0.00288","arginine biosynthetic process via ornithine","argD,astC,gabT,ygeW","astC,gabT,ygeW"
"11","GO:0071973",32,13,2.95,"0.00293","bacterial-type flagellum-dependent cell motility","cdgI,chaC,cheY,cheZ,dgcF,dgcJ,dgcN,ecpR,fdrA,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgI,flgJ,fliS,fliT,fliZ,frdA,frdB,frdC,glgS,motA,ybjN,ycdX,ycdY,ycgR,ydiV,yfiR","cheY,cheZ,ecpR,fdrA,flgB,flgC,flgD,flgE,flgF,flgG,fliS,fliT,ycgR"
"12","GO:0006935",8,4,0.74,"0.00364","chemotaxis","aer,cheA,cheB,cheW,cheY,cobB,malE,nikA","cheA,cheB,cheW,cheY"
"13","GO:0072329",42,10,3.87,"0.00371","monocarboxylic acid catabolic process","acnB,acs,aidB,ansA,caiA,dgoD,dgoK,fadA,fadB,fadE,fadH,fadM,fixB,gabD,gabT,ghrB,glcB,glcD,glcE,glcF,glxK,glxR,gntK,hdhA,idnD,idnK,kdgK,kduD,kduI,lgoD,poxB,prpB,pta,sad,tesB,uxaA,uxaB,uxaC,uxuA,ydiO,ydiR,ykgF","acnB,caiA,fixB,gabT,glxR,gntK,uxaA,uxaB,uxaC,uxuA"
"14","GO:0009401",30,8,2.77,"0.00444","phosphoenolpyruvate-dependent sugar phosphotransferase system","chbA,chbB,chbC,cmtA,cmtB,crr,fruA,fruB,frwB,frwC,frwD,fryC,gatA,gatB,manX,manY,manZ,mtlA,murP,nagE,ptsG,ptsH,ptsI,srlA,srlB,srlE,treB,ulaA,ulaB,ulaC","fruB,srlA,srlB,srlE,treB,ulaA,ulaB,ulaC"
