"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0020037",23,8,2.07,"0.00054","heme binding","ccmE,ccmF,cybB,cydB,cyoB,cysI,efeB,fdnI,fdoI,hmp,hyaC,katE,katG,narI,nikA,nirB,nrfA,nrfB,sdhC,sdhD,torC,torY,yfeX","cysI,fdnI,narI,nrfB,sdhC,sdhD,torC,torY"
"3","GO:0048037",216,38,19.46,"0.00069","cofactor binding","accB,aceF,acnA,acnB,acpP,ahpF,aidB,alaA,alr,aphA,argD,arnA,arnB,aroB,aroC,aroE,aspC,astC,azoR,bioA,bioB,bioF,bluF,caiA,cbrA,ccmE,ccmF,citD,csdA,cybB,cydB,cyoA,cyoB,cysI,cysJ,cysK,cysM,dam,dcyD,dinG,dld,dmsB,dusC,dxs,efeB,entB,epd,epmB,erpA,eutC,fadE,fadH,fdhD,fdhF,fdnH,fdnI,fdoI,fdx,fixB,fldB,fnr,fpr,frdA,frdB,gabT,galE,gapA,gcd,gcvH,glpA,glpB,glpC,glpD,glyA,gor,grxC,grxD,hcr,hemG,hemL,hemN,hmp,hyaA,hyaC,hybA,hybO,hycB,hycF,hypD,ilvA,ilvC,ilvD,ilvI,iscA,iscS,iscU,ispG,ispH,katE,katG,kbl,kefF,ldhA,lhgO,ligA,lipA,lldD,lpd,ltaE,malY,mdaB,melA,menD,metB,metC,metF,metH,miaB,mioC,mnmC,mnmG,mqo,murB,nadA,nadB,nadK,napA,narI,ndh,nemA,nfsA,nfsB,nfuA,nikA,nirB,norV,norW,nrdG,nrdI,nrfA,nrfB,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,nuoM,oxc,pabC,panE,patA,pdxA,pdxB,pdxH,pflA,phnJ,pntA,pntB,poxB,preA,preT,proA,proC,prpD,putA,pyrD,rfaD,ribD,rimO,rlmD,rlmN,rutE,sdhA,sdhB,sdhC,sdhD,selA,serC,solA,soxR,sthA,sucB,sufA,sufB,sufS,tdcB,thiH,thrC,tnaA,torC,torD,torY,trpA,trpB,trxB,ttcA,tyrB,ulaR,uxaB,wrbA,xdhA,xdhD,ybdL,ydiB,ydiO,ydiR,ydjA,yfeX,ygeX,yggS,yggW,yieF,yliI,yqcA","acnB,astC,caiA,citD,cyoA,cysI,cysJ,cysK,cysM,dmsB,entB,fdhF,fdnH,fdnI,fixB,gabT,glpB,glpC,hcr,hycB,metF,narI,nrdI,nrfB,nrfC,oxc,sdhA,sdhB,sdhC,sdhD,sthA,sucB,tdcB,torC,torD,torY,uxaB,xdhD"
"4","GO:0090585",3,3,0.27,"0.00071","protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"5","GO:0016813",5,3,0.45,"0.00618","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","allC,allE,astB,guaD,speB","allC,allE,astB"
"6","GO:0098809",5,3,0.45,"0.00618","nitrite reductase activity","nirB,nirD,nrfA,nrfB,nrfC","nirD,nrfB,nrfC"
"7","GO:0004775",2,2,0.18,"0.00799","succinate-CoA ligase (ADP-forming) activity","fdrA,sucC","fdrA,sucC"
"8","GO:0047527",2,2,0.18,"0.00799","2,3-dihydroxybenzoate-serine ligase activity","entB,entE","entB,entE"
"9","GO:0008804",2,2,0.18,"0.00799","carbamate kinase activity","ybcF,yqeA","ybcF,yqeA"
"10","GO:0009389",2,2,0.18,"0.00799","dimethyl sulfoxide reductase activity","dmsB,dmsC","dmsB,dmsC"
"11","GO:0004124",2,2,0.18,"0.00799","cysteine synthase activity","cysK,cysM","cysK,cysM"
"12","GO:0004781",2,2,0.18,"0.00799","sulfate adenylyltransferase (ATP) activity","cysD,cysN","cysD,cysN"
"13","GO:0016662",6,3,0.54,"0.01155","oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor","garK,glxK,nrfA,nrfB,nrfC,torC","nrfB,nrfC,torC"
"14","GO:0050660",39,8,3.51,"0.01939","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fpr,frdA,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhD,ydiO,ydiR","caiA,cysJ,fixB,hcr,metF,sdhA,sthA,xdhD"
"15","GO:0015620",3,2,0.27,"0.02254","ferric-enterobactin transmembrane transporter activity","fepD,fepE,fepG","fepD,fepE"
"16","GO:0008742",3,2,0.27,"0.02254","L-ribulose-phosphate 4-epimerase activity","araD,sgbE,ulaF","araD,ulaF"
"17","GO:0003992",3,2,0.27,"0.02254","N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity","argD,astC,gabT","astC,gabT"
"18","GO:0042279",3,2,0.27,"0.02254","nitrite reductase (cytochrome, ammonia-forming) activity","nrfA,nrfB,nrfC","nrfB,nrfC"
"19","GO:0015343",3,2,0.27,"0.02254","siderophore transmembrane transporter activity","fepD,fepE,fepG","fepD,fepE"
"20","GO:0050662",133,19,11.98,"0.02428","coenzyme binding","accB,aceF,ahpF,aidB,alaA,alr,argD,arnA,arnB,aroB,aroC,aroE,aspC,astC,azoR,bioA,bioF,bluF,caiA,cbrA,csdA,cysJ,cysK,cysM,dam,dcyD,dld,dusC,dxs,epd,fadE,fadH,fdhD,fixB,fldB,fpr,frdA,gabT,galE,gapA,gcvH,glpA,glpB,glpD,glyA,gor,hcr,hemG,hemL,hmp,ilvA,ilvC,ilvI,iscS,kbl,kefF,ldhA,lhgO,ligA,lldD,lpd,ltaE,malY,mdaB,melA,menD,metB,metC,metF,mioC,mnmC,mnmG,mqo,murB,nadB,nadK,ndh,nemA,nfsA,nfsB,nirB,norV,norW,nrdI,nuoE,nuoF,nuoG,oxc,pabC,panE,patA,pdxA,pdxB,pdxH,pntA,pntB,poxB,proA,proC,putA,pyrD,rfaD,ribD,rutE,sdhA,selA,serC,solA,sthA,sucB,sufS,tdcB,thrC,tnaA,torD,trpA,trpB,trxB,tyrB,ulaR,uxaB,wrbA,xdhA,xdhD,ybdL,ydiB,ydiO,ydiR,ydjA,ygeX,yggS,yieF,yqcA","astC,caiA,cysJ,cysK,cysM,fixB,gabT,glpB,hcr,metF,nrdI,oxc,sdhA,sthA,sucB,tdcB,torD,uxaB,xdhD"
"21","GO:0016903",27,6,2.43,"0.02861","oxidoreductase activity, acting on the aldehyde or oxo group of donors","aceE,aceF,adhE,aldA,aldB,argC,asd,astD,betB,epd,eutE,fdnH,fdnI,fdoH,fdoI,gabD,gapA,hemA,patD,poxB,proA,putA,sad,xdhA,xdhD,ydbK,yqhD","argC,astD,eutE,fdnH,fdnI,xdhD"
"22","GO:0051540",59,10,5.32,"0.03358","metal cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsB,epmB,erpA,fadH,fdhF,fdnH,fdx,fnr,frdB,glpC,grxD,hcr,hemN,hyaA,hybA,hybO,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,ispH,lipA,miaB,nadA,napA,nfuA,nirB,nrdG,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,pflA,phnJ,preA,preT,prpD,rimO,rlmD,rlmN,sdhB,soxR,sufA,sufB,thiH,ttcA,yggW","acnB,cysI,dmsB,fdhF,fdnH,glpC,hcr,hycB,nrfC,sdhB"
"23","GO:0051536",59,10,5.32,"0.03358","iron-sulfur cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsB,epmB,erpA,fadH,fdhF,fdnH,fdx,fnr,frdB,glpC,grxD,hcr,hemN,hyaA,hybA,hybO,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,ispH,lipA,miaB,nadA,napA,nfuA,nirB,nrdG,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,pflA,phnJ,preA,preT,prpD,rimO,rlmD,rlmN,sdhB,soxR,sufA,sufB,thiH,ttcA,yggW","acnB,cysI,dmsB,fdhF,fdnH,glpC,hcr,hycB,nrfC,sdhB"
"24","GO:0016661",14,6,1.26,"0.03820","oxidoreductase activity, acting on other nitrogenous compounds as donors","azoR,garK,glxK,hcp,napA,narI,nemA,nirB,nirD,norV,nrfA,nrfB,nrfC,torC","hcp,narI,nirD,nrfB,nrfC,torC"
"25","GO:0030145",29,6,2.61,"0.03955","manganese ion binding","adeD,allC,allE,dgt,dxr,ftsH,glpX,gpmM,hemF,hisD,ispF,leuB,maeB,melA,mutT,nrdF,nudC,pepP,pepQ,phnP,phoU,rfe,speB,ulaG,umpG,uxaA,uxuA,yihX,yrfG","allC,allE,nrdF,ulaG,uxaA,uxuA"
"26","GO:0016725",9,3,0.81,"0.03964","oxidoreductase activity, acting on CH or CH2 groups","ispG,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,xdhA,xdhD","nrdE,nrdF,xdhD"
"27","GO:0009486",4,2,0.36,"0.04244","cytochrome bo3 ubiquinol oxidase activity","cyoA,cyoB,cyoC,cyoD","cyoA,cyoD"
"28","GO:0043546",4,2,0.36,"0.04244","molybdopterin cofactor binding","fdhD,torD,xdhA,xdhD","torD,xdhD"
"29","GO:0005402",4,2,0.36,"0.04244","carbohydrate:cation symporter activity","fucP,gntU,kdgT,yaaU","fucP,gntU"
"30","GO:0015184",4,2,0.36,"0.04244","L-cystine transmembrane transporter activity","tcyJ,tcyL,tcyN,tcyP","tcyJ,tcyP"
"31","GO:0016530",4,2,0.36,"0.04244","metallochaperone activity","cusF,iscA,narJ,narW","cusF,narJ"
"32","GO:0015453",4,2,0.36,"0.04244","oxidoreduction-driven active transmembrane transporter activity","cyoA,cyoB,cyoC,cyoD","cyoA,cyoD"
"33","GO:0016812",4,2,0.36,"0.04244","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","allB,ampC,hyuA,pyrC","allB,hyuA"
"34","GO:0036397",4,2,0.36,"0.04244","formate dehydrogenase (quinone) activity","fdnH,fdnI,fdoH,fdoI","fdnH,fdnI"
