"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"7","GO:0009097",7,5,0.69,"0.00016","isoleucine biosynthetic process","ilvA,ilvB,ilvC,ilvD,ilvH,ilvI,ilvN","ilvC,ilvD,ilvH,ilvI,ilvN"
"8","GO:0009098",7,5,0.69,"0.00016","leucine biosynthetic process","ilvE,leuA,leuB,leuC,leuD,lrp,tyrB","ilvE,leuA,leuB,leuC,leuD"
"9","GO:0015752",3,3,0.3,"0.00096","D-ribose transmembrane transport","xylF,xylG,xylH","xylF,xylG,xylH"
"10","GO:0015753",3,3,0.3,"0.00096","D-xylose transmembrane transport","xylF,xylG,xylH","xylF,xylG,xylH"
"11","GO:0015882",3,3,0.3,"0.00096","L-ascorbic acid transmembrane transport","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"12","GO:0071468",7,4,0.69,"0.00258","cellular response to acidic pH","clcA,clcB,frc,hdeA,oxc,yhcN,yjaA","frc,oxc,yhcN,yjaA"
"13","GO:0046296",4,3,0.4,"0.00356","glycolate catabolic process","glcD,glcE,glcF,glxK","glcD,glcE,glcF"
"14","GO:0006567",4,3,0.4,"0.00356","threonine catabolic process","grcA,ltaE,pta,tdcB","grcA,pta,tdcB"
"15","GO:0072329",42,14,4.16,"0.00580","monocarboxylic acid catabolic process","acnB,acs,aidB,ansA,caiA,dgoD,dgoK,fadA,fadB,fadE,fadH,fadM,fixB,gabD,gabT,ghrB,glcB,glcD,glcE,glcF,glxK,glxR,gntK,hdhA,idnD,idnK,kdgK,kduD,kduI,lgoD,poxB,prpB,pta,sad,tesB,uxaA,uxaB,uxaC,uxuA,ydiO,ydiR,ykgF","acs,aidB,caiA,fixB,gabD,gabT,glcB,glcD,glcE,glcF,glxR,gntK,poxB,pta"
"16","GO:0015849",74,17,7.34,"0.00716","organic acid transport","aaeA,aaeB,acrA,actP,adiC,alaE,ansP,argO,artJ,artM,brnQ,cycA,cydC,cydD,dauA,dcuA,dcuB,dcuC,dsdX,eamA,eamB,exuT,focA,gabP,gadC,glnP,gltK,gltP,gltS,gntU,hisM,hisP,kdgT,leuE,livF,livG,livH,livM,lysO,lysP,metI,metN,metQ,nanC,panF,potE,proP,proV,proY,putP,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,tnaB,uacT,ulaA,ulaB,ulaC,ybaT,yddG,ydgI,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","dcuB,dcuC,gabP,gltK,gntU,livG,livH,potE,proV,tcyJ,tdcC,uacT,ulaA,ulaB,ulaC,ybaT,yjeM"
"17","GO:0044011",9,4,0.89,"0.00792","single-species biofilm formation on inanimate substrate","ackA,cnu,dgcM,glgS,ybjN,ychH,yhcN,yjaA,ymdB","ackA,dgcM,yhcN,yjaA"
"18","GO:0015944",5,3,0.5,"0.00826","formate oxidation","fdhF,fdnH,fdnI,fdoH,fdoI","fdhF,fdnH,fdnI"
"19","GO:0015847",5,3,0.5,"0.00826","putrescine transport","potE,potF,potG,potH,potI","potE,potF,potG"
"20","GO:0019852",4,4,0.4,"0.00961","L-ascorbic acid metabolic process","ulaD,ulaE,ulaF,ulaG","ulaD,ulaE,ulaF,ulaG"
"21","GO:0019413",2,2,0.2,"0.00979","acetate biosynthetic process","ackA,pta","ackA,pta"
"22","GO:0042843",2,2,0.2,"0.00979","D-xylose catabolic process","xylA,xylB","xylA,xylB"
"23","GO:0019854",2,2,0.2,"0.00979","L-ascorbic acid catabolic process","ulaD,ulaG","ulaD,ulaG"
"24","GO:0051131",2,2,0.2,"0.00979","chaperone-mediated protein complex assembly","narJ,narW","narJ,narW"
"25","GO:0006325",2,2,0.2,"0.00979","chromatin organization","fis,yhcC","fis,yhcC"
"26","GO:0042413",2,2,0.2,"0.00979","carnitine catabolic process","caiB,caiD","caiB,caiD"
"27","GO:1903711",2,2,0.2,"0.00979","spermidine transmembrane transport","mdtI,mdtJ","mdtI,mdtJ"
"28","GO:0045733",2,2,0.2,"0.00979","acetate catabolic process","acs,pta","acs,pta"
"29","GO:0055088",6,3,0.59,"0.01532","lipid homeostasis","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,caiA,fixB"
"30","GO:0033539",6,3,0.59,"0.01532","fatty acid beta-oxidation using acyl-CoA dehydrogenase","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,caiA,fixB"
"31","GO:0046942",73,16,7.24,"0.01559","carboxylic acid transport","aaeA,aaeB,acrA,actP,adiC,alaE,ansP,argO,artJ,artM,brnQ,cycA,cydC,cydD,dauA,dcuA,dcuB,dcuC,dsdX,eamA,eamB,exuT,focA,gabP,gadC,glnP,gltK,gltP,gltS,gntU,hisM,hisP,kdgT,leuE,livF,livG,livH,livM,lysO,lysP,metI,metN,metQ,nanC,panF,potE,proP,proV,proY,putP,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,tnaB,ulaA,ulaB,ulaC,ybaT,yddG,ydgI,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","dcuB,dcuC,gabP,gltK,gntU,livG,livH,potE,proV,tcyJ,tdcC,ulaA,ulaB,ulaC,ybaT,yjeM"
"32","GO:0015711",96,19,9.52,"0.01574","organic anion transport","aaeA,aaeB,acrA,actP,adiC,alaE,ansP,argO,artJ,artM,brnQ,cycA,cydC,cydD,dauA,dcuA,dcuB,dcuC,dgoT,dsdX,eamA,eamB,entS,exuT,fepB,fepD,fepE,fepG,focA,gabP,gadC,glnP,gltK,gltP,gltS,gntU,gsiA,gsiB,gsiC,gsiD,hisM,hisP,kdgT,leuE,livF,livG,livH,livM,lplT,lysO,lysP,metI,metN,metQ,mlaB,mlaC,mlaE,mlaF,nanC,panF,potE,proP,proV,proY,putP,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,tnaB,tolC,uacT,ugpA,ugpB,ugpC,ugpE,uhpT,ulaA,ulaB,ulaC,ybaT,yddG,ydgI,yeeO,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","dcuB,dcuC,gabP,gltK,gntU,livG,livH,potE,proV,tcyJ,tdcC,uacT,ugpE,uhpT,ulaA,ulaB,ulaC,ybaT,yjeM"
"33","GO:0006113",11,4,1.09,"0.01770","fermentation","frdA,frdB,frdC,frdD,gldA,hyaA,hyaB,hyaC,hybA,ldhA,mdh","frdA,frdB,frdC,hybA"
"34","GO:0006820",108,20,10.71,"0.02297","anion transport","aaeA,aaeB,acrA,actP,adiC,alaE,ansP,argO,artJ,artM,brnQ,clcA,clcB,crcB,cycA,cydC,cydD,cysZ,dauA,dcuA,dcuB,dcuC,dgoT,dsdX,eamA,eamB,entS,exuT,fepB,fepD,fepE,fepG,focA,gabP,gadC,glnP,gltK,gltP,gltS,gntU,gsiA,gsiB,gsiC,gsiD,hisM,hisP,kdgT,leuE,livF,livG,livH,livM,lplT,lysO,lysP,metI,metN,metQ,mlaB,mlaC,mlaE,mlaF,nanC,nirC,panF,phoU,potE,proP,proV,proY,pstA,pstB,pstC,pstS,putP,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,tnaB,tolC,uacT,ugpA,ugpB,ugpC,ugpE,uhpC,uhpT,ulaA,ulaB,ulaC,ybaT,yddG,ydgI,yeeO,yfdC,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","dcuB,dcuC,gabP,gltK,gntU,livG,livH,nirC,potE,proV,tcyJ,tdcC,uacT,ugpE,uhpT,ulaA,ulaB,ulaC,ybaT,yjeM"
"35","GO:0042542",12,4,1.19,"0.02452","response to hydrogen peroxide","ariR,bsmA,gstA,hcp,katG,pdeF,tatD,yajL,ychH,yfcF,yhcN,yjaA","hcp,yfcF,yhcN,yjaA"
"36","GO:0044780",7,3,0.69,"0.02487","bacterial-type flagellum assembly","bdm,dgcZ,flgK,frdA,frdB,frdC,ybjN","frdA,frdB,frdC"
"37","GO:0071941",7,3,0.69,"0.02487","nitrogen cycle metabolic process","argG,carA,carB,narJ,narL,narW,ygeW","narJ,narW,ygeW"
"38","GO:0015851",7,3,0.69,"0.02487","nucleobase transport","codB,rutG,uacT,uraA,xanP,xanQ,ybbW","uacT,uraA,ybbW"
"39","GO:0009448",3,2,0.3,"0.02744","gamma-aminobutyric acid metabolic process","gabD,gabT,sad","gabD,gabT"
"40","GO:0009436",3,2,0.3,"0.02744","glyoxylate catabolic process","glcB,glxK,glxR","glcB,glxR"
"41","GO:0006637",3,2,0.3,"0.02744","acyl-CoA metabolic process","aceF,fdrA,pta","fdrA,pta"
"42","GO:0042126",3,2,0.3,"0.02744","nitrate metabolic process","narJ,narL,narW","narJ,narW"
"43","GO:0042128",3,2,0.3,"0.02744","nitrate assimilation","narJ,narL,narW","narJ,narW"
"44","GO:0035383",3,2,0.3,"0.02744","thioester metabolic process","aceF,fdrA,pta","fdrA,pta"
"45","GO:0009450",3,2,0.3,"0.02744","gamma-aminobutyric acid catabolic process","gabD,gabT,sad","gabD,gabT"
"46","GO:0018394",3,2,0.3,"0.02744","peptidyl-lysine acetylation","acs,cheY,yhcC","acs,yhcC"
