"","GO.ID","Term","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0009375","ferredoxin hydrogenase complex",4,3,0.21,"0.00053","ferredoxin hydrogenase complex","hycB,hycC,hycD,hycF","hycB,hycD,hycF"
"2","GO:0045284","plasma membrane fumarate reductase compl...",4,3,0.21,"0.00053","plasma membrane fumarate reductase complex","frdA,frdB,frdC,frdD","frdA,frdB,frdC"
"3","GO:0031471","ethanolamine degradation polyhedral orga...",4,3,0.21,"0.00053","ethanolamine degradation polyhedral organelle","eutK,eutL,eutM,eutS","eutL,eutM,eutS"
"4","GO:0009331","glycerol-3-phosphate dehydrogenase compl...",4,3,0.21,"0.00053","glycerol-3-phosphate dehydrogenase complex","glpA,glpB,glpC,glpD","glpA,glpB,glpC"
"5","GO:0009350","ethanolamine ammonia-lyase complex",2,2,0.11,"0.00269","ethanolamine ammonia-lyase complex","eutB,eutC","eutB,eutC"
"6","GO:0009390","dimethyl sulfoxide reductase complex",2,2,0.11,"0.00269","dimethyl sulfoxide reductase complex","dmsB,dmsC","dmsB,dmsC"
"7","GO:0044569","[Ni-Fe] hydrogenase complex",7,3,0.37,"0.00412","[Ni-Fe] hydrogenase complex","hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO","hyaA,hybA,hybO"
"8","GO:0098567","periplasmic side of plasma membrane",9,3,0.48,"0.00916","periplasmic side of plasma membrane","ccmE,ccmG,ccmH,dmsB,emrA,hyaA,hybC,hybO,mcbA","dmsB,hyaA,hybO"
"9","GO:0031226","intrinsic component of plasma membrane",251,20,13.34,"0.02978","intrinsic component of plasma membrane","acrE,actP,adiC,amtB,ansP,aqpZ,argO,arnE,artM,artQ,atpB,betT,btuC,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,chaA,chbC,clcA,cmtA,codB,copA,corA,crcB,cycA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cysZ,dacA,dacC,dacD,dauA,dcuS,degQ,degS,dmsB,dmsC,dpiB,dppB,dppC,dsbD,dsdX,dtpA,dtpB,eamB,elyC,emrA,envZ,exuT,fdnH,fdnI,fdoH,fdoI,fepD,fepG,fetB,focA,frdD,fruA,frwC,ftsI,ftsL,ftsQ,ftsW,ftsY,gabP,gadC,glpD,glpF,glpG,gntU,gsiC,gsiD,hflC,hflK,hyaA,hyaC,hybA,hybB,hycD,kdpB,kdpD,kefC,kgtP,lapA,lapB,lepB,lgt,lnt,lolC,lolE,lptC,lysO,lysP,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mdfA,mdtI,mdtJ,mepM,mgtA,minD,mltA,mrcA,mrcB,mrdA,mreB,mreC,mreD,mscL,mscM,mtlA,murJ,murP,nagE,narI,ndh,nikB,nikC,nirC,nrfC,nrfD,nuoA,nuoH,nuoJ,nuoK,nuoM,nuoN,nupC,nupG,opgE,oppB,oppC,pbpG,pgpA,pgpB,pgpC,pgsA,plsB,pntA,pntB,pnuC,potE,ppiD,proP,proY,pstA,pstC,ptsG,putP,rcnA,rcsD,rfe,rodZ,rseP,rutG,sapB,sapC,satP,sbmA,sdaC,secA,secE,secY,shiA,sppA,srlA,srlE,tamB,tatA,tatB,tatC,tatE,tcyL,tdcC,tehA,tolQ,tolR,tonB,torS,torY,treB,trkH,tsgA,tyrP,uacT,ugpA,ugpE,uhpC,uhpT,ulaA,uraA,xanP,xanQ,yaaU,yajC,yajR,ybaT,ybhR,ybhS,ybiO,yciB,ydgI,yejB,yfdC,yfgM,yfhM,ygaP,ygbN,yggE,yghB,ygiM,ygjI,ygjV,yhcB,yhhJ,yhhS,yhiM,yhjD,yhjE,yhjX,yiaB,yidC,yifK,yijE,yjeH,yjeM,ynaI,ynfA,ypdA,yqjA,yrbG,zipA,zntA","dmsB,dmsC,dsdX,dtpB,exuT,hyaA,hybA,hycD,lysP,nrfC,nrfD,potE,tdcC,uacT,uhpT,ulaA,xanQ,yciB,yhjX,yifK"
"10","GO:0031237","intrinsic component of periplasmic side ...",6,2,0.32,"0.03513","intrinsic component of periplasmic side of plasma membrane","ccmE,ccmG,ccmH,dmsB,emrA,hyaA","dmsB,hyaA"
"11","GO:0044459","plasma membrane part",323,28,17.17,"0.04100","plasma membrane part","acrE,actP,adiC,amtB,ansP,aqpZ,araF,araG,araH,argO,arnE,artM,artP,artQ,atpB,betT,btuC,btuD,ccmA,ccmB,ccmC,ccmD,ccmE,ccmF,ccmG,ccmH,chaA,chbC,clcA,cmtA,codB,copA,corA,crcB,crr,cycA,cydB,cydC,cydD,cydX,cyoA,cyoB,cyoC,cyoD,cysZ,dacA,dacC,dacD,dauA,dcuS,degQ,degS,dld,dmsB,dmsC,dmsD,dpiB,dppA,dppB,dppC,dppD,dppF,dsbD,dsdX,dtpA,dtpB,eamB,elyC,emrA,envZ,exuT,fdnH,fdnI,fdoH,fdoI,fepB,fepC,fepD,fepG,fetB,focA,frdA,frdB,frdC,frdD,fruA,fruB,frwC,ftsA,ftsE,ftsI,ftsL,ftsQ,ftsW,ftsY,gabP,gadC,glpD,glpF,glpG,gntU,gsiC,gsiD,hflC,hflD,hflK,hyaA,hyaC,hybA,hybB,hybC,hybO,hycD,hypA,kdpB,kdpD,kefC,kgtP,lapA,lapB,lepB,lgt,lnt,lolC,lolD,lolE,lptB,lptC,lptF,lptG,lpxB,lpxH,lysO,lysP,malE,malF,malG,malK,malX,manX,manY,manZ,marC,mcbA,mdfA,mdtI,mdtJ,mepM,mgtA,minD,mlaB,mlaC,mlaE,mlaF,mltA,mqo,mrcA,mrcB,mrdA,mreB,mreC,mreD,mscL,mscM,mtlA,murJ,murP,nagE,narI,ndh,nikB,nikC,nirC,nrfC,nrfD,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoM,nuoN,nupC,nupG,opgE,oppB,oppC,osmF,parC,pbpG,pgpA,pgpB,pgpC,pgsA,phoU,pldB,plsB,pntA,pntB,pnuC,potE,potF,potG,potH,potI,ppiD,proP,proY,pspA,pstA,pstC,ptsG,putA,putP,rcnA,rcsD,rfe,rodZ,rseP,rutG,sapA,sapB,sapC,sapD,sapF,satP,sbmA,sdaC,sdhA,secA,secE,secY,shiA,sppA,srlA,srlE,ssuA,syd,tamB,tatA,tatB,tatC,tatE,tcyJ,tcyL,tcyN,tdcC,tehA,tolQ,tolR,tonB,torS,torY,treB,trkH,tsgA,tyrP,uacT,ugpA,ugpC,ugpE,uhpC,uhpT,ulaA,uraA,xanP,xanQ,yaaU,yajC,yajR,ybaT,ybhR,ybhS,ybiO,yciB,ycjP,ydgI,yehW,yehX,yehY,yejA,yejB,yejE,yejF,yfdC,yfgM,yfhM,ygaP,ygbN,yggE,yghB,ygiM,ygjI,ygjV,yhcB,yhhJ,yhhS,yhiM,yhjD,yhjE,yhjX,yiaB,yidC,yifK,yijE,yjeH,yjeM,yjfF,ynaI,ynfA,ypdA,yqjA,yrbG,ytfQ,ytfR,ytfT,zipA,zntA","araF,araG,araH,dmsB,dmsC,dsdX,dtpB,exuT,frdA,frdB,frdC,hyaA,hybA,hybO,hycD,hypA,lysP,nrfC,nrfD,potE,tdcC,uacT,uhpT,ulaA,xanQ,yciB,yhjX,yifK"
