"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0090585",3,3,0.18,"0.00021","protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"2","GO:0042279",3,3,0.18,"0.00021","nitrite reductase (cytochrome, ammonia-forming) activity","nrfA,nrfB,nrfC","nrfA,nrfB,nrfC"
"3","GO:0009055",40,9,2.43,"0.00041","electron transfer activity","aidB,appB,caiA,cbrA,cydB,cyoA,cyoB,cyoC,cyoD,dld,dmsB,fadE,fdnH,fdnI,fdoH,fdx,fixB,frdA,frdB,glpD,hyaA,hyaB,hycB,hydN,kefF,napC,narI,norV,nrdH,nrfB,sdhA,sdhB,sdhC,sdhD,torC,torY,ydiO,ydiR,ygfS,ysaA","caiA,dmsB,fixB,frdA,frdB,hyaA,hycB,napC,nrfB"
"4","GO:0051536",59,14,3.58,"0.00047","iron-sulfur cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsB,epmB,erpA,fadH,fdhF,fdnH,fdx,fnr,frdB,glpC,grxD,hcr,hemN,hyaA,hybA,hybO,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,ispH,lipA,miaB,nadA,napA,nfuA,nirB,nrdG,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,pflA,phnJ,preA,preT,prpD,rimO,rlmD,rlmN,sdhB,soxR,sufA,sufB,thiH,ttcA,yggW","dmsB,fadH,fdhF,frdB,glpC,hyaA,hybA,hybO,hycB,hycF,hypD,nrfC,preA,preT"
"5","GO:0004368",4,3,0.24,"0.00080","glycerol-3-phosphate dehydrogenase (quinone) activity","glpA,glpB,glpC,glpD","glpA,glpB,glpC"
"6","GO:0051539",46,9,2.79,"0.00121","4 iron, 4 sulfur cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsB,epmB,erpA,fadH,fdhF,fdnH,fnr,frdB,hemN,hyaA,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,lipA,miaB,nadA,napA,nfuA,nrdG,nrfC,nth,nuoB,nuoF,nuoG,nuoI,pflA,phnJ,rimO,rlmD,rlmN,sdhB,sufA,sufB,thiH,ttcA,yggW","dmsB,fadH,fdhF,frdB,hyaA,hycB,hycF,hypD,nrfC"
"7","GO:0004854",2,2,0.12,"0.00354","xanthine dehydrogenase activity","xdhA,xdhD","xdhA,xdhD"
"8","GO:0004855",2,2,0.12,"0.00354","xanthine oxidase activity","xdhA,xdhD","xdhA,xdhD"
"9","GO:0008804",2,2,0.12,"0.00354","carbamate kinase activity","ybcF,yqeA","ybcF,yqeA"
"10","GO:0015147",2,2,0.12,"0.00354","L-arabinose transmembrane transporter activity","araG,araH","araG,araH"
"11","GO:0009389",2,2,0.12,"0.00354","dimethyl sulfoxide reductase activity","dmsB,dmsC","dmsB,dmsC"
"12","GO:0004422",2,2,0.12,"0.00354","hypoxanthine phosphoribosyltransferase activity","gpt,hpt","gpt,hpt"
"13","GO:0000104",6,3,0.36,"0.00364","succinate dehydrogenase activity","frdA,frdB,frdC,frdD,sdhA,sdhC","frdA,frdB,frdC"
"14","GO:0015295",13,4,0.79,"0.00568","solute:proton symporter activity","ampG,codB,cysZ,dtpA,dtpB,fucP,kdgT,nupC,proP,satP,tdcC,yaaU,ybbW","dtpB,fucP,tdcC,ybbW"
"15","GO:0016840",7,3,0.43,"0.00610","carbon-nitrogen lyase activity","allA,argH,aspA,ilvA,purB,tdcB,ygeX","allA,aspA,tdcB"
"16","GO:0015205",7,3,0.43,"0.00610","nucleobase transmembrane transporter activity","codB,rutG,uacT,uraA,xanP,xanQ,ybbW","uacT,xanQ,ybbW"
"17","GO:0050660",39,7,2.37,"0.00706","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fpr,frdA,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhD,ydiO,ydiR","caiA,fadH,fixB,frdA,glpA,xdhA,xdhD"
"18","GO:0005345",3,2,0.18,"0.01020","purine nucleobase transmembrane transporter activity","uacT,xanP,xanQ","uacT,xanQ"
"19","GO:0042907",3,2,0.18,"0.01020","xanthine transmembrane transporter activity","uacT,xanP,xanQ","uacT,xanQ"
"20","GO:0022889",3,2,0.18,"0.01020","serine transmembrane transporter activity","cycA,dsdX,tdcC","dsdX,tdcC"
"21","GO:0008742",3,2,0.18,"0.01020","L-ribulose-phosphate 4-epimerase activity","araD,sgbE,ulaF","araD,ulaF"
"22","GO:0043546",4,2,0.24,"0.01961","molybdopterin cofactor binding","fdhD,torD,xdhA,xdhD","xdhA,xdhD"
"23","GO:0016812",4,2,0.24,"0.01961","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","allB,ampC,hyuA,pyrC","allB,hyuA"
"24","GO:0016841",4,2,0.24,"0.01961","ammonia-lyase activity","aspA,ilvA,tdcB,ygeX","aspA,tdcB"
"25","GO:0051538",4,2,0.24,"0.01961","3 iron, 4 sulfur cluster binding","frdB,hyaA,ispH,sdhB","frdB,hyaA"
"26","GO:0016813",5,2,0.3,"0.03142","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","allC,allE,astB,guaD,speB","allC,allE"
"27","GO:0016627",28,7,1.7,"0.03569","oxidoreductase activity, acting on the CH-CH group of donors","aidB,caiA,cysG,dapB,dusA,dusB,dusC,entA,fabI,fadE,fadH,fixB,frdA,frdB,frdC,frdD,hemF,hemG,hemN,nemA,preA,pyrD,sdhA,sdhC,tyrA,ydiO,ydiR,yhdH","caiA,fadH,fixB,frdA,frdB,frdC,preA"
"28","GO:1901567",6,2,0.36,"0.04530","fatty acid derivative binding","aidB,caiA,fadE,fixB,ydiO,ydiR","caiA,fixB"
"29","GO:0000062",6,2,0.36,"0.04530","fatty-acyl-CoA binding","aidB,caiA,fadE,fixB,ydiO,ydiR","caiA,fixB"
"30","GO:0052890",6,2,0.36,"0.04530","oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor","aidB,caiA,fadE,fixB,ydiO,ydiR","caiA,fixB"
"31","GO:0003995",6,2,0.36,"0.04530","acyl-CoA dehydrogenase activity","aidB,caiA,fadE,fixB,ydiO,ydiR","caiA,fixB"
"32","GO:0015238",34,5,2.06,"0.04833","drug transmembrane transporter activity","acrA,acrZ,actP,brnQ,btuC,btuD,cycA,dauA,dinF,dsdX,dtpA,dtpB,focA,lysO,mdfA,mdtK,mdtN,mdtO,mdtP,nagE,ompF,panF,potE,rutG,satP,sbmA,tdcC,uraA,ybbW,yddG,yeeO,ygaH,ygaZ,yjeH","dsdX,dtpB,potE,tdcC,ybbW"
