"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"3","GO:0006935",8,5,0.73,"0.00026","chemotaxis","aer,cheA,cheB,cheW,cheY,cobB,malE,nikA","aer,cheA,cheB,cheW,cheY"
"4","GO:0071973",32,10,2.9,"0.00032","bacterial-type flagellum-dependent cell motility","cdgI,chaC,cheY,cheZ,dgcF,dgcJ,dgcN,ecpR,fdrA,flgA,flgB,flgC,flgD,flgE,flgF,flgG,flgI,flgJ,fliS,fliT,fliZ,frdA,frdB,frdC,glgS,motA,ybjN,ycdX,ycdY,ycgR,ydiV,yfiR","cheY,cheZ,flgC,flgF,flgG,fliS,frdA,frdB,frdC,ycgR"
"5","GO:0006099",9,5,0.82,"0.00054","tricarboxylic acid cycle","aceK,acnA,acnB,fdrA,fumC,mdh,sdhA,sucB,sucC","acnB,mdh,sdhA,sucB,sucC"
"6","GO:0015803",9,5,0.82,"0.00054","branched-chain amino acid transport","brnQ,leuE,livF,livG,livH,livM,ygaH,ygaZ,yjeH","brnQ,leuE,livG,livH,ygaH"
"7","GO:0000103",7,4,0.63,"0.00184","sulfate assimilation","cysH,cysQ,cysU,cysW,cysZ,trxA,trxC","cysH,cysU,cysW,trxC"
"8","GO:0046296",4,3,0.36,"0.00274","glycolate catabolic process","glcD,glcE,glcF,glxK","glcD,glcE,glcF"
"9","GO:0015891",8,4,0.73,"0.00342","siderophore transport","entS,fepB,fepD,fepE,fepG,fiu,tolC,tonB","entS,fepD,fepE,fiu"
"10","GO:0072329",42,12,3.81,"0.00494","monocarboxylic acid catabolic process","acnB,acs,aidB,ansA,caiA,dgoD,dgoK,fadA,fadB,fadE,fadH,fadM,fixB,gabD,gabT,ghrB,glcB,glcD,glcE,glcF,glxK,glxR,gntK,hdhA,idnD,idnK,kdgK,kduD,kduI,lgoD,poxB,prpB,pta,sad,tesB,uxaA,uxaB,uxaC,uxuA,ydiO,ydiR,ykgF","acnB,acs,fadA,fadH,gabD,gabT,glcB,glcD,glcE,glcF,gntK,poxB"
"11","GO:0009061",45,10,4.08,"0.00560","anaerobic respiration","acnA,dld,dmsB,dmsC,erpA,fdnH,fdnI,fdoH,fdoI,fnr,frdA,frdB,frdC,frdD,glpA,glpB,glpC,glpD,hyaA,hyaB,hyaC,hybA,hybB,hybC,hybO,hycB,hydN,lldD,mdh,napA,napB,napC,narI,ndh,nirB,nirD,nrfA,nrfB,nrfC,nrfD,torC,torS,torY,ygfS,ysaA","fdnH,fdnI,frdA,frdB,frdC,lldD,mdh,ndh,nirD,torC"
"12","GO:0009102",9,4,0.82,"0.00573","biotin biosynthetic process","bioA,bioB,bioC,bioD,bioF,bioH,birA,fabI,mioC","bioA,bioB,bioC,bioF"
"13","GO:0042135",9,4,0.82,"0.00573","neurotransmitter catabolic process","gabD,gabT,gcvH,gcvT,glyA,lpd,norV,norW,sad","gabD,gabT,gcvH,gcvT"
"14","GO:0030031",9,4,0.82,"0.00573","cell projection assembly","bdm,dgcZ,fimI,flgK,frdA,frdB,frdC,sxy,ybjN","fimI,frdA,frdB,frdC"
