"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0015658",8,5,0.72,"0.00024","branched-chain amino acid transmembrane transporter activity","brnQ,leuE,livF,livG,livH,livM,ygaH,ygaZ","brnQ,leuE,livG,livH,ygaH"
"3","GO:0015179",29,9,2.6,"0.00060","L-amino acid transmembrane transporter activity","adiC,alaE,ansP,brnQ,cycA,dauA,gabP,gadC,leuE,livF,lysO,lysP,potE,proY,rhtB,tcyJ,tcyL,tcyN,tcyP,tdcC,ybaT,yddG,ydgI,ygaH,ygaZ,ygjI,yifK,yjeH,yjeM","alaE,brnQ,leuE,lysP,tcyJ,tcyP,ydgI,ygaH,yifK"
"4","GO:0019154",3,3,0.27,"0.00070","glycolate dehydrogenase activity","glcD,glcE,glcF","glcD,glcE,glcF"
"5","GO:0016671",10,5,0.9,"0.00092","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","ahpC,bcp,cysH,hmp,msrA,msrB,msrC,tpx,trxA,trxC","ahpC,cysH,hmp,msrB,trxC"
"6","GO:0015175",16,6,1.43,"0.00173","neutral amino acid transmembrane transporter activity","brnQ,cycA,dsdX,eamB,leuE,livF,rhtB,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,ygaH,ygaZ,yjeH","brnQ,dsdX,leuE,tcyJ,tcyP,ygaH"
"7","GO:0009055",40,10,3.58,"0.00194","electron transfer activity","aidB,appB,caiA,cbrA,cydB,cyoA,cyoB,cyoC,cyoD,dld,dmsB,fadE,fdnH,fdnI,fdoH,fdx,fixB,frdA,frdB,glpD,hyaA,hyaB,hycB,hydN,kefF,napC,narI,norV,nrdH,nrfB,sdhA,sdhB,sdhC,sdhD,torC,torY,ydiO,ydiR,ygfS,ysaA","fdnH,fdnI,frdA,frdB,nrdH,sdhA,sdhB,sdhC,sdhD,torC"
"8","GO:0005504",4,3,0.36,"0.00260","fatty acid binding","aceF,gcvH,hmp,sucB","gcvH,hmp,sucB"
"9","GO:0020037",23,7,2.06,"0.00283","heme binding","ccmE,ccmF,cybB,cydB,cyoB,cysI,efeB,fdnI,fdoI,hmp,hyaC,katE,katG,narI,nikA,nirB,nrfA,nrfB,sdhC,sdhD,torC,torY,yfeX","cysI,fdnI,hmp,katE,sdhC,sdhD,torC"
"10","GO:0004553",19,6,1.7,"0.00466","hydrolase activity, hydrolyzing O-glycosyl compounds","amyA,bcsZ,bglX,chbF,chiA,ebgA,glgX,lacZ,malS,melA,mltA,mltF,nagZ,slt,treA,treC,treF,uidA,ygjK","amyA,ebgA,mltF,treA,treC,uidA"
"11","GO:0071949",9,4,0.81,"0.00537","FAD binding","ahpF,fadH,fpr,frdA,glpD,gor,hmp,metF,mnmC","fadH,frdA,hmp,metF"
"12","GO:0052738",5,3,0.45,"0.00608","oxidoreductase activity, acting on the aldehyde or oxo group of donors, with a quinone or similar compound as acceptor","fdnH,fdnI,fdoH,fdoI,poxB","fdnH,fdnI,poxB"
"13","GO:0004781",2,2,0.18,"0.00790","sulfate adenylyltransferase (ATP) activity","cysD,cysN","cysD,cysN"
"14","GO:0015128",2,2,0.18,"0.00790","gluconate transmembrane transporter activity","dsdX,gntU","dsdX,gntU"
"15","GO:0047527",2,2,0.18,"0.00790","2,3-dihydroxybenzoate-serine ligase activity","entB,entE","entB,entE"
"16","GO:0050662",133,23,11.92,"0.00934","coenzyme binding","accB,aceF,ahpF,aidB,alaA,alr,argD,arnA,arnB,aroB,aroC,aroE,aspC,astC,azoR,bioA,bioF,bluF,caiA,cbrA,csdA,cysJ,cysK,cysM,dam,dcyD,dld,dusC,dxs,epd,fadE,fadH,fdhD,fixB,fldB,fpr,frdA,gabT,galE,gapA,gcvH,glpA,glpB,glpD,glyA,gor,hcr,hemG,hemL,hmp,ilvA,ilvC,ilvI,iscS,kbl,kefF,ldhA,lhgO,ligA,lldD,lpd,ltaE,malY,mdaB,melA,menD,metB,metC,metF,mioC,mnmC,mnmG,mqo,murB,nadB,nadK,ndh,nemA,nfsA,nfsB,nirB,norV,norW,nrdI,nuoE,nuoF,nuoG,oxc,pabC,panE,patA,pdxA,pdxB,pdxH,pntA,pntB,poxB,proA,proC,putA,pyrD,rfaD,ribD,rutE,sdhA,selA,serC,solA,sthA,sucB,sufS,tdcB,thrC,tnaA,torD,trpA,trpB,trxB,tyrB,ulaR,uxaB,wrbA,xdhA,xdhD,ybdL,ydiB,ydiO,ydiR,ydjA,ygeX,yggS,yieF,yqcA","arnA,arnB,astC,bioA,bioF,cysJ,cysK,fadH,frdA,gabT,gcvH,hmp,lldD,metF,ndh,nrdI,poxB,sdhA,sthA,sucB,tnaA,torD,wrbA"
"17","GO:0016491",276,47,24.73,"0.01480","oxidoreductase activity","aceE,aceF,adeD,adhE,ahpC,ahpF,ahr,aidB,aldA,aldB,alkB,allD,appB,argC,arnA,aroE,arsC,asd,astD,azoR,bcp,betA,betB,btuE,caiA,cbrA,ccmG,ccmH,cueO,cydB,cydX,cyoA,cyoB,cyoC,cyoD,cysG,cysH,cysJ,dadA,dapB,dkgA,dkgB,dld,dmsB,dmsC,dnaJ,dsbA,dsbB,dsbC,dsbD,dusA,dusB,dusC,dxr,efeB,entA,epd,epmC,eutE,eutG,fabI,fadB,fadE,fadH,fdhF,fdnH,fdnI,fdoH,fdoI,fdx,fixB,folA,folM,fpr,frdA,frdB,frdC,frdD,fre,frmA,ftnA,fucO,gabD,gapA,garK,garR,gatD,gcd,gcvP,gdhA,ghrA,ghrB,glcD,glcE,glcF,gldA,glpA,glpB,glpC,glpD,gltB,glxK,glxR,gnd,gor,gpsA,grxB,grxC,gstB,guaB,guaC,hcp,hcr,hdhA,hemA,hemF,hemG,hemN,hisD,hmp,hyaA,hyaB,hybA,hybB,hybC,hycB,hydN,icd,idnD,ilvC,ispG,ispH,katE,katG,kduD,kefF,ldhA,leuB,lgoD,lhgO,lipA,lldD,lpd,maeB,mdaB,mdh,metF,metL,mioC,mqo,msrA,msrB,msrC,mtlD,murB,nadB,napA,napC,narI,ndh,nemA,nfsA,nfsB,nirB,nirD,norV,norW,nrdA,nrdB,nrdD,nrdE,nrdF,nrdG,nrdH,nrfA,nrfB,nrfC,nuoA,nuoB,nuoC,nuoE,nuoF,nuoG,nuoH,nuoI,nuoJ,nuoK,nuoM,nuoN,osmC,panE,patD,pdxA,pdxB,pdxH,pflA,pflC,phoA,pntA,pntB,poxB,preA,preT,proA,proC,putA,pyrD,queF,queG,ribD,roxA,rsxB,rutE,rutF,sad,sdhA,sdhB,sdhC,sdhD,serA,sodB,sodC,solA,ssuD,ssuE,sthA,tas,tauD,thrA,torC,torY,tpx,trkA,trxA,trxB,trxC,tyrA,ubiF,ubiH,ubiI,uxaB,wecC,wrbA,xdhA,xdhD,yahK,ybbO,ybiY,ydbK,yddH,ydfG,ydhX,ydiB,ydiO,ydiR,ydjG,yeaE,yfcG,yfeX,ygfK,ygfS,yghA,yghU,ygiN,yhdH,yhhW,yiaK,yiaY,yieF,ykgE,ykgF,ykgG,yliI,yqhD,ysaA,zwf","ahpC,ahr,arnA,astD,cysH,cysJ,dadA,entA,fadH,fdnH,fdnI,frdA,frdB,frdC,gabD,glcD,glcE,glcF,hcp,hmp,katE,lldD,mdh,metF,msrB,ndh,nirD,nrdE,nrdF,nrdH,nuoJ,patD,poxB,preT,rsxB,sdhA,sdhB,sdhC,sdhD,sthA,torC,trxC,wrbA,yahK,ybiY,yfcG,yhdH"
"18","GO:0003992",3,2,0.27,"0.02230","N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity","argD,astC,gabT","astC,gabT"
"19","GO:0015190",3,2,0.27,"0.02230","L-leucine transmembrane transporter activity","brnQ,leuE,livF","brnQ,leuE"
"20","GO:0015343",3,2,0.27,"0.02230","siderophore transmembrane transporter activity","fepD,fepE,fepG","fepD,fepE"
"21","GO:0008177",3,2,0.27,"0.02230","succinate dehydrogenase (ubiquinone) activity","frdC,frdD,sdhC","frdC,sdhC"
"22","GO:0005304",3,2,0.27,"0.02230","L-valine transmembrane transporter activity","brnQ,ygaH,ygaZ","brnQ,ygaH"
"23","GO:0015620",3,2,0.27,"0.02230","ferric-enterobactin transmembrane transporter activity","fepD,fepE,fepG","fepD,fepE"
"24","GO:0031405",3,2,0.27,"0.02230","lipoic acid binding","aceF,gcvH,sucB","gcvH,sucB"
"25","GO:0008443",3,2,0.27,"0.02230","phosphofructokinase activity","fruK,pfkA,pfkB","fruK,pfkB"
"26","GO:0019842",50,9,4.48,"0.02927","vitamin binding","accB,acpP,alaA,alr,argD,arnB,aspC,astC,bioA,bioF,csdA,cysK,cysM,dcyD,dxs,entB,eutC,gabT,gcd,glyA,hemL,ilvA,ilvI,iscS,kbl,ltaE,malY,menD,metB,metC,metH,oxc,pabC,patA,poxB,selA,serC,sufS,tdcB,thrC,tnaA,trpA,trpB,tyrB,ulaR,ybdL,ygeX,ygfZ,yggS,yliI","arnB,astC,bioA,bioF,cysK,entB,gabT,poxB,tnaA"
"27","GO:0030170",36,7,3.23,"0.03585","pyridoxal phosphate binding","alaA,alr,argD,arnB,aspC,astC,bioA,bioF,csdA,cysK,cysM,dcyD,gabT,glyA,hemL,ilvA,iscS,kbl,ltaE,malY,metB,metC,pabC,patA,selA,serC,sufS,tdcB,thrC,tnaA,trpA,trpB,tyrB,ybdL,ygeX,yggS","arnB,astC,bioA,bioF,cysK,gabT,tnaA"
