"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0006212",7,6,1.35,"0.00030","uracil catabolic process","rutB,rutC,rutD,rutE,rutF,rutG,ydfG","rutB,rutC,rutD,rutE,rutF,rutG"
"3","GO:0042254",56,22,10.83,"0.00036","ribosome biogenesis","dbpA,deaD,der,era,hslR,obgE,rbfA,rhlE,rimP,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rluA,rluB,rluC,rluD,rluE,rluF,rnb,rne,rng,rnr,rplE,rplT,rpmJ,rpsG,rpsP,rpsS,rsfS,rsgA,rsmA,rsmB,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,rsuA,srmB,yajL,ybeY,yfiF,yihI,yqgF","deaD,era,obgE,rhlE,rlmC,rlmG,rlmH,rlmI,rlmL,rlmN,rluB,rluC,rluF,rnb,rplE,rpmJ,rpsG,rpsP,rsmF,rsmG,srmB,yqgF"
"4","GO:0006412",67,25,12.95,"0.00037","translation","accD,acnB,adk,alaS,arfB,argS,asnS,aspS,csrA,cysS,deaD,efp,ettA,fmt,frr,glnS,gltX,hfq,hisS,hpf,ileS,infB,lepA,leuS,metG,pheS,pheT,prfA,prfB,prmC,proS,raiA,ratA,rbbA,rfaH,rimP,rmf,rplA,rplD,rplI,rplK,rplT,rplY,rpsA,rpsB,rpsD,rpsE,rpsG,rpsL,rpsM,rpsN,rpsP,rpsQ,rpsR,rsfS,secM,serS,thrS,trpS,tsf,tyrS,valS,yafO,ybeY,yciH,yeaK,yoeB","argS,deaD,efp,gltX,lepA,pheS,prfA,rmf,rplA,rplD,rplI,rplK,rplY,rpsA,rpsB,rpsD,rpsE,rpsG,rpsL,rpsM,rpsP,rpsQ,rpsR,tsf,yciH"
"5","GO:1902475",20,11,3.87,"0.00038","L-alpha-amino acid transmembrane transport","adiC,ansP,brnQ,gabP,gadC,gltS,leuE,livF,lysO,lysP,potE,proY,ybaT,ydgI,ygaH,ygaZ,ygjI,yifK,yjeH,yjeM","ansP,brnQ,gabP,gadC,leuE,lysP,proY,ybaT,ydgI,yifK,yjeM"
"6","GO:0015757",6,5,1.16,"0.00133","galactose transmembrane transport","fucP,mglA,yjfF,ytfQ,ytfR,ytfT","mglA,yjfF,ytfQ,ytfR,ytfT"
"7","GO:1902047",6,5,1.16,"0.00133","polyamine transmembrane transport","mdtI,mdtJ,potA,potB,potC,potD","mdtJ,potA,potB,potC,potD"
"8","GO:0019545",4,4,0.77,"0.00138","arginine catabolic process to succinate","astB,astC,astD,astE","astB,astC,astD,astE"
"9","GO:0071474",4,4,0.77,"0.00138","cellular hyperosmotic response","osmF,treA,treF,yggT","osmF,treA,treF,yggT"
"10","GO:0006099",9,6,1.74,"0.00249","tricarboxylic acid cycle","aceK,acnA,acnB,fdrA,fumC,mdh,sdhA,sucB,sucC","acnA,fumC,mdh,sdhA,sucB,sucC"
"11","GO:0006206",19,13,3.67,"0.00287","pyrimidine nucleobase metabolic process","carA,carB,codA,preA,preT,prkB,pyrC,pyrD,pyrE,pyrF,rutB,rutC,rutD,rutE,rutF,rutG,udk,upp,ydfG","carA,carB,preA,pyrD,pyrF,rutB,rutC,rutD,rutE,rutF,rutG,udk,upp"
