"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"4","GO:0046912",6,5,1.19,"0.0015","transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer","aceA,aceB,glcB,leuA,menD,prpB","aceA,aceB,glcB,leuA,prpB"
"5","GO:0015291",59,21,11.75,"0.0030","secondary active transmembrane transporter activity","adiC,ampG,amtB,ansP,chaA,clcA,codB,cycA,cysZ,dtpA,dtpB,fieF,fucP,gabP,gadC,gltS,gntU,kdgT,kefC,kgtP,lysP,mdfA,mdtK,mntH,nhaA,nhaB,nirC,nupC,panF,potE,proP,proY,putP,rhaT,satP,sbmA,sstT,tatA,tatB,tatC,tdcC,tnaB,ttdT,uhpC,uhpT,uraA,yaaU,ybaT,ybbW,ydgI,ydiN,yfdC,ygjI,yifK,yjeH,yjeM,yjfF,yrbG,ytfT","ampG,amtB,ansP,dtpA,gabP,gadC,gntU,kgtP,lysP,nirC,proY,satP,uhpC,uraA,ybaT,ydgI,yfdC,yifK,yjeM,yjfF,ytfT"
"6","GO:0003729",10,6,1.99,"0.0059","mRNA binding","accD,acnA,acnB,csrA,rpsA,rpsD,rpsF,rpsG,rpsR,rsmA","acnA,rpsA,rpsD,rpsF,rpsG,rpsR"
"7","GO:0015146",5,4,1,"0.0064","pentose transmembrane transporter activity","araG,araH,fucP,xylG,xylH","araG,araH,xylG,xylH"
"8","GO:0016408",3,3,0.6,"0.0077","C-acyltransferase activity","fadA,grcA,leuA","fadA,grcA,leuA"
"9","GO:0015407",3,3,0.6,"0.0077","monosaccharide-transporting ATPase activity","araF,xylG,ytfR","araF,xylG,ytfR"
"10","GO:0019154",3,3,0.6,"0.0077","glycolate dehydrogenase activity","glcD,glcE,glcF","glcD,glcE,glcF"
"11","GO:0106130",3,3,0.6,"0.0077","purine phosphoribosyltransferase activity","apt,gpt,hpt","apt,gpt,hpt"
"12","GO:0015925",3,3,0.6,"0.0077","galactosidase activity","ebgA,lacZ,melA","ebgA,lacZ,melA"
"13","GO:0003746",3,3,0.6,"0.0077","translation elongation factor activity","efp,lepA,tsf","efp,lepA,tsf"
"14","GO:0000049",8,5,1.59,"0.0098","tRNA binding","alaS,dusC,rlmN,rplP,thiI,tmcA,trmA,yajQ","dusC,rlmN,rplP,thiI,trmA"
"15","GO:0043022",14,7,2.79,"0.0107","ribosome binding","arfB,def,der,efp,ettA,hpf,infA,infC,prfA,rlmH,rmf,tig,ychF,yciH","efp,infA,prfA,rlmH,rmf,ychF,yciH"
"16","GO:0015297",24,10,4.78,"0.0113","antiporter activity","adiC,ansP,chaA,clcA,cycA,gabP,gadC,lysP,mdfA,mdtK,nhaA,nhaB,potE,proY,ttdT,uhpC,uhpT,ybaT,ydgI,ygjI,yifK,yjeH,yjeM,yrbG","ansP,gabP,gadC,lysP,proY,uhpC,ybaT,ydgI,yifK,yjeM"
"17","GO:0016627",28,11,5.57,"0.0133","oxidoreductase activity, acting on the CH-CH group of donors","aidB,caiA,cysG,dapB,dusA,dusB,dusC,entA,fabI,fadE,fadH,fixB,frdA,frdB,frdC,frdD,hemF,hemG,hemN,nemA,preA,pyrD,sdhA,sdhC,tyrA,ydiO,ydiR,yhdH","aidB,dusB,dusC,fabI,fadE,fadH,preA,pyrD,sdhA,sdhC,yhdH"
"18","GO:0015179",29,11,5.77,"0.0177","L-amino acid transmembrane transporter activity","adiC,alaE,ansP,brnQ,cycA,dauA,gabP,gadC,leuE,livF,lysO,lysP,potE,proY,rhtB,tcyJ,tcyL,tcyN,tcyP,tdcC,ybaT,yddG,ydgI,ygaH,ygaZ,ygjI,yifK,yjeH,yjeM","ansP,brnQ,gabP,gadC,leuE,lysP,proY,ybaT,ydgI,yifK,yjeM"
"19","GO:0033293",12,6,2.39,"0.0182","monocarboxylic acid binding","accB,aceF,dacA,dacC,dacD,ftsI,gcvH,hmp,mrcA,mrcB,mrdA,sucB","dacA,gcvH,hmp,mrcA,mrdA,sucB"
"20","GO:0016798",33,14,6.57,"0.0221","hydrolase activity, acting on glycosyl bonds","alkA,amn,amyA,bcsZ,bglX,chbF,chiA,ebgA,glgX,lacZ,malS,melA,mltA,mltF,mtn,mug,mutM,nagZ,nth,psuG,rihA,rihB,rihC,slt,tag,treA,treC,treF,uidA,ung,xapA,ygjK,yrfG","amyA,ebgA,glgX,lacZ,melA,mltA,mltF,mug,mutM,psuG,rihB,treA,treF,uidA"
"21","GO:0004553",19,10,3.78,"0.0241","hydrolase activity, hydrolyzing O-glycosyl compounds","amyA,bcsZ,bglX,chbF,chiA,ebgA,glgX,lacZ,malS,melA,mltA,mltF,nagZ,slt,treA,treC,treF,uidA,ygjK","amyA,ebgA,glgX,lacZ,melA,mltA,mltF,treA,treF,uidA"
"22","GO:0016836",34,12,6.77,"0.0246","hydro-lyase activity","acnA,acnB,aroD,caiB,caiD,caiE,can,dapA,dgoD,edd,eno,eutR,fabA,fabZ,fadB,fumC,garD,hchA,hemB,hemD,hisB,ilvD,leuC,menC,pheA,prpD,queD,tcdA,trpA,trpB,uxaA,uxuA,yajL,ykgA","acnA,fabA,fadB,fumC,garD,ilvD,leuC,prpD,queD,tcdA,trpB,uxaA"
"23","GO:0005504",4,3,0.8,"0.0263","fatty acid binding","aceF,gcvH,hmp,sucB","gcvH,hmp,sucB"
"24","GO:0005354",4,3,0.8,"0.0263","galactose transmembrane transporter activity","fucP,mglA,yjfF,ytfT","mglA,yjfF,ytfT"
"25","GO:0048027",4,3,0.8,"0.0263","mRNA 5'-UTR binding","csrA,rpsD,rpsF,rpsR","rpsD,rpsF,rpsR"
"26","GO:0016667",27,10,5.38,"0.0277","oxidoreductase activity, acting on a sulfur group of donors","ahpC,ahpF,bcp,ccmG,ccmH,cysH,dmsB,dmsC,dnaJ,dsbA,dsbB,dsbC,dsbD,gor,grxB,grxC,hmp,lpd,msrA,msrB,msrC,tpx,trxA,trxB,trxC,yfcG,yghU","ahpC,ahpF,dsbB,grxB,hmp,msrA,msrB,trxC,yfcG,yghU"
"27","GO:0043021",27,10,5.38,"0.0277","ribonucleoprotein complex binding","arfB,def,der,efp,era,ettA,frr,hpf,hslR,infA,infB,infC,lepA,prfA,raiA,ratA,rbbA,rbfA,rlmH,rmf,rsfS,tig,yafO,ychF,yciH,yoeB,yqjD","efp,era,infA,lepA,prfA,rlmH,rmf,ychF,yciH,yqjD"
"28","GO:0016903",27,10,5.38,"0.0277","oxidoreductase activity, acting on the aldehyde or oxo group of donors","aceE,aceF,adhE,aldA,aldB,argC,asd,astD,betB,epd,eutE,fdnH,fdnI,fdoH,fdoI,gabD,gapA,hemA,patD,poxB,proA,putA,sad,xdhA,xdhD,ydbK,yqhD","aceE,aldA,asd,astD,fdnH,fdnI,gabD,patD,poxB,xdhA"
"29","GO:0044877",27,10,5.38,"0.0277","protein-containing complex binding","arfB,def,der,efp,era,ettA,frr,hpf,hslR,infA,infB,infC,lepA,prfA,raiA,ratA,rbbA,rbfA,rlmH,rmf,rsfS,tig,yafO,ychF,yciH,yoeB,yqjD","efp,era,infA,lepA,prfA,rlmH,rmf,ychF,yciH,yqjD"
"30","GO:0016671",10,5,1.99,"0.0312","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","ahpC,bcp,cysH,hmp,msrA,msrB,msrC,tpx,trxA,trxC","ahpC,hmp,msrA,msrB,trxC"
"31","GO:0050660",39,13,7.77,"0.0317","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fpr,frdA,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhD,ydiO,ydiR","ahpF,aidB,bluF,fadE,fadH,hmp,mnmG,nadB,ndh,nirB,poxB,sdhA,xdhA"
"32","GO:0008168",52,16,10.35,"0.0383","methyltransferase activity","ada,bioC,cfa,cmoA,cysG,dam,gcvT,metE,metH,mnmC,pcm,prmA,prmB,prmC,rlmA,rlmB,rlmC,rlmD,rlmE,rlmF,rlmG,rlmH,rlmI,rlmJ,rlmL,rlmM,rlmN,rsmA,rsmB,rsmD,rsmE,rsmF,rsmG,rsmH,rsmI,rsmJ,tam,tehB,thyA,trmA,trmD,trmH,trmI,trmJ,trmL,trmO,ubiE,ubiG,yfiC,yfiF,yhdJ,yjtD","bioC,cfa,gcvT,metH,rlmC,rlmG,rlmH,rlmI,rlmL,rlmN,rsmF,rsmG,tam,trmA,trmD,yhdJ"
"33","GO:0070180",2,2,0.4,"0.0392","large ribosomal subunit rRNA binding","rplI,rplN","rplI,rplN"
"34","GO:0016721",2,2,0.4,"0.0392","oxidoreductase activity, acting on superoxide radicals as acceptor","sodB,sodC","sodB,sodC"
"35","GO:0003988",2,2,0.4,"0.0392","acetyl-CoA C-acyltransferase activity","fadA,leuA","fadA,leuA"
"36","GO:0004088",2,2,0.4,"0.0392","carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity","carA,carB","carA,carB"
"37","GO:0046316",2,2,0.4,"0.0392","gluconokinase activity","gntK,idnK","gntK,idnK"
"38","GO:0008516",2,2,0.4,"0.0392","hexose uniporter activity","yjfF,ytfT","yjfF,ytfT"
"39","GO:0070043",2,2,0.4,"0.0392","rRNA (guanine-N7-)-methyltransferase activity","rlmL,rsmG","rlmL,rsmG"
"40","GO:0004565",2,2,0.4,"0.0392","beta-galactosidase activity","ebgA,lacZ","ebgA,lacZ"
"41","GO:0050497",2,2,0.4,"0.0392","transferase activity, transferring alkylthio groups","miaB,rimO","miaB,rimO"
"42","GO:0031419",2,2,0.4,"0.0392","cobalamin binding","eutC,metH","eutC,metH"
"43","GO:0015123",2,2,0.4,"0.0392","acetate transmembrane transporter activity","actP,satP","actP,satP"
"44","GO:0015128",2,2,0.4,"0.0392","gluconate transmembrane transporter activity","dsdX,gntU","dsdX,gntU"
"45","GO:0015112",2,2,0.4,"0.0392","nitrate transmembrane transporter activity","nirC,yfdC","nirC,yfdC"
"46","GO:0015147",2,2,0.4,"0.0392","L-arabinose transmembrane transporter activity","araG,araH","araG,araH"
"47","GO:0015148",2,2,0.4,"0.0392","D-xylose transmembrane transporter activity","xylG,xylH","xylG,xylH"
"48","GO:0004474",2,2,0.4,"0.0392","malate synthase activity","aceB,glcB","aceB,glcB"
"49","GO:0004422",2,2,0.4,"0.0392","hypoxanthine phosphoribosyltransferase activity","gpt,hpt","gpt,hpt"
"50","GO:0050782",2,2,0.4,"0.0392","galactose uniporter activity","yjfF,ytfT","yjfF,ytfT"
"51","GO:0004784",2,2,0.4,"0.0392","superoxide dismutase activity","sodB,sodC","sodB,sodC"
"52","GO:0008959",2,2,0.4,"0.0392","phosphate acetyltransferase activity","eutD,pta","eutD,pta"
"53","GO:0008942",2,2,0.4,"0.0392","nitrite reductase [NAD(P)H] activity","nirB,nirD","nirB,nirD"
"54","GO:0015591",2,2,0.4,"0.0392","D-ribose transmembrane transporter activity","xylG,xylH","xylG,xylH"
"55","GO:0008097",2,2,0.4,"0.0392","5S rRNA binding","rplE,rplY","rplE,rplY"
