"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0031460",6,4,0.34,"0.00013","glycine betaine transport","emrE,osmF,proP,yehW,yehX,yehY","osmF,yehW,yehX,yehY"
"3","GO:0034194",3,3,0.17,"0.00017","D-galactonate catabolic process","dgoA,dgoD,dgoK","dgoA,dgoD,dgoK"
"4","GO:0019569",3,3,0.17,"0.00017","L-arabinose catabolic process to xylulose 5-phosphate","araA,araB,araD","araA,araB,araD"
"5","GO:0042882",3,3,0.17,"0.00017","L-arabinose transmembrane transport","araE,araF,araG","araE,araF,araG"
"6","GO:0015757",8,4,0.45,"0.00056","galactose transmembrane transport","fucP,galP,mglA,ompL,yjfF,ytfQ,ytfR,ytfT","yjfF,ytfQ,ytfR,ytfT"
"7","GO:0046296",5,3,0.28,"0.00160","glycolate catabolic process","gcl,glcD,glcE,glcF,glxK","glcD,glcE,glcF"
"8","GO:0006635",11,4,0.62,"0.00231","fatty acid beta-oxidation","aidB,caiA,fadA,fadB,fadD,fadE,fadH,fadM,fixB,ydiO,ydiR","aidB,fadA,fadE,fadM"
"9","GO:0042843",2,2,0.11,"0.00314","D-xylose catabolic process","xylA,xylB","xylA,xylB"
"10","GO:0070415",2,2,0.11,"0.00314","trehalose metabolism in response to cold stress","otsA,otsB","otsA,otsB"
"11","GO:0019935",2,2,0.11,"0.00314","cyclic-nucleotide-mediated signaling","dgcM,pdeR","dgcM,pdeR"
"12","GO:0045471",2,2,0.11,"0.00314","response to ethanol","aldB,uspB","aldB,uspB"
"13","GO:0005992",2,2,0.11,"0.00314","trehalose biosynthetic process","otsA,otsB","otsA,otsB"
"14","GO:0006970",29,8,1.63,"0.00466","response to osmotic stress","aqpZ,betI,cpsB,cysG,emrE,envZ,flgH,gshA,lepA,mscK,mscM,opgG,osmC,osmE,osmF,osmY,otsA,otsB,proP,rcsC,rpoE,treA,treF,uspC,ybdG,ybiO,yggT,yjjB,ynaI","osmC,osmE,osmF,osmY,otsA,otsB,treA,ybiO"
"15","GO:0009268",21,5,1.18,"0.00510","response to pH","clcA,clcB,evgS,frc,hchA,hdeA,hdeB,hdeD,lepA,mnmE,oxc,phoU,sodA,yagU,ybaT,yceO,ydeP,ygiN,yhcN,yjaA,yodD","hdeA,hdeB,hdeD,ybaT,yodD"
"16","GO:0071214",21,5,1.18,"0.00510","cellular response to abiotic stimulus","clcA,clcB,frc,hdeA,mscK,mscM,nth,osmF,oxc,phoU,rcsC,treA,treF,uspE,ybdG,ybiO,yggT,yhcN,yjaA,ynaI,yodD","hdeA,osmF,treA,ybiO,yodD"
"17","GO:0006097",7,3,0.39,"0.00514","glyoxylate cycle","aceA,aceB,aceK,acnA,acnB,glcB,prpB","aceA,aceB,acnA"
"18","GO:0009098",7,3,0.39,"0.00514","leucine biosynthetic process","ilvE,leuA,leuB,leuC,leuD,lrp,tyrB","leuB,leuC,leuD"
"19","GO:0006972",8,3,0.45,"0.00789","hyperosmotic response","cpsB,gshA,osmC,osmF,proP,treA,treF,yggT","osmC,osmF,treA"
"20","GO:0019645",8,3,0.45,"0.00789","anaerobic electron transport chain","narI,narV,narY,narZ,nrfA,nrfB,nrfC,nrfD","narV,narY,narZ"
"21","GO:0009450",3,2,0.17,"0.00907","gamma-aminobutyric acid catabolic process","gabD,gabT,sad","gabD,gabT"
"22","GO:0009447",3,2,0.17,"0.00907","putrescine catabolic process","patA,patD,sad","patA,patD"
"23","GO:0015752",3,2,0.17,"0.00907","D-ribose transmembrane transport","xylF,xylG,xylH","xylF,xylG"
"24","GO:0015753",3,2,0.17,"0.00907","D-xylose transmembrane transport","xylF,xylG,xylH","xylF,xylG"
"25","GO:0071470",10,3,0.56,"0.01557","cellular response to osmotic stress","mscK,mscM,osmF,rcsC,treA,treF,ybdG,ybiO,yggT,ynaI","osmF,treA,ybiO"
"26","GO:0019355",4,2,0.22,"0.01747","nicotinamide nucleotide biosynthetic process from aspartate","nadA,nadB,nadC,nadE","nadA,nadB"
"27","GO:0071474",4,2,0.22,"0.01747","cellular hyperosmotic response","osmF,treA,treF,yggT","osmF,treA"
"28","GO:0006591",4,2,0.22,"0.01747","ornithine metabolic process","argD,astC,gabT,ygeW","astC,gabT"
"29","GO:0042450",4,2,0.22,"0.01747","arginine biosynthetic process via ornithine","argD,astC,gabT,ygeW","astC,gabT"
"30","GO:0015707",4,2,0.22,"0.01747","nitrite transport","narK,narU,nirC,yfdC","narU,yfdC"
"31","GO:0034627",4,2,0.22,"0.01747","'de novo' NAD biosynthetic process","nadA,nadB,nadC,nadE","nadA,nadB"
"32","GO:0034628",4,2,0.22,"0.01747","'de novo' NAD biosynthetic process from aspartate","nadA,nadB,nadC,nadE","nadA,nadB"
"33","GO:0006979",70,8,3.94,"0.03983","response to oxidative stress","acnA,ahpC,ariR,azoR,barA,bcp,bsmA,btuE,clpA,cysD,degP,fnr,fre,ftnA,fumC,gpmM,gstA,hcp,icd,katG,lpd,mdtK,mltC,mntH,msrA,msrC,napF,nfuA,norV,norW,osmC,oxyR,patZ,pdeF,pgi,rclA,rclC,rseC,sodA,sodB,sodC,soxR,sufA,sufD,sufE,tatD,tpx,trxA,trxC,ubiH,uspE,uspF,wrbA,yaaA,yaaU,yajL,ybhJ,ychF,ychH,ydbK,yfcF,yfcG,yggE,yggX,ygiW,yhcN,yidH,yjaA,yodD,yqhD","acnA,ariR,bsmA,osmC,sodC,wrbA,yfcG,yodD"
"34","GO:0001101",14,3,0.79,"0.04006","response to acid chemical","asnC,bsmA,dctR,envZ,ibaG,lrp,narQ,narX,rclA,rclC,speF,tsr,yhiM,yjeH","bsmA,dctR,yhiM"
"35","GO:0033539",6,2,0.34,"0.04054","fatty acid beta-oxidation using acyl-CoA dehydrogenase","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
"36","GO:0055088",6,2,0.34,"0.04054","lipid homeostasis","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
"37","GO:0010041",6,2,0.34,"0.04054","response to iron(III) ion","arnD,arnE,arnF,arnT,basR,basS","arnE,arnF"
"38","GO:0010039",6,2,0.34,"0.04054","response to iron ion","arnD,arnE,arnF,arnT,basR,basS","arnE,arnF"
"39","GO:0072329",48,16,2.7,"0.04107","monocarboxylic acid catabolic process","acnB,acs,aidB,ansA,caiA,dgoA,dgoD,dgoK,fadA,fadB,fadD,fadE,fadH,fadM,fixB,gabD,gabT,gcl,ghrB,glcB,glcD,glcE,glcF,glxK,glxR,gntK,hdhA,idnD,idnK,idnO,kdgK,kduD,kduI,lgoD,lgoR,poxB,prpB,pta,sad,tesB,uxaA,uxaB,uxaC,uxuA,uxuB,ydiO,ydiR,ykgF","acs,aidB,dgoA,dgoD,dgoK,fadA,fadE,fadM,gabD,gabT,glcD,glcE,glcF,hdhA,idnK,poxB"
