"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0015147",3,3,0.16,"0.00015","L-arabinose transmembrane transporter activity","araE,araG,araH","araE,araG,araH"
"2","GO:0019154",3,3,0.16,"0.00015","glycolate dehydrogenase activity","glcD,glcE,glcF","glcD,glcE,glcF"
"3","GO:0015407",3,3,0.16,"0.00015","monosaccharide-transporting ATPase activity","araF,xylG,ytfR","araF,xylG,ytfR"
"4","GO:0004029",7,4,0.38,"0.00025","aldehyde dehydrogenase (NAD) activity","aldB,astD,eutE,gabD,patD,putA,sad","aldB,astD,gabD,patD"
"5","GO:0008106",5,3,0.27,"0.00141","alcohol dehydrogenase (NADP+) activity","ahr,yahK,ybbO,yghA,yqhD","ahr,yahK,yghA"
"6","GO:0016744",11,4,0.59,"0.00197","transferase activity, transferring aldehyde or ketonic groups","dxs,ilvB,ilvH,ilvI,ilvM,ilvN,menD,talA,talB,tktA,tktB","ilvB,ilvN,talA,tktB"
"7","GO:0048029",6,3,0.32,"0.00271","monosaccharide binding","araF,fimH,fucU,ulaR,xylF,ytfQ","araF,xylF,ytfQ"
"8","GO:0050782",2,2,0.11,"0.00288","galactose uniporter activity","yjfF,ytfT","yjfF,ytfT"
"9","GO:0008940",7,3,0.38,"0.00456","nitrate reductase activity","napA,narG,narH,narI,narV,narY,narZ","narV,narY,narZ"
"10","GO:0003988",3,2,0.16,"0.00835","acetyl-CoA C-acyltransferase activity","fadA,leuA,yqeF","fadA,yqeF"
"11","GO:0003992",3,2,0.16,"0.00835","N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity","argD,astC,gabT","astC,gabT"
"12","GO:0015112",4,2,0.22,"0.01610","nitrate transmembrane transporter activity","narK,narU,nirC,yfdC","narU,yfdC"
"13","GO:0003984",5,2,0.27,"0.02590","acetolactate synthase activity","ilvB,ilvH,ilvI,ilvM,ilvN","ilvB,ilvN"
"14","GO:0008381",6,2,0.32,"0.03749","mechanosensitive ion channel activity","mscK,mscL,mscS,ybdG,ybiO,ynaI","mscL,ybiO"
"15","GO:1901567",6,2,0.32,"0.03749","fatty acid derivative binding","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
"16","GO:0000062",6,2,0.32,"0.03749","fatty-acyl-CoA binding","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
"17","GO:0052890",6,2,0.32,"0.03749","oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
"18","GO:0003995",6,2,0.32,"0.03749","acyl-CoA dehydrogenase activity","aidB,caiA,fadE,fixB,ydiO,ydiR","aidB,fadE"
