,K-12,CFT073,UMN026,UTI89,536,Residual,Gene Name,Description
PROKKA_01005,b0509,c0624,ECUMN_0550,UTI89_C0538,ECP_RS02835,-2.158676305408182,glxR,tartronate semialdehyde reductase 2
PROKKA_00292,b1256,c1722,ECUMN_1555,UTI89_C1456,ECP_RS06625,-2.0621655889511,ompW,outer membrane protein W
PROKKA_04866,,,ECUMN_p10135,UTI89_P077,,-2.0160586261316262,yfcB,hypothetical protein
PROKKA_03754,b2457,c2982,ECUMN_2769,UTI89_C2781,ECP_RS12595,-1.9826508844215145,eutM,"putative structural protein, ethanolamine utilization microcompartment"
PROKKA_01008,b0507,c0622,ECUMN_0548,UTI89_C0536,ECP_RS02825,-1.892514805673296,gcl,glyoxylate carboligase
PROKKA_01824,b4194,c5283,ECUMN_4727,UTI89_C4794,ECP_RS22610,-1.8683581490596857,ulaB,L-ascorbate specific PTS enzyme IIB component
PROKKA_01006,b0508,c0623,ECUMN_0549,UTI89_C0537,ECP_RS02830,-1.8661630965145264,hyi,hydroxypyruvate isomerase
PROKKA_03553,b2678,c3231,ECUMN_3004,UTI89_C3038,ECP_RS13520,-1.830720180412491,proW,glycine betaine ABC transporter membrane subunit ProW
PROKKA_01004,b0511,c0625,ECUMN_0551,UTI89_C0539,ECP_RS02840,-1.8007275332437898,ybbW,putative allantoin transporter
PROKKA_03758,b2453,c2978,ECUMN_2765,UTI89_C2777,ECP_RS12575,-1.8006328207598514,eutG,putative alcohol dehydrogenase in ethanolamine utilization
PROKKA_03755,b2456,c2981,ECUMN_2768,UTI89_C2780,ECP_RS12590,-1.799603893247527,eutN,putative carboxysome structural protein
PROKKA_01003,b0512,c0626,ECUMN_0552,UTI89_C0540,ECP_RS02845,-1.7530378568464458,allB,allantoinase
PROKKA_01825,b4193,c5281,ECUMN_4726,UTI89_C4793,ECP_RS22605,-1.7474158916174145,ulaA,L-ascorbate specific PTS enzyme IIC component
PROKKA_01863,b4154,c5242,ECUMN_4690,UTI89_C4754,ECP_RS22420,-1.7193221468231226,frdA,fumarate reductase flavoprotein subunit
PROKKA_01823,b4195,c5284,ECUMN_4728,UTI89_C4795,ECP_RS22615,-1.6824847794539923,ulaC,L-ascorbate specific PTS enzyme IIA component
PROKKA_04795,b1532,c1954,ECUMN_1800,UTI89_C1751,ECP_RS07720,-1.649047537796831,marB,multiple antibiotic resistance protein
PROKKA_02612,b3512,c4323,ECUMN_4012,UTI89_C4043,ECP_RS18400,-1.6329260574126079,gadE,DNA-binding transcriptional activator GadE
PROKKA_00923,b0614,c0702,ECUMN_0707,UTI89_C0616,ECP_RS03215,-1.6324170321941553,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
PROKKA_04275,,c2415,,,ECP_RS09890,-1.5891998910640428,,Hypothetical protein
PROKKA_03982,b2205,c2744,ECUMN_2540,UTI89_C2483,ECP_RS11440,-1.5656527521692714,napG,ferredoxin-type protein NapG
PROKKA_01865,b4152,c5240,ECUMN_4688,UTI89_C4752,ECP_RS22410,-1.5543277749737279,frdC,fumarate reductase membrane protein FrdC
PROKKA_02608,,,,,ECP_RS25565,-1.54058046776449,,
PROKKA_01168,b0331,c0451,ECUMN_0375,UTI89_C0363,ECP_RS02030,-1.525832309214933,prpB,2-methylisocitrate lyase
PROKKA_03025,b3115,,ECUMN_3599,UTI89_C3550,ECP_RS16355,-1.5246353848931629,tdcD,propionate kinase
PROKKA_02705,,c4210,ECUMN_3888,UTI89_C3932,ECP_RS17935,-1.5188752943344221,,Putative minor fimbrial subunit precursor
PROKKA_04782,b1374,c3146,ECUMN_1812,,,-1.5144577528526484,pinR,Rac prophage; putative site-specific recombinase
PROKKA_01864,b4153,c5241,ECUMN_4689,UTI89_C4753,ECP_RS22415,-1.5090720398001536,frdB,fumarate reductase iron-sulfur protein
PROKKA_01822,b4196,c5285,ECUMN_4729,UTI89_C4796,ECP_RS22620,-1.4947360826429228,ulaD,3-keto-L-gulonate-6-phosphate decarboxylase UlaD
PROKKA_01215,b0292,c0403,ECUMN_0326,UTI89_C0308,ECP_RS01785,-1.4652650137162722,ecpB,putative fimbrial chaperone EcpB
PROKKA_03551,,c3234,ECUMN_3006,UTI89_C3041,ECP_RS13530,-1.4651699933669073,,Putative transport protein
PROKKA_03751,b2460,c2985,ECUMN_2772,UTI89_C2784,ECP_RS12610,-1.4566137414822926,eutQ,putative ethanolamine utilization protein EutQ
PROKKA_03235,b2957,c3543,ECUMN_3312,UTI89_C3346,ECP_RS15075,-1.4491744844249421,ansB,L-asparaginase 2
PROKKA_03980,b2207,c2746,ECUMN_2542,UTI89_C2485,ECP_RS11450,-1.4470658759860886,napD,NapA signal peptide-binding chaperone NapD
PROKKA_04865,,,ECUMN_p10136,UTI89_P076,,-1.4441323974377032,yfeB,hypothetical protein
PROKKA_03502,b2725,c3285,ECUMN_3047,UTI89_C3088,ECP_RS13765,-1.4365948925259497,hycA,regulator of the transcriptional regulator FhlA
PROKKA_02559,b3547,c4365,ECUMN_4059,UTI89_C4087,ECP_RS18605,-1.4361293474150167,yhjX,putative pyruvate transporter
PROKKA_04281,,c2408,,,ECP_RS09855,-1.4265075532670264,,Hypothetical protein
PROKKA_00997,b0517,c0631,ECUMN_0557,UTI89_C0545,ECP_RS02870,-1.426397856438346,allD,ureidoglycolate dehydrogenase
PROKKA_04867,,,ECUMN_p10134,UTI89_P078,,-1.4155413335368554,ycfA,hypothetical protein
PROKKA_03023,b3117,c3875,ECUMN_3601,UTI89_C3552,ECP_RS16365,-1.414244783791264,tdcB,catabolic threonine dehydratase
PROKKA_00919,b0617,,ECUMN_0710,UTI89_C0621,ECP_RS03230,-1.4124039592296405,citD,citrate lyase acyl carrier protein
PROKKA_04786,b1541,c1967,ECUMN_1808,UTI89_C1765,ECP_RS07780,-1.4099857774199194,ydfZ,putative selenoprotein YdfZ
PROKKA_01821,b4197,c5287,ECUMN_4730,UTI89_C4797,ECP_RS22625,-1.406397052130536,ulaE,L-ribulose-5-phosphate 3-epimerase UlaE
PROKKA_02501,,c4423,ECUMN_4115,,ECP_RS18860,-1.3963945564914053,,Conserved hypothetical protein
PROKKA_01958,b4071,c5067,ECUMN_4607,UTI89_C4661,ECP_RS21935,-1.392040021716529,nrfB,periplasmic nitrite reductase penta-heme c-type cytochrome
PROKKA_01213,b0294,c0405,ECUMN_0328,UTI89_C0310,ECP_RS01795,-1.3878427283047152,ecpR,DNA-binding transcriptional dual regulator MatA
PROKKA_00994,b4572,c0633,ECUMN_0559,UTI89_C0547,ECP_RS02880,-1.3829676305148204,ylbE,DUF1116 domain-containing protein YlbE
PROKKA_02768,b3366,c4142,ECUMN_3829,UTI89_C3870,ECP_RS17630,-1.3808264718793233,nirD,nitrite reductase subunit NirD
PROKKA_04467,b1821,c2228,ECUMN_2114,UTI89_C2019,ECP_RS09035,-1.3781146089927683,mntP,Mn(2(+)) exporter
PROKKA_03022,b3118,c3876,ECUMN_3602,UTI89_C3553,ECP_RS16370,-1.3744760105937606,tdcA,DNA-binding transcriptional activator TdcA
PROKKA_03983,b2204,c2743,ECUMN_2539,UTI89_C2482,ECP_RS11435,-1.3718927640064047,napH,ferredoxin-type protein NapH
PROKKA_03327,b2871,c3449,ECUMN_3214,UTI89_C3256,ECP_RS14630,-1.3666201913020033,ygeX,"2,3-diaminopropionate ammonia-lyase"
PROKKA_04741,b1557,c3184,ECUMN_1844,,,-1.3619376945137844,cspB,Qin prophage; cold shock-like protein CspB
PROKKA_00918,b0618,c0709,ECUMN_0711,UTI89_C0622,ECP_RS03235,-1.3355167871989484,citC,citrate lyase synthetase
PROKKA_00327,b1223,c1684,ECUMN_1522,UTI89_C1420,ECP_RS06460,-1.3310627783026148,narK,nitrate:nitrite antiporter NarK
PROKKA_03552,b2679,c3232,ECUMN_3005,UTI89_C3039,ECP_RS13525,-1.328664366516567,proX,glycine betaine ABC transporter periplasmic binding protein ProX
PROKKA_00046,,,,,ECP_RS07505,-1.3244595230207734,,
PROKKA_01495,b0062,c0074,ECUMN_0063,UTI89_C0067,ECP_RS00325,-1.3150038713561543,araA,L-arabinose isomerase
PROKKA_04280,,c2410,,,ECP_RS09865,-1.3123536237119675,,Hypothetical protein
PROKKA_01826,b4192,c5280,ECUMN_4725,UTI89_C4792,ECP_RS22600,-1.3096640280784986,ulaG,L-ascorbate-6-phosphate lactonase
PROKKA_02987,b3158,c3911,ECUMN_3638,UTI89_C3585,ECP_RS16540,-1.3071248762554748,yhbU,putative peptidase YhbU
