,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,1.2497582813973456,0.634653431256686,0.39353491070361935,0.6939244446295346,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,0.7231411249205095,0.2370579411174034,0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,1.3527604877307051,0.39048507114176456,0.9033904592030776,0.3663187018120016,0.9997835296493376,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,0.918350178673892,0.4103529265628864,0.0,1.0,1.0,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,0.6508742098944186,0.4245818757660555,0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,0.625148091912467,0.4297019519907879,0.0,1.0,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,0.33012409896884426,0.4094520496639605,0.0,1.0,1.0,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,1.2489890369601908,0.4149343211267613,0.6000685512927848,0.5484605504850876,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,0.512021172166568,0.24310355180150156,0.0,1.0,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,-2.396170605171999,0.7039489893964312,-1.9833405917225355,0.04732939818552579,0.19800927350332376,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,3.8784421211365516,0.6042419964795454,4.763724034256186,1.900523837918788e-06,3.2099947126314184e-05,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,-0.2316293401732429,0.439313261545174,-0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,4.5090931158240375,0.4028982450657043,8.70962621158049,3.0487847118021162e-18,8.941254072976022e-16,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,1.5698619218547911,0.3394296649173984,1.6788807247989634,0.09317529182004544,0.34672054754885645,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,-2.0389528306687783,0.3841300092731804,-2.704690614082977,0.006836803244735319,0.037509400114823364,K-12,b2922,yggE,uncharacterized protein YggE
78548_yhbT,3014.3311705613173,-0.1665711039119894,0.3186423124622013,-0.0,1.0,1.0,K-12,b3157,yhbT,SCP2 domain-containing protein YhbT
79357_yjaB,274.63678670371604,-1.1359708367382946,0.7120006435889625,-0.1909701036966905,0.8485490158617871,1.0,K-12,b4012,yjaB,putative N-acetyltransferase YjaB
78984_gpsA,5310.680593105596,-0.2932908641488096,0.3826812338902536,-0.0,1.0,1.0,K-12,b3608,gpsA,glycerol-3-phosphate dehydrogenase
76673_chaA,1669.0642364571818,1.7838359666124437,0.6554739547846089,1.1958308349109237,0.2317625803364857,0.7154699370004811,K-12,b1216,chaA,Na(+)/K(+):H(+) antiporter ChaA
77324_ruvB,1741.9530058971827,0.15484515494791234,0.2950937747328927,0.0,1.0,1.0,K-12,b1860,ruvB,Holliday junction branch migration complex subunit RuvB
75602_ppdD,20.791907461685263,-0.1752945558754706,0.8760584833068528,-0.0,1.0,1.0,K-12,b0108,ppdD,prepilin peptidase-dependent protein
77343_flhE,61.96060443626818,-1.0902000328341015,0.5920994019018825,-0.15233934123961312,0.8789192971899006,1.0,K-12,b1878,flhE,flagellar protein
3665_Hypothetical_oxidore..,133.5643885134952,0.03880005234439144,0.8480973924444077,0.0,1.0,1.0,CFT073,c3751,,Hypothetical oxidoreductase ydfI
79118_atpI,4659.211634648992,2.646928552706032,0.401728144841746,4.09960958387621,4.1384768016805015e-05,0.0004751148100434626,K-12,b3739,atpI,ATP synthase accessory factor
395_2-5-diketo-D-gluconi..,1335.4859037508475,-3.131765309333967,0.4741328505177378,-4.496135011539799,6.919980596796808e-06,0.00010193542194185618,CFT073,c0414,,"2,5-diketo-D-gluconic acid reductase A"
78928_yiaG,3856.901159214069,-4.751724429912637,0.9259957167236601,-4.0515570019987965,5.087792723050164e-05,0.0005679314645176411,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
79401_aphA,865.1635777206031,-0.8653033484503003,0.34246786397456896,-0.0,1.0,1.0,K-12,b4055,aphA,acid phosphatase/phosphotransferase
76090_citX,142.51007694607304,1.3916704611822517,0.8828272376937177,0.4436547089388006,0.6572922451620478,1.0,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
77691_nudI,774.2138551438915,-2.5027445285391794,0.5844914738361271,-2.571028998381081,0.0101396836216085,0.0527590634892081,K-12,b2251,nudI,pyrimidine deoxynucleotide diphosphatase NudI
75621_yadG,3580.914348293305,0.29029073026410057,0.2444163455501369,0.0,1.0,1.0,K-12,b0127,yadG,putative ABC transporter ATP-binding protein YadG
77688_yfaX,43.599592842464105,-2.1538622603606594,0.6339035849998481,-1.8202488322588302,0.06872111966587183,0.2683950751115043,K-12,b2248,yfaX,putative DNA-binding transcriptional regulator YfaX
79715_deoA,4865.165346049903,-2.8777397453132325,0.5592125519860969,-3.357828322422772,0.0007855738743078317,0.005991161509496606,K-12,b4382,deoA,thymidine phosphorylase
79601_holC,2602.28468997596,-0.20956937530268305,0.323656964858149,-0.0,1.0,1.0,K-12,b4259,holC,DNA polymerase III subunit chi
4663_Putative_conserved_p..,862.6996315253308,-0.4522602924796882,0.38747874396014503,-0.0,1.0,1.0,CFT073,c4761,,Putative conserved protein
79673_yjiM,196.495498578794,-0.9625098434909992,0.6745108398144123,-0.0,1.0,1.0,K-12,b4335,yjiM,putative dehydratase subunit
77971_hcaT,346.3419339200102,1.5506216646868474,0.3314823128529586,1.6610891240254386,0.09669554845875704,0.3577291735412273,K-12,b2536,hcaT,putative 3-phenylpropionate transporter
77172_btuC,1157.4100445297847,0.0947029160848688,0.4228883949800005,0.0,1.0,1.0,K-12,b1711,btuC,vitamin B12 ABC transporter membrane subunit
75626_rpnC,1117.9245268199477,-0.5377254573120088,0.5986231734715657,-0.0,1.0,1.0,K-12,b0132,rpnC,recombination-promoting nuclease RpnC
75585_murG,3371.071365544081,0.5457564830106418,0.2489233706223524,0.0,1.0,1.0,K-12,b0090,murG,N-acetylglucosaminyl transferase
78708_gspH,102.7691576404146,-0.2584973566911557,0.5804046598145496,-0.0,1.0,1.0,K-12,b3329,gspH,Type II secretion system protein GspH
77621_yejA,1095.4276373925272,-0.27118732710963045,0.2968619696908336,-0.0,1.0,1.0,K-12,b2177,yejA,putative oligopeptide ABC transporter periplasmic binding protein
77282_manZ,10607.340976341182,0.021615062380307613,0.6072706177884959,0.0,1.0,1.0,K-12,b1819,manZ,mannose-specific PTS enzyme IID component
76648_ycgR,577.8942310336545,-2.5776989765132976,1.2067161932158708,-1.3074316772933707,0.1910661448259588,0.6157636195889542,K-12,b1194,ycgR,flagellar brake protein YcgR
79597_rraB,12948.093936883364,1.02004599699175,0.5758821639294779,0.034809199255222516,0.9722318851334264,1.0,K-12,b4255,rraB,ribonuclease E inhibitor protein B
