,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
76065_fepD,357.1856065774189,2.9315372849774355,0.4132788149096168,4.67369053359258,2.9583499566572875e-06,0.00010234689634477012,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
78326_yggE,6116.647604324817,-2.3705377202237217,0.3841196299211272,-3.567997085973295,0.0003597205040014536,0.006107675504782574,K-12,b2922,yggE,uncharacterized protein YggE
76648_ycgR,577.8942310336545,-4.813326923472137,1.2064739602708674,-3.160720454021237,0.0015737946029576106,0.02160451654953724,K-12,b1194,ycgR,flagellar brake protein YcgR
3424_Hypothetical_protein,60.17057227882355,-4.658764346542868,0.8972573453273127,-4.077720138594327,4.547946239137875e-05,0.0009980730998271283,CFT073,c3506,,Hypothetical protein
76524_flgM,1334.9438537876981,-4.141983051973713,0.8167814957921538,-3.8467853007939015,0.00011967775440482256,0.002257780325789225,K-12,b1071,flgM,anti-sigma factor for FliA (sigma(28))
78352_yqgF,628.0479871565693,2.8546522722450494,0.2662813137725101,6.965010972679512,3.2837815573041604e-12,3.210145243594916e-10,K-12,b2949,yqgF,ribonuclease H-like domain containing nuclease
77533_yegS,1849.1645093960876,-4.042760470116963,0.7418056302611985,-4.101829840581783,4.098956713503416e-05,0.0009247017033400014,K-12,b2086,yegS,lipid kinase
77696_arnD,974.2520798213134,-3.0547133118642376,0.5060216418610253,-4.060524574220777,4.896258322103841e-05,0.0010597664258702414,K-12,b2256,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
78474_ebgC,130.69736325527538,3.3916343503465916,0.5058738595441633,4.727728672324882,2.270452997753076e-06,8.229754349158903e-05,K-12,b3077,ebgC,DUF386 domain-containing evolved beta-D-galactosidase subunit beta
76070_entB,4594.7268749555715,4.587683506760512,0.499152013119659,7.187556921463232,6.596090646019265e-13,7.337582215192466e-11,K-12,b0595,entB,enterobactin synthase component B
78101_ygaH,1098.2300392848804,2.4763734444211565,0.4834753819461293,3.0536682932610213,0.002260618853485644,0.0297663527401824,K-12,b2683,ygaH,L-valine exporter subunit YgaH
79415_acs,6385.669340011775,-3.8902180656079977,0.795539495807608,-3.6330290084138865,0.0002801135130883275,0.004806628687356088,K-12,b4069,acs,acetyl-CoA synthetase (AMP-forming)
76187_sdhB,7169.672246408464,-4.423390435224347,0.6040001598610317,-5.667863458863986,1.4458911223621604e-08,8.042146139207464e-07,K-12,b0724,sdhB,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein"
76232_bioF,162.9075172999193,3.8770329218531097,0.950530955564778,3.0267640469885166,0.002471868260206056,0.03151876287519659,K-12,b0776,bioF,8-amino-7-oxononanoate synthase
77089_rsxA,556.2980910026338,2.75070052097279,0.4041981919301092,4.331292311360729,1.482367308516106e-05,0.00037965329761733673,K-12,b1627,rsxA,SoxR [2Fe-2S] reducing system protein RsxA
77205_astB,1224.7972022134156,-6.0340622067944825,1.000225646112895,-5.032926546482782,4.830482478585588e-07,2.077751530122281e-05,K-12,b1745,astB,N-succinylarginine dihydrolase
76066_entS,966.3365238094963,2.6624937172787417,0.5640878670630163,2.947224739887942,0.0032064007563117444,0.038452969664913336,K-12,b0591,entS,enterobactin exporter EntS
75945_apt,1460.4498767835198,2.358508145406737,0.3316571978467663,4.096121399525304,4.201296750678954e-05,0.0009412071748396047,K-12,b0469,apt,adenine phosphoribosyltransferase
77855_cysA,1929.914214436344,-5.334941658937447,0.6287619576336231,-6.894408299211063,5.40894632999892e-12,4.985503103021863e-10,K-12,b2422,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit
77612_fruB,1814.3421706630265,3.4918615648475337,0.7741671712073626,3.2187641862432868,0.0012874431379678467,0.018459073613707886,K-12,b2169,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB
76805_ynaL,399.3268642124702,-3.9045324435290873,1.0157078862583622,-2.8596139528154367,0.0042415699969242,0.048011595824833234,K-12,b4743,ynaL,protein YnaL
78831_livG,1072.5828439141098,3.1380937546001904,0.6797376491421692,3.1454690751622634,0.0016582072474901008,0.02257120920001293,K-12,b3455,livG,branched chain amino acid/phenylalanine ABC transporter ATP binding subunit LivG
