,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,-0.13540330740583,0.6351782572464441,-0.0,1.0,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,-0.5372786050580922,0.23721245629973944,-0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,-0.3640238132763176,0.390501347589216,-0.0,1.0,1.0,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,2.256690323381977,0.414536475252636,3.0315554804100104,0.0024329720458069128,0.03018756853758885,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,-0.5730376757662412,0.4247004670263541,-0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,-0.7543915458326002,0.4309491597347206,-0.0,1.0,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,3.4427073882274484,0.4006309373405153,6.0971511697092815,1.0797540177061507e-09,5.198935016597079e-08,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,1.5016670458613826,0.4138309288799152,1.2122512138452453,0.2254162326070582,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,-0.5678664480004225,0.2435875504124433,-0.0,1.0,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,1.4189339522013458,0.6733236021304201,0.6221881289707114,0.5338181709057526,1.0,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,-0.9621985848067616,0.6042492537727824,-0.0,1.0,1.0,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,-0.08547504832662066,0.4394147724583925,-0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,-1.2185606311101032,0.40261648474860623,-0.5428506764857689,0.5872326183192379,1.0,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,-0.8462559148782176,0.33966928346830194,-0.0,1.0,1.0,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,-2.0545840902596466,0.3836312699984934,-2.7489523736263424,0.005978607250840714,0.0610347689595321,K-12,b2922,yggE,uncharacterized protein YggE
