,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Function,Pathways
b3364,3977.1301545913793,7.383555554732901,0.770371851502765,8.28633022128273,1.16796219602259e-16,2.1964989048949797e-14,tsgA,putative transporter TsgA,
b2971,1883.4073458689102,7.13973180246464,0.6747679621184771,9.09902684648596,9.114481520566961e-20,3.9179249850551394e-17,yghG,lipoprotein YghG,
b3261,3480.17880302774,5.83579751538437,0.44835499406517104,10.785644365280499,4.0241313389911e-27,6.0543055995120986e-24,fis,DNA-binding transcriptional dual regulator Fis,
b2533,8918.94113531817,5.68945740809741,0.33642902192942997,13.938920552107101,3.6745564940519496e-44,1.10567404906023e-40,suhB,inositol-phosphate phosphatase,"eco00521  Streptomycin biosynthesis, eco00562  Inositol phosphate metabolism, eco01100  Metabolic pathways, eco01130  Biosynthesis of antibiotics"
b3437,2318.9412514259398,5.49305458913393,0.465106653359385,9.66026728854848,4.44702154284222e-22,2.67621756448245e-19,gntK,"D-gluconate kinase, thermostable","eco00030  Pentose phosphate pathway, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism"
b3366,76.91571127293899,5.470065161244191,0.927236209508675,4.82084836140383,1.42948990778777e-06,2.4086426208670102e-05,nirD,nitrite reductase subunit NirD,"eco00910  Nitrogen metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments"
b2796,8230.43700027297,5.37935561985897,0.518479097455117,8.44654228368016,3.00057349159237e-17,6.4490897401438804e-15,sdaC,serine:H(+) symporter SdaC,
b3936,2994.21843856612,5.3366022349938795,0.461940852142739,9.387786801878,6.1274206880009296e-21,3.07290147503247e-18,rpmE,50S ribosomal subunit protein L31,eco03010  Ribosome
b1475,2148.67759315636,5.29712191353454,0.54295253382958,7.9143601803013395,2.4852784479552997e-15,3.42637023892614e-13,fdnH,formate dehydrogenase N subunit beta,eco02020  Two-component system
b1821,1284.4520756352001,5.27913140054861,0.971495641381768,4.4046840956099,1.05938142875331e-05,0.000143589131491834,mntP,Mn(2(+)) exporter,
b3552,2310.34258109425,5.06816960113768,0.6956608219425219,5.847921102956411,4.97754525530657e-09,1.76205102037853e-07,yiaD,PF13488 family lipoprotein YiaD,
b1047,786.431427632286,4.9213627853822,0.386622301857684,10.142619208825801,3.57386370290417e-24,3.58458529401289e-21,opgC,protein required for succinyl modification of osmoregulated periplasmic glucans,
b4476,2364.27317336733,4.78480549404766,0.49673730332707106,7.619330114121911,2.54995569731087e-14,3.1970069555034998e-12,gntU,low-affinity gluconate transporter,
b2069,1956.95741575255,4.78179345996458,0.670428698525667,5.64085855554973,1.69204319916769e-08,5.09135798629558e-07,yegD,HSP70 family protein YegD,
b2250,659.931250067633,4.6870953010785,0.584516258731221,6.30794309996079,2.82768125149679e-10,1.3948348993039099e-08,yfaZ,putative porin YfaZ,
b3556,17064.480936283202,4.666110126723661,0.72977722266185,5.023601741572019,5.071134060304849e-07,9.97323031859953e-06,cspA,cold shock protein CspA,
b2968,310.887022796239,4.6101647244507005,0.47336152421850897,7.626654342916559,2.40924440708427e-14,3.15192018300721e-12,yghD,putative type II secretion system M-type protein,eco03070  Bacterial secretion system
b0990,1507.74909911275,4.60703207898114,0.8372359064399519,4.30826252342516,1.6454201589793e-05,0.00021249224284844299,cspG,cold shock protein CspG,
b3260,42819.8326097913,4.50741849764794,0.560032437141298,6.262884549244441,3.77920425375862e-10,1.83413316121931e-08,dusB,tRNA-dihydrouridine synthase B,
b0010,1682.37252467323,4.4916542825488,0.6533619879174111,5.34413441112243,9.085013722779071e-08,2.27806719098685e-06,satP,acetate/succinate:H(+) symporter,
b2498,7192.5671924812705,4.47212464314162,0.39583187365329203,8.77171565567971,1.7596430195993398e-18,5.2947658459744e-16,upp,uracil phosphoribosyltransferase,"eco00240  Pyrimidine metabolism, eco01100  Metabolic pathways"
b3686,850.3902151356849,4.46381328489956,0.7641255062586101,4.53304235564578,5.81401510837063e-06,8.2520620099468e-05,ibpB,small heat shock protein IbpB,
b4469,2200.59834538953,4.44048129900679,0.417216913553872,8.2462651614495,1.6342182628096002e-16,2.89256632517299e-14,ygiQ,radical SAM superfamily protein YgiQ,
b1109,9017.7158664513,4.42065736289879,0.576380636879962,5.934719426758231,2.94348426132872e-09,1.15025248601794e-07,ndh,NADH:quinone oxidoreductase II,eco00190  Oxidative phosphorylation
b1172,301.350113845327,4.34255871760253,0.6799411493985671,4.91595297704684,8.835160469759199e-07,1.5730767960654098e-05,ymgG,PF13488 family protein YmgG,
b0777,202.700919941692,4.34141208459696,0.815029509977345,4.09974368251996,4.1360796522999295e-05,0.000459242201984151,bioC,malonyl-acyl carrier protein methyltransferase,"eco00780  Biotin metabolism, eco01100  Metabolic pathways"
b3539,890.864158183845,4.31729262275386,0.6247690835310129,5.3096299259968,1.0984805287042802e-07,2.7092851728452203e-06,yhjV,putative transporter YhjV,
b2562,1313.98839937213,4.3126426287127995,0.495252401439697,6.688796700597429,2.2501306203283197e-11,1.3817638850138599e-09,yfhL,putative 4Fe-4S cluster-containing protein YfhL,
b0238,3883.9286496992895,4.25877942808367,0.325482623567798,10.012145632729501,1.3479681372638302e-23,1.0140090312567099e-20,gpt,xanthine-guanine phsophoribosyltransferase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b2972,1077.36403826194,4.24319412499558,0.740311861178375,4.38084852488152,1.18218035656377e-05,0.000156040011353631,pppA,prepilin peptidase,
b2765,541.313860604203,4.21445555206778,0.46003185732066,6.98746293526186,2.79901485237127e-12,2.2762799164284202e-10,queD,"6-carboxy-5,6,7,8-tetrahydropterin synthase","eco00790  Folate biosynthesis, eco01100  Metabolic pathways"
b3257,84.2920042987064,4.20712610567429,0.54466885817957,5.88821273239923,3.90394402803594e-09,1.43255702199514e-07,yhdT,DUF997 domain-containing protein YhdT,
b4011,164.687533032941,4.16232985780405,0.48392071361374295,6.53480987451213,6.36903971432945e-11,3.4844437273485994e-09,yjaA,stress response protein,
b0774,229.028032682037,4.16154457790897,0.6977884143279871,4.53080692225842,5.87588217060406e-06,8.30071805227588e-05,bioA,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,"eco00780  Biotin metabolism, eco01100  Metabolic pathways"
b3669,214.08488025914102,4.1556856811525,0.48723023904521207,6.47678536401283,9.369732604222221e-11,4.7785636281533295e-09,uhpA,DNA-binding transcriptional activator UhpA,eco02020  Two-component system
b2945,719.060993301025,4.11519103413649,0.659707248282835,4.72208095673509,2.33443718228357e-06,3.69701130604804e-05,endA,DNA-specific endonuclease I,
b0905,5477.503823539279,4.09262796784261,0.6282189786473801,4.9228502687094196,8.529271270038471e-07,1.52765340783011e-05,ycaO,ribosomal protein S12 methylthiotransferase accessory factor YcaO,
b0775,662.785164608816,4.08556295520347,0.792774161152798,3.89210837890662,9.937683101169359e-05,0.0009373820831165699,bioB,biotin synthase,"eco00780  Biotin metabolism, eco01100  Metabolic pathways"
b1722,1562.9760458252,4.077554698084669,0.7009255925087479,4.3907009973334,1.1298581871145699e-05,0.00015109970155678898,ydiY,acid-inducible putative outer membrane protein YdiY,
b2208,675.009151363484,4.06791975053115,0.9261674100708801,3.31248942380338,0.0009246962222875401,0.00660905209706225,napF,ferredoxin-type protein,
b3986,180200.66624522101,4.038483329544009,0.4535210002716839,6.699763247399349,2.08757479808606e-11,1.3364920356257302e-09,rplL,50S ribosomal subunit protein L12,eco03010  Ribosome
b3365,6183.254860090279,4.0231876482402305,0.919255890446558,3.28873350680584,0.00100639264161716,0.00714206476091048,nirB,nitrite reductase catalytic subunit NirB,"eco00910  Nitrogen metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments"
b1073,783.515914892808,4.01685823382281,0.894735942261434,3.37178612295124,0.000746824197352033,0.005494361882230479,flgB,flagellar basal-body rod protein FlgB,eco02040  Flagellar assembly
b4203,9878.988608618341,3.9863805265421,0.33960682330099395,8.79364112156035,1.4478954528229698e-18,4.84079713060479e-16,rplI,50S ribosomal subunit protein L9,eco03010  Ribosome
b4202,11028.7033127897,3.9852457430907,0.5958435112536129,5.0101170638075,5.439693622679789e-07,1.04255019813016e-05,rpsR,30S ribosomal subunit protein S18,eco03010  Ribosome
b1656,8356.405328668421,3.98426643643019,0.655029381512053,4.555927597539809,5.21549004061697e-06,7.61815996709537e-05,sodB,superoxide dismutase (Fe),
b4108,4199.565734660429,3.97336040820239,0.521379161257583,5.70287542952533,1.17803075236755e-08,3.6923901394520397e-07,yjdM,conserved protein YjdM,
b3084,1383.7989914761902,3.95198202451826,0.6317367390012479,4.67280410062145,2.97115129696727e-06,4.65635117321589e-05,rlmG,23S rRNA m(2)G1835 methyltransferase,
b3231,39915.3250309432,3.94755028516696,0.44448766854824395,6.63134321542384,3.32645749449099e-11,1.88854916998554e-09,rplM,50S ribosomal subunit protein L13,eco03010  Ribosome
b3321,36610.8717851936,3.9431508022485797,0.557651784984954,5.2777573415783,1.30774479328788e-07,3.05039076201801e-06,rpsJ,30S ribosomal subunit protein S10,eco03010  Ribosome
b0776,161.474778673692,3.93491595805215,0.9505359997321479,3.08764313911223,0.00201750583771206,0.0126099216490696,bioF,8-amino-7-oxononanoate synthase,"eco00780  Biotin metabolism, eco01100  Metabolic pathways"
b4315,30226.6738076261,3.9184917828187,1.05032360303831,2.7786596191652406,0.00545836883580634,0.0301916026230538,fimI,putative fimbrial protein FimI,
b3637,14813.026310513898,3.90278080729367,0.320571930351016,9.05500617011357,1.36560066208926e-19,5.13636549028324e-17,rpmB,50S ribosomal subunit protein L28,eco03010  Ribosome
b3470,733.028318129381,3.89565324612599,0.580672322172474,4.986725103914821,6.14113459448046e-07,1.14065888856739e-05,tusA,sulfur transfer protein TusA,eco04122  Sulfur relay system
b3704,2581.78480945218,3.86668588419976,0.539394354355722,5.31463828097324,1.0686940101901901e-07,2.65760353443165e-06,rnpA,RNase P protein component,
b3984,69401.1983443741,3.86132229481522,0.38288321562556105,7.473094087293281,7.83307980602162e-14,9.06528351396886e-12,rplA,50S ribosomal subunit protein L1,eco03010  Ribosome
b2609,51207.0250451905,3.8492788731283905,0.597121847525216,4.77168752899813,1.8268877406474998e-06,2.9554329094668395e-05,rpsP,30S ribosomal subunit protein S16,eco03010  Ribosome
b1904,34.105546195717004,3.82992647946929,1.00376660434644,2.8193072644729797,0.0048127423837678795,0.0271189921961752,yecR,lipoprotein YecR,
b1634,6066.410012839449,3.82930493286084,0.38363548613372295,7.37498233381527,1.6436684615278303e-13,1.76635657169187e-11,dtpA,dipeptide/tripeptide:H(+) symporter DtpA,
b0797,2138.6931445852697,3.82720234001184,0.543997488535245,5.19708711822237,2.02435507811448e-07,4.464068112158619e-06,rhlE,ATP-dependent RNA helicase RhlE,eco03018  RNA degradation
b3795,3210.90995860143,3.80089084634161,0.422197717689383,6.63407386868507,3.26546275662251e-11,1.88854916998554e-09,yifK,putative transporter YifK,
b4155,1746.63301171034,3.79740849851308,0.44949052880257107,6.223509327249429,4.861559005443881e-10,2.2856923511532203e-08,epmA,EF-P-lysine lysyltransferase,
b0805,7095.558550291129,3.7932338976455404,0.9105472296396541,3.06764306860936,0.00215754153626844,0.0132835906596732,fiu,putative iron siderophore outer membrane transporter,
b3230,4263.87020476613,3.75054259460719,0.483652605118367,5.68702115009602,1.2927445159203302e-08,3.9692533146982297e-07,rpsI,30S ribosomal subunit protein S9,eco03010  Ribosome
b0961,454.915911803382,3.74334901389481,0.42255724427194796,6.49225412907431,8.45614565232805e-11,4.3869900461819105e-09,yccF,conserved inner membrane protein YccF,
b2497,902.646384253963,3.74000664843319,0.41177505050704205,6.654134690917441,2.84971616091882e-11,1.71495918564094e-09,uraA,hypothetical protein,
b0849,2021.32786361018,3.7084170031233104,0.452510069401725,5.98531875037428,2.15966497873494e-09,8.66457589468459e-08,grxA,reduced glutaredoxin 1,
b3985,200423.50254916103,3.66008616469235,0.477957004037503,5.5655344355694805,2.61350163669498e-08,7.41889285359925e-07,rplJ,50S ribosomal subunit protein L10,eco03010  Ribosome
b1476,3981.4167126872603,3.6571061660391098,0.38813675869303704,6.8457988235546505,7.605029080731231e-12,5.321751745097739e-10,fdnI,formate dehydrogenase N subunit gamma,eco02020  Two-component system
b3162,17570.9092322984,3.65655799010857,0.6719528483329511,3.9534886959691,7.70199042287399e-05,0.000775093283693238,deaD,ATP-dependent RNA helicase DeaD,eco03018  RNA degradation
b0113,12428.746957109299,3.65465570754242,0.7326116282253191,3.62355114943106,0.000290585706029769,0.00239554079299609,pdhR,DNA-binding transcriptional dual regulator PdhR,
b2508,18092.5010134035,3.6526263155689596,0.311394108643836,8.51855010077585,1.6156314475026997e-17,3.8541275355723705e-15,guaB,inosine 5'-monophosphate dehydrogenase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b3983,29956.6077695048,3.6381953001289395,0.405510856286878,6.505856154594669,7.725212217050991e-11,4.15092206448329e-09,rplK,50S ribosomal subunit protein L11,eco03010  Ribosome
b1207,17118.1938302219,3.62515072402267,0.40802923072307706,6.433732013195679,1.24508302554253e-10,6.24409137309579e-09,prs,ribose-phosphate diphosphokinase,"eco00030  Pentose phosphate pathway, eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism, eco01230  Biosynthesis of amino acids"
b3687,5457.74361871954,3.61153880318826,0.639330050695152,4.08480533700661,4.41137833317747e-05,0.00048613543093044807,ibpA,small heat shock protein IbpA,
b2185,13574.574038127701,3.57873744772575,0.44346985881565504,5.81491029539777,6.066640996242471e-09,2.1226189253132103e-07,rplY,50S ribosomal subunit protein L25,eco03010  Ribosome
b0405,3405.7903254429402,3.5734513230327005,0.514620057925068,5.0006821215029404,5.71278352063485e-07,1.0811173341880699e-05,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,
b1282,1441.04499003022,3.56690863408167,0.37417038508900896,6.860266703018321,6.87321055709779e-12,4.92416442054934e-10,yciH,putative translation factor,
b4200,21063.7811527798,3.5619313255682004,0.49858620537359,5.13839191288606,2.77099502927987e-07,5.83071611405814e-06,rpsF,30S ribosomal subunit protein S6,eco03010  Ribosome
b3302,13005.894291879,3.5497961096042596,0.381041032312029,6.69165757328799,2.2065672469972398e-11,1.3817638850138599e-09,rpmD,50S ribosomal subunit protein L30,eco03010  Ribosome
b3703,4530.8256741472205,3.5165523754167496,0.318012771033805,7.913368910424159,2.50515604042456e-15,3.42637023892614e-13,rpmH,50S ribosomal subunit protein L34,eco03010  Ribosome
b3471,570.163578718016,3.50806143963088,0.34988977781452096,7.1681472242393305,7.601952861130529e-13,7.1482112997318e-11,yhhQ,putative queuosine precursor transporter,
b3077,130.966319200213,3.50406063019009,0.5136994035976429,4.87456402061819,1.09049017492383e-06,1.9077238002010397e-05,ebgC,DUF386 domain-containing evolved beta-D-galactosidase subunit beta,"eco00052  Galactose metabolism, eco00511  Other glycan degradation, eco01100  Metabolic pathways"
b3184,4408.9911544543,3.48048919628555,0.492909357106451,5.032343493836019,4.84520118494597e-07,9.59158576677791e-06,yhbE,inner membrane protein YhbE,
b3314,106183.23018859599,3.4793399563020895,0.539771888065131,4.59331063940647,4.36268895782966e-06,6.53101048463157e-05,rpsC,30S ribosomal subunit protein S3,eco03010  Ribosome
b1074,393.066294265676,3.46351018867383,0.759804157704853,3.24229627291772,0.00118570688229873,0.00814564385579196,flgC,flagellar basal-body rod protein FlgC,eco02040  Flagellar assembly
b0884,15277.569317125,3.44687886667593,0.422659059488063,5.789249778863501,7.070149432118459e-09,2.41750905014142e-07,infA,translation initiation factor IF-1,
b3341,51080.35225531441,3.44607369115961,0.427886457946385,5.71664198698737,1.08649689362694e-08,3.4413359504457396e-07,rpsG,30S ribosomal subunit protein S7,eco03010  Ribosome
b1101,22828.558494023302,3.44580216239586,0.8098133667651429,3.02020473206782,0.0025260387211698604,0.0151764763540382,ptsG,glucose-specific PTS enzyme IIBC component,"eco00010  Glycolysis / Gluconeogenesis, eco00520  Amino sugar and nucleotide sugar metabolism, eco01100  Metabolic pathways, eco02060  Phosphotransferase system (PTS)"
b2296,27581.5069784628,3.4330266579127207,0.39317051472427206,6.18822258230373,6.08463734125892e-10,2.77404147876486e-08,ackA,acetate kinase,"eco00430  Taurine and hypotaurine metabolism, eco00620  Pyruvate metabolism, eco00640  Propanoate metabolism, eco00680  Methane metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments, eco01200  Carbon metabolism"
b0469,1450.7279963839499,3.4139500166772097,0.330341508175732,7.307437778582321,2.72284337660056e-13,2.82518473110037e-11,apt,adenine phosphoribosyltransferase,"eco00230  Purine metabolism, eco01100  Metabolic pathways"
b0169,115867.291833893,3.4137816735032405,0.49858263851466605,4.84128705462783,1.29000865119463e-06,2.19933840090823e-05,rpsB,30S ribosomal subunit protein S2,eco03010  Ribosome
b3668,519.615516999369,3.38514842371255,0.535087364994097,4.4574934482687,8.292357077224701e-06,0.00011393471436241599,uhpB,sensory histidine kinase UhpB,eco02020  Two-component system
b3862,726.6273782645011,3.3597201886577404,0.44572694357118703,5.29409366584739,1.19608119653203e-07,2.85031724433564e-06,yihG,putative acyltransferase YihG,
b4060,180.16895257688,3.33500464895483,0.7199673604226899,3.24320903600957,0.0011819146192461301,0.008138171829088341,yjcB,uncharacterized protein YjcB,
b2792,377.750318622335,3.32602132579463,0.38144429078175796,6.097931944472211,1.0744947051967e-09,4.6187922399097994e-08,yqcC,DUF446 domain-containing protein YqcC,
b2156,3955.5386373422207,3.31350715525181,0.31908281443666603,7.2504912536147,4.1526269583560897e-13,4.16508483923116e-11,lysP,lysine:H(+) symporter,
