,K-12,CFT073,UMN026,UTI89,536,Residual,Gene Name,Description
PROKKA_00122,b4743,,ECUMN_1639,,ECP_RS07105,-2.3017979090893865,ynaL,protein YnaL
PROKKA_02612,b3512,c4323,ECUMN_4012,UTI89_C4043,ECP_RS18400,-2.299760043744894,gadE,DNA-binding transcriptional activator GadE
PROKKA_00530,b4518,,ECUMN_1188,,ECP_RS05085,-2.2644332047796336,ymdF,conserved protein YmdF
PROKKA_03574,b2659,c3207,ECUMN_2983,UTI89_C3014,ECP_RS13415,-2.224985873276796,csiD,PF08943 family protein CsiD
PROKKA_03065,b3073,c3828,ECUMN_3556,UTI89_C3511,ECP_RS16140,-2.1299786094281563,patA,putrescine aminotransferase
PROKKA_02626,b3506,c4304,ECUMN_3997,UTI89_C4024,ECP_RS18325,-2.077139384611259,slp,starvation lipoprotein
PROKKA_01025,b0485,c0605,ECUMN_0524,UTI89_C0516,ECP_RS02740,-2.008244834938632,glsA,glutaminase 1
PROKKA_03997,,c2727,,UTI89_C2468,,-1.99349188130169,,Hypothetical protein
PROKKA_03179,b2979,c3709,ECUMN_3455,UTI89_C3394,ECP_RS15590,-1.9836907308812697,glcD,"glycolate dehydrogenase, putative FAD-linked subunit"
PROKKA_01589,b4568,c5459,ECUMN_5000,UTI89_C5146,ECP_RS23905,-1.9728440300463304,ytjA,DUF1328 domain-containing protein YtjA
PROKKA_00215,b1259,,ECUMN_1558,UTI89_C1528,ECP_RS06640,-1.9633819817492852,yciG,protein YciG
PROKKA_00740,b0790,c0873,ECUMN_0934,UTI89_C0791,ECP_RS04045,-1.9541719780415294,ybhP,endonuclease/exonuclease/phosphatase domain-containing protein YbhP
PROKKA_01494,b0063,c0075,ECUMN_0064,UTI89_C0068,ECP_RS00330,-1.9079223184935015,araB,ribulokinase
PROKKA_04379,b1901,c2314,ECUMN_2195,UTI89_C2101,ECP_RS09440,-1.8865579194337778,araF,arabinose ABC transporter periplasmic binding protein
PROKKA_01495,b0062,c0074,ECUMN_0063,UTI89_C0067,ECP_RS00325,-1.860356423048716,araA,L-arabinose isomerase
PROKKA_00052,b1465,c1897,ECUMN_1718,UTI89_C1683,ECP_RS07475,-1.8533506917566278,narV,nitrate reductase Z subunit gamma
PROKKA_04540,b1748,c2148,ECUMN_2037,UTI89_C1943,ECP_RS08645,-1.8298174159894587,astC,succinylornithine transaminase
PROKKA_03561,b2672,c3223,ECUMN_2996,UTI89_C3029,ECP_RS13480,-1.823975941099306,ygaM,DUF883 domain-containing protein YgaM
PROKKA_04501,b1783,c2188,ECUMN_2072,UTI89_C1979,ECP_RS08840,-1.8205684177739632,yeaG,protein kinase YeaG
PROKKA_04542,b1746,c2146,ECUMN_2035,UTI89_C1941,ECP_RS08635,-1.7945010903842908,astD,aldehyde dehydrogenase
PROKKA_04325,b1953,c2372,ECUMN_2245,UTI89_C2155,ECP_RS09675,-1.7900593095356645,yodD,stress-induced protein
