,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
10586_hypothetical_protein,,,,,PROKKA_00202,,,,,,,,,,,,,,,
53065_hypothetical_protein,,,,,,,,,,,,,PROKKA_03537,PROKKA_04257,,,,,,
2117_Hypothetical_protein,,c2180,,,,,,,,,,,,,,,,,,
76482_pgaA,ECP_RS05180,c1163,AS527_RS02460,,PROKKA_03993,PROKKA_04812,,PROKKA_00994,,,,PROKKA_03670,PROKKA_04695,PROKKA_01001,PROKKA_04518,PROKKA_00324,PROKKA_03894,b1024,,UTI89_C1087
5423_hypothetical_protein,,,,PROKKA_00045,,,,,,,,,,,,,,,ECUMN_0649,
76643_dadX,ECP_RS06260,c1639,AS527_RS06920,PROKKA_00741,PROKKA_04136,PROKKA_05018,PROKKA_00563,PROKKA_01192,PROKKA_00317,PROKKA_00369,PROKKA_03008,PROKKA_03469,PROKKA_05000,PROKKA_01164,PROKKA_04925,PROKKA_00598,PROKKA_03569,b1190,ECUMN_1479,UTI89_C1376
55193_hutG_1,,,,,,,,,,,,,,PROKKA_00472,,,,,,
1165_Putative_O-methyltra..,,c1203,,PROKKA_03315,,,,,PROKKA_00702,,,,,,PROKKA_04554,,,,ECUMN_3939,
5421_hypothetical_protein,,,,PROKKA_00043,,,,,,,,,,,,,,,ECUMN_0646,
77263_yeaV,,,,PROKKA_01454,PROKKA_00116,,PROKKA_01321,PROKKA_01784,,,,,,PROKKA_01980,,,,b1801,,
8315_hypothetical_protein,,,,PROKKA_03104,,,,,,,,,,PROKKA_04815,,,,,ECUMN_3728,
76701_oppF,ECP_RS06575,c1711,AS527_RS06605,PROKKA_00815,PROKKA_04202,PROKKA_05122,PROKKA_00634,PROKKA_01257,PROKKA_00241,PROKKA_00301,PROKKA_03074,PROKKA_03398,PROKKA_05071,PROKKA_01267,PROKKA_04993,PROKKA_00667,PROKKA_03502,b1247,ECUMN_1544,UTI89_C1445
4446_Hypothetical_protein,,c4543,,,,,,,,,,,,,,,,,,
9299_hsdS_1,,,,PROKKA_04159,,,,,,,,,,,,,,,,
59499_malP_8,,,,,,,,,,,,,,PROKKA_04640,,,,,,
61572_wcaJ_2,,,,,,,,,,,,,,,PROKKA_00855,,,,,
29848_Tn3_transposase_DDE_..,,,,,,,,PROKKA_04954,,,,,,,,,,,,
56444_patB_2,,,,,,,,,,,,,,PROKKA_01771,,,,,,
32550_mtlA_1,,,,,,,,,PROKKA_02791,PROKKA_02506,,,,,,,,,,
58819_mdtO_1,,,,,,,,,,,,,,PROKKA_03923,,,,,,
17387_mleN,ECP_RS23420,,,,,PROKKA_02702,,,,,,,,,,,PROKKA_05090,,,UTI89_C4978
15406_hypothetical_protein,,,,,,PROKKA_00619,,,,,,,,,,,,,,
77034_ydfA,,,AS527_RS10580,PROKKA_01212,PROKKA_04522,,PROKKA_01050,,,PROKKA_04723,PROKKA_03094,,,PROKKA_01709,PROKKA_00216,,,b1571,,
3075_Hypothetical_protein,,c3150,,,,,,,,,,,,,,,,,,
78396_hybA,ECP_RS15710,c3733,AS527_RS11235,PROKKA_02841,PROKKA_01410,PROKKA_01962,PROKKA_02744,PROKKA_03245,PROKKA_03449,PROKKA_03153,PROKKA_04811,PROKKA_01529,PROKKA_01965,PROKKA_05164,PROKKA_01834,PROKKA_02459,PROKKA_01537,b2996,ECUMN_3480,UTI89_C3418
77007_ynfO,,c1442,AS527_RS10705,,,,,,,,,,,,,,,b4533,ECUMN_0610,UTI89_C1494
1159_Putative_enzyme,,c1197,,,,,,,,,,,,,PROKKA_04548,,,,,
58147_pyrH_2,,,,,,,,,,,,,,PROKKA_03228,,,,,,
37990_Aspartate_racemase,,,,,,,,,,PROKKA_03203,,,,PROKKA_02253,,,,,,
8606_hypothetical_protein,,,,PROKKA_03406,,,,,,,,,,,,,,,,
72088_hypothetical_protein,,,,,,,,,,,,,,,,,PROKKA_01629,,,
65280_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04766,,,,,
75919_ybaV,ECP_RS02510,c0558,AS527_RS04115,PROKKA_04934,PROKKA_03417,PROKKA_04128,PROKKA_04896,PROKKA_00272,PROKKA_01282,PROKKA_01071,PROKKA_02203,PROKKA_04214,PROKKA_04161,PROKKA_00162,PROKKA_03966,PROKKA_04675,PROKKA_04455,b0442,ECUMN_0482,UTI89_C0470
75873_araJ,ECP_RS02275,c0504,AS527_RS03880,PROKKA_04885,PROKKA_03366,PROKKA_04080,PROKKA_04841,PROKKA_00221,PROKKA_01334,PROKKA_01122,,PROKKA_04262,PROKKA_04112,PROKKA_00110,PROKKA_03914,PROKKA_04628,PROKKA_04504,b0396,ECUMN_0433,UTI89_C0416
58094_Intracellular_multip..,,,,,,,,,,,,,,PROKKA_03167,,,,,,
3261_Hypothetical_protein,ECP_RS14100,c3340,AS527_RS18365,PROKKA_02550,,,,,PROKKA_03794,,PROKKA_05223,PROKKA_01801,PROKKA_01614,,PROKKA_01557,,PROKKA_01908,,ECUMN_3107,UTI89_C3145
5583_hypothetical_protein,,,,PROKKA_00218,,,,,,,,,,PROKKA_00481,,,,,ECUMN_0812,
39238_hypothetical_protein,,,,,,,,,,PROKKA_04523,,,,,,,,,,
75974_ybbP,ECP_RS02800,c0617,AS527_RS04425,PROKKA_04997,PROKKA_03475,PROKKA_04189,PROKKA_04954,PROKKA_00331,PROKKA_01219,PROKKA_01013,,PROKKA_04155,,PROKKA_00229,PROKKA_04025,,,b0496,ECUMN_0543,UTI89_C0531
75760_yagK,,,,,,,,,,,,,,,,,,b0277,,
77929_bepA,ECP_RS12735,c3011,AS527_RS10065,PROKKA_02241,PROKKA_00874,PROKKA_01276,PROKKA_02082,PROKKA_02522,PROKKA_04060,PROKKA_03726,PROKKA_04622,PROKKA_02140,PROKKA_01302,PROKKA_02876,PROKKA_01280,PROKKA_01921,PROKKA_02200,b2494,ECUMN_2807,UTI89_C2810
51465_iucB_2,,,,,,,,,,,,,PROKKA_01842,PROKKA_06190,,,,,,
28065_putative_permease_Yj..,,,,,,,,PROKKA_03059,,,,,,,,,,,,
77404_fliM,ECP_RS09635,c2362,AS527_RS16740,PROKKA_01604,PROKKA_00281,PROKKA_00678,PROKKA_01475,PROKKA_01947,PROKKA_04711,PROKKA_04334,PROKKA_03885,PROKKA_02731,PROKKA_00608,PROKKA_02144,PROKKA_00601,PROKKA_01316,,b1945,ECUMN_2237,UTI89_C2145
75335_EcoKI_restriction-mo..,ECP_RS23730,,,,,,,,,,,,,,,,PROKKA_05028,,,
61456_Type_IV_secretion_sy..,,,,,,,,,,,,,,,PROKKA_00733,,,,,
24543_Invasin,,,,,,,PROKKA_04739,,,,,,,PROKKA_03013,,,,,,
25902_hypothetical_protein,,,,,,,,PROKKA_00791,,,,,,,,,,,,
76023_ylcG,ECP_RS05880,c1558,AS527_RS03185,PROKKA_00665,,PROKKA_04945,,,PROKKA_00390,,PROKKA_02964,PROKKA_03538,PROKKA_04929,,PROKKA_04883,PROKKA_00526,PROKKA_03647,b4509,,UTI89_C1299
485_Hypothetical_protein,,c0507,,,,,,,,,,,,,,,,,,UTI89_C0419
504_Hypothetical_protein,,c0526,,,,,,,,,,,,,,,,,,UTI89_C0438
5289_Hypothetical_protein,,c5398,,,,,,,,,,,,,,,,,,
58965_tufA_1,,,,,,,,,,,,,,PROKKA_04080,,,,,,
21634_hypothetical_protein,,,,,,,PROKKA_01672,,,,,,,,,,,,,
78218_fucR,,c3375,AS527_RS18220,PROKKA_02577,PROKKA_01166,PROKKA_01628,PROKKA_02414,PROKKA_02841,PROKKA_03765,PROKKA_03416,PROKKA_05192,PROKKA_01771,PROKKA_01642,PROKKA_05503,PROKKA_01588,PROKKA_02217,PROKKA_01879,b2805,ECUMN_3134,UTI89_C3177
24368_dnaE_2,,,,,,,PROKKA_04554,,,,,,,,,,,,,
34838_lolD_3,,,,,,,,,,PROKKA_04849,,,,,,,,,,
72856_aidA-I_2,,,,,,,,,,,,,,,,,PROKKA_02435,,,
37974_hypothetical_protein,,,,,,,,,,PROKKA_03187,,,,,,,,,,
36296_htrE_1,,,,,,,,,,PROKKA_01409,,,,,PROKKA_03563,,,,,
78940_xylA,ECP_RS18695,c4385,AS527_RS00410,PROKKA_03456,PROKKA_01983,PROKKA_02566,PROKKA_03366,PROKKA_03662,,PROKKA_02538,PROKKA_00606,PROKKA_00924,,PROKKA_04445,PROKKA_02467,PROKKA_03065,PROKKA_00903,b3565,ECUMN_4076,UTI89_C4106
13116_hypothetical_protein,,,,,PROKKA_02895,,,,,,,,,,,,,,,
76009_fimZ,,,,PROKKA_05031,PROKKA_03515,,PROKKA_04995,PROKKA_00365,,,,,,PROKKA_00263,,,,b0535,ECUMN_0575,
77119_ydhP,ECP_RS08175,c2051,AS527_RS15885,PROKKA_01301,PROKKA_04608,PROKKA_00316,,PROKKA_01634,PROKKA_05015,PROKKA_04640,PROKKA_03489,PROKKA_03026,PROKKA_00312,PROKKA_01813,PROKKA_00303,PROKKA_01022,PROKKA_03150,b1657,ECUMN_1947,UTI89_C1848
57104_mdtP_3,,,,,,,,,,,,,,PROKKA_02469,,,,,,
85666_hypothetical_protein,ECP_RS24605,,AS527_RS26970,,,,,,,,,,,,,,,,,
89396_hypothetical_protein,,,AS527_RS13045,,,,,,,,,,,,,,,,,
15393_hypothetical_protein,,,,,,PROKKA_00606,,,,,,,,,,,,,,
76126_gltL,ECP_RS03370,c0736,AS527_RS05005,PROKKA_00147,PROKKA_03612,PROKKA_04328,PROKKA_05132,PROKKA_00539,PROKKA_01102,PROKKA_00890,PROKKA_02398,PROKKA_04030,PROKKA_04336,PROKKA_00380,PROKKA_04145,PROKKA_04854,PROKKA_04265,b0652,ECUMN_0746,UTI89_C0648
76654_dhaK,ECP_RS06335,c1658,AS527_RS06845,PROKKA_00758,PROKKA_04147,PROKKA_05034,PROKKA_00574,PROKKA_01203,PROKKA_00299,PROKKA_00353,PROKKA_03024,PROKKA_03453,PROKKA_05016,PROKKA_01181,PROKKA_04942,PROKKA_00614,PROKKA_03554,b1200,ECUMN_1496,UTI89_C1393
77082_malX,ECP_RS07985,c2013,AS527_RS16075,PROKKA_01262,PROKKA_04571,PROKKA_00280,PROKKA_01112,PROKKA_01595,PROKKA_05051,PROKKA_04676,PROKKA_03453,PROKKA_03062,PROKKA_00275,PROKKA_01769,PROKKA_00267,PROKKA_00985,PROKKA_03187,b1621,ECUMN_1911,UTI89_C1809
42781_hypothetical_protein,,,,,,,,,,,PROKKA_03109,,,,,,,,,
25082_hypothetical_protein,,,,,,,,PROKKA_05070,,,,,,PROKKA_06326,PROKKA_05124,,,,,
77238_msrB,ECP_RS08815,c2183,AS527_RS15255,PROKKA_01431,PROKKA_00093,PROKKA_00444,PROKKA_01298,PROKKA_01758,PROKKA_04882,PROKKA_04506,PROKKA_03622,PROKKA_02899,PROKKA_00441,PROKKA_01955,,PROKKA_01153,PROKKA_03006,b1778,ECUMN_2067,UTI89_C1974
79141_ilvE,ECP_RS20155,c4692,AS527_RS09010,PROKKA_03683,PROKKA_02203,PROKKA_02874,PROKKA_03624,PROKKA_03904,PROKKA_02595,PROKKA_02329,PROKKA_00824,PROKKA_00714,PROKKA_02804,,PROKKA_02675,PROKKA_03318,PROKKA_00682,b3770,ECUMN_4296,UTI89_C4326
27134_algC_1,,,,,,,,PROKKA_02077 PROKKA_02084,,,,,,,,,,,,
57620_hypothetical_protein,,,,,,,,,,,,,,PROKKA_06351,,,,,,
396_eaeH,ECP_RS01845,c0415,AS527_RS03445,PROKKA_04792,PROKKA_03271,PROKKA_03998,,PROKKA_00117,PROKKA_01419,PROKKA_01203,PROKKA_02072,PROKKA_04338,PROKKA_04034,,PROKKA_03834,PROKKA_04549,PROKKA_04588,,ECUMN_0337,UTI89_C0321
76773_ycjP,ECP_RS06940,c1784,AS527_RS22370,,PROKKA_04271,PROKKA_00074,PROKKA_00711,PROKKA_01331,PROKKA_00174,PROKKA_00156,PROKKA_03230,PROKKA_03332,PROKKA_00053,,PROKKA_05059,PROKKA_00734,PROKKA_03431,b1312,,UTI89_C1583
14535_cirA_2,,,,,PROKKA_04384,,,,,,,,,,,,,,,
94965_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C0453
59166_ptsG_5,,,,,,,,,,,,,,PROKKA_04296,,,,,,
55795_mfd_1,,,,,,,,,,,,,,PROKKA_01097,,,,,,
78722_tusB,ECP_RS17505,c4117,AS527_RS21100,PROKKA_03182,PROKKA_01744,PROKKA_02325,PROKKA_03104,PROKKA_03423,PROKKA_03077,PROKKA_02792,PROKKA_00358,PROKKA_01168,PROKKA_02330,PROKKA_04722,PROKKA_02214,PROKKA_02824,PROKKA_01149,b3343,ECUMN_3803,UTI89_C3845
80897_hypothetical_protein..,,,,,,,,,,,,,,,,,,,ECUMN_0997,
