"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"1","GO:0004368",4,4,0.42,"0.00012","glycerol-3-phosphate dehydrogenase (quinone) activity","glpA,glpB,glpC,glpD","glpA,glpB,glpC,glpD"
"2","GO:0009055",40,13,4.2,"0.00012","electron transfer activity","aidB,appB,caiA,cbrA,cydB,cyoA,cyoB,cyoC,cyoD,dld,dmsB,fadE,fdnH,fdnI,fdoH,fdx,fixB,frdA,frdB,glpD,hyaA,hyaB,hycB,hydN,kefF,napC,narI,norV,nrdH,nrfB,sdhA,sdhB,sdhC,sdhD,torC,torY,ydiO,ydiR,ygfS,ysaA","aidB,caiA,dmsB,fdnH,fdnI,fixB,frdA,frdB,glpD,hycB,napC,narI,nrfB"
"3","GO:0003984",5,4,0.53,"0.00054","acetolactate synthase activity","ilvB,ilvH,ilvI,ilvM,ilvN","ilvH,ilvI,ilvM,ilvN"
"4","GO:0016151",13,6,1.37,"0.00114","nickel cation binding","gloA,hyaB,hybC,hybF,hypA,hypB,nikA,nikB,nikC,nikR,slyD,ybeY,yfaU","hybC,hybF,hypA,hypB,nikA,nikB"
"5","GO:0019154",3,3,0.32,"0.00114","glycolate dehydrogenase activity","glcD,glcE,glcF","glcD,glcE,glcF"
"6","GO:0090585",3,3,0.32,"0.00114","protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"7","GO:0042279",3,3,0.32,"0.00114","nitrite reductase (cytochrome, ammonia-forming) activity","nrfA,nrfB,nrfC","nrfA,nrfB,nrfC"
"8","GO:0050660",39,11,4.1,"0.00155","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fpr,frdA,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhD,ydiO,ydiR","aidB,bluF,caiA,fixB,frdA,glpA,glpD,hcr,nirB,poxB,xdhD"
"9","GO:0051536",59,14,6.2,"0.00231","iron-sulfur cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsB,epmB,erpA,fadH,fdhF,fdnH,fdx,fnr,frdB,glpC,grxD,hcr,hemN,hyaA,hybA,hybO,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,ispH,lipA,miaB,nadA,napA,nfuA,nirB,nrdG,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,pflA,phnJ,preA,preT,prpD,rimO,rlmD,rlmN,sdhB,soxR,sufA,sufB,thiH,ttcA,yggW","dmsB,fdhF,fdnH,frdB,glpC,hcr,hybA,hybO,hycB,hypD,ilvD,napA,nirB,nrfC"
"10","GO:0016661",14,8,1.47,"0.00313","oxidoreductase activity, acting on other nitrogenous compounds as donors","azoR,garK,glxK,hcp,napA,narI,nemA,nirB,nirD,norV,nrfA,nrfB,nrfC,torC","hcp,napA,narI,nirB,nirD,nrfA,nrfB,nrfC"
"11","GO:0033748",4,3,0.42,"0.00422","hydrogenase (acceptor) activity","hybA,hybB,hybC,phoA","hybA,hybB,hybC"
"12","GO:0008509",75,15,7.88,"0.00920","anion transmembrane transporter activity","actP,adiC,alaE,ansP,argO,artM,artP,brnQ,clcB,crcB,cycA,cysZ,dauA,dgoT,dsdX,eamB,exuT,focA,gabP,gadC,glnP,gltK,gltS,gntU,gsiB,gsiC,gsiD,kdgT,leuE,livF,livG,livH,livM,lysO,lysP,metN,nanC,nirC,panF,potE,proP,proV,proY,pstA,pstB,pstC,pstS,putP,rhtB,satP,shiA,sstT,tcyJ,tcyL,tcyN,tcyP,tdcC,uacT,ugpA,ugpC,ugpE,uhpC,uhpT,ybaT,yddG,ydgI,yeeO,yfdC,ygaH,ygaZ,ygjI,yifK,yijE,yjeH,yjeM","gabP,gltK,gntU,livG,livH,nirC,potE,proV,tcyJ,tdcC,uacT,ugpE,uhpT,ybaT,yjeM"
"13","GO:0015293",24,7,2.52,"0.00927","symporter activity","ampG,codB,cysZ,dtpA,dtpB,fucP,gltS,gntU,kdgT,kgtP,mntH,nupC,panF,potE,proP,putP,rhaT,satP,sstT,tdcC,tnaB,uraA,yaaU,ybbW","dtpA,gntU,kgtP,potE,tdcC,uraA,ybbW"
