"","GO.ID","Annotated","Significant","Expected","elimFisher","Term","genesInTerm","DEGenesInTerm"
"2","GO:0051539",50,12,3.51,"0.00011","4 iron, 4 sulfur cluster binding","acnA,acnB,bioB,cbrA,cysI,dinG,dmsA,dmsB,epmB,erpA,fadH,fdhF,fdnG,fdnH,fnr,frdB,hemN,hyaA,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,lipA,miaB,nadA,napA,narG,narH,nfuA,nrdG,nrfC,nth,nuoB,nuoF,nuoG,nuoI,pflA,phnJ,rimO,rlmD,rlmN,sdhB,sufA,sufB,thiH,ttcA,yggW","dmsA,fdhF,fdnG,fdnH,frdB,hycB,hycF,napA,narG,narH,nrdG,nrfC"
"3","GO:0000104",6,4,0.42,"0.00031","succinate dehydrogenase activity","frdA,frdB,frdC,frdD,sdhA,sdhC","frdA,frdB,frdC,frdD"
"4","GO:0015147",3,3,0.21,"0.00034","L-arabinose transmembrane transporter activity","araE,araG,araH","araE,araG,araH"
"5","GO:0090585",3,3,0.21,"0.00034","protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity","ulaA,ulaB,ulaC","ulaA,ulaB,ulaC"
"6","GO:0042279",3,3,0.21,"0.00034","nitrite reductase (cytochrome, ammonia-forming) activity","nrfA,nrfB,nrfC","nrfA,nrfB,nrfC"
"7","GO:0008940",7,4,0.49,"0.00069","nitrate reductase activity","napA,narG,narH,narI,narV,narY,narZ","napA,narG,narH,narI"
"8","GO:0033748",4,3,0.28,"0.00129","hydrogenase (acceptor) activity","hybA,hybB,hybC,phoA","hybA,hybB,hybC"
"9","GO:0016841",8,4,0.56,"0.00131","ammonia-lyase activity","aspA,dsdA,ilvA,sdaA,sdaB,tdcB,tdcG,ygeX","aspA,tdcB,tdcG,ygeX"
"10","GO:0008942",2,2,0.14,"0.00490","nitrite reductase [NAD(P)H] activity","nirB,nirD","nirB,nirD"
"11","GO:0050660",42,8,2.95,"0.00747","flavin adenine dinucleotide binding","ahpF,aidB,bluF,caiA,cbrA,cysJ,dld,fadE,fadH,fixB,fixC,fpr,frdA,gcl,glpA,glpD,gor,hcr,hmp,lhgO,lpd,mdaB,metF,mnmC,mnmG,mqo,murB,nadB,ndh,nirB,norW,poxB,putA,sdhA,solA,sthA,trxB,xdhA,xdhB,xdhD,ydiO,ydiR","fixB,fixC,frdA,gcl,glpA,nadB,nirB,norW"
"12","GO:0051536",70,17,4.92,"0.00822","iron-sulfur cluster binding","acnA,acnB,bfd,bioB,cbrA,cysI,dinG,dmsA,dmsB,epmB,erpA,fadH,fdhF,fdnG,fdnH,fdx,fhuF,fixC,fnr,frdB,glpC,grxD,hcr,hemN,hyaA,hybA,hybO,hycB,hycF,hypD,ilvD,iscA,iscU,ispG,ispH,lipA,miaB,nadA,napA,narG,narH,narY,narZ,nfuA,nirB,nrdG,nrfC,nth,nuoB,nuoE,nuoF,nuoG,nuoI,pflA,phnJ,preA,preT,prpD,rimO,rlmD,rlmN,sdhB,soxR,sufA,sufB,thiH,ttcA,ydeP,yfaE,yggW","dmsA,fdhF,fdnG,fdnH,fixC,frdB,hybA,hybO,hycB,hycF,napA,narG,narH,nirB,nrdG,nrfC,prpD"
