,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,-0.06124152286716859,0.6343457289552887,-0.0,1.0,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,0.6851963963075456,0.2359724226402376,0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,1.0626098181710415,0.390363664805526,0.1603884372850964,0.8725750974190449,1.0,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,-2.013187106303544,0.4098297410179407,-2.4722146903906377,0.013427884902235985,0.12666186168015578,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,0.4520084436215434,0.4242741478678101,0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,-0.004291877939253983,0.428774692809606,-0.0,1.0,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,-0.18755436601203385,0.40109705234764426,-0.0,1.0,1.0,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,-0.15155922085252027,0.41158568875485774,-0.0,1.0,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,-0.07119498309452227,0.2426044936918411,-0.0,1.0,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,-0.35420553831408913,0.6715695782753615,-0.0,1.0,1.0,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,2.9609946730268817,0.6042281971617607,3.2454537577661164,0.0011726360775079858,0.016097548876769202,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,-0.4570462392634389,0.43698440325124577,-0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,4.21019061481596,0.4027111539622991,7.971446986830889,1.5682716625430955e-15,2.1996714710278366e-13,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,1.288678395236557,0.3390607839541769,0.8514060277627715,0.3945438445010185,1.0,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,0.33158488955494425,0.3827448387920247,0.0,1.0,1.0,K-12,b2922,yggE,uncharacterized protein YggE
78548_yhbT,3014.3311705613173,0.20610374286932814,0.3173452041856337,0.0,1.0,1.0,K-12,b3157,yhbT,SCP2 domain-containing protein YhbT
79357_yjaB,274.63678670371604,-0.7437460625095716,0.7037572199304809,-0.0,1.0,1.0,K-12,b4012,yjaB,putative N-acetyltransferase YjaB
78984_gpsA,5310.680593105596,0.06565832643974652,0.3821220483650544,0.0,1.0,1.0,K-12,b3608,gpsA,glycerol-3-phosphate dehydrogenase
76673_chaA,1669.0642364571818,-0.4334508875117912,0.6552476074333494,-0.0,1.0,1.0,K-12,b1216,chaA,Na(+)/K(+):H(+) antiporter ChaA
77324_ruvB,1741.9530058971827,-0.3648500926440632,0.2934701408733155,-0.0,1.0,1.0,K-12,b1860,ruvB,Holliday junction branch migration complex subunit RuvB
75602_ppdD,20.791907461685263,-0.3182768876798001,0.8120175602627632,-0.0,1.0,1.0,K-12,b0108,ppdD,prepilin peptidase-dependent protein
77343_flhE,61.96060443626818,-0.9173383165581044,0.5453964588293436,-0.0,1.0,1.0,K-12,b1878,flhE,flagellar protein
3665_Hypothetical_oxidore..,133.5643885134952,-0.5172824149106421,0.8351435212003234,-0.0,1.0,1.0,CFT073,c3751,,Hypothetical oxidoreductase ydfI
79118_atpI,4659.211634648992,1.326315156628206,0.4015146352587644,0.8127104916559401,0.4163840644995031,1.0,K-12,b3739,atpI,ATP synthase accessory factor
395_2-5-diketo-D-gluconi..,1335.4859037508475,-1.4872660288331463,0.4675798991331654,-1.0421021727761959,0.29736431133656605,1.0,CFT073,c0414,,"2,5-diketo-D-gluconic acid reductase A"
78928_yiaG,3856.901159214069,-2.2540584176777982,0.92320529437682,-1.358374378175885,0.17434492009094468,0.9867310740585749,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
79401_aphA,865.1635777206031,-0.26653258025991106,0.335419931171747,-0.0,1.0,1.0,K-12,b4055,aphA,acid phosphatase/phosphotransferase
76090_citX,142.51007694607304,-0.1272287222063063,0.7923922736278541,-0.0,1.0,1.0,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
77691_nudI,774.2138551438915,-1.4318489642181285,0.5779316129423909,-0.7472319467341126,0.4549235632378426,1.0,K-12,b2251,nudI,pyrimidine deoxynucleotide diphosphatase NudI
75621_yadG,3580.914348293305,-0.604046788659835,0.2436495601723912,-0.0,1.0,1.0,K-12,b0127,yadG,putative ABC transporter ATP-binding protein YadG
77688_yfaX,43.599592842464105,-0.9879734399681384,0.4876645493642653,-0.0,1.0,1.0,K-12,b2248,yfaX,putative DNA-binding transcriptional regulator YfaX
79715_deoA,4865.165346049903,-0.9861551151562457,0.5573710147437074,-0.0,1.0,1.0,K-12,b4382,deoA,thymidine phosphorylase
79601_holC,2602.28468997596,-0.2605624232824971,0.32227799053701256,-0.0,1.0,1.0,K-12,b4259,holC,DNA polymerase III subunit chi
4663_Putative_conserved_p..,862.6996315253308,-0.21068758353242065,0.38404761473488574,-0.0,1.0,1.0,CFT073,c4761,,Putative conserved protein
79673_yjiM,196.495498578794,0.17930407058163494,0.6565673682271843,0.0,1.0,1.0,K-12,b4335,yjiM,putative dehydratase subunit
77971_hcaT,346.3419339200102,0.6448096905040498,0.3266417433984733,0.0,1.0,1.0,K-12,b2536,hcaT,putative 3-phenylpropionate transporter
77172_btuC,1157.4100445297847,-0.12377449359716698,0.42105458157545744,-0.0,1.0,1.0,K-12,b1711,btuC,vitamin B12 ABC transporter membrane subunit
75626_rpnC,1117.9245268199477,-0.7461395977170782,0.5970945601160442,-0.0,1.0,1.0,K-12,b0132,rpnC,recombination-promoting nuclease RpnC
75585_murG,3371.071365544081,-0.1763155303414729,0.2481060054401107,-0.0,1.0,1.0,K-12,b0090,murG,N-acetylglucosaminyl transferase
78708_gspH,102.7691576404146,-0.3140659962423253,0.5383598459664861,-0.0,1.0,1.0,K-12,b3329,gspH,Type II secretion system protein GspH
