,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Function,Pathways
b0618,350.92069445923795,8.75840409810539,0.752148816737963,10.314985446302,6.02904422944822e-25,4.53534852160243e-22,citC,citrate lyase synthetase,eco02020  Two-component system
b2678,2389.50357950091,8.40511689099741,0.985402154176307,7.51481703141528,5.69905823964589e-14,7.145194267956039e-12,proW,glycine betaine ABC transporter membrane subunit ProW,eco02010  ABC transporters
b0616,702.041869189268,8.21210899136547,0.689460486695199,10.460510980020599,1.31146486512309e-25,1.31539925971846e-22,citE,citrate lyase beta subunit,eco02020  Two-component system
b0613,253.913746281996,8.08050202746208,0.852496966323539,8.30560378179093,9.93131221892709e-17,2.29871680513474e-14,citG,triphosphoribosyl-dephospho-CoA synthase,eco02020  Two-component system
b0615,885.223842534313,8.06318002027622,0.7174793990045559,9.84443599366868,7.24444053279785e-23,3.6330869271981197e-20,citF,citrate lyase alpha subunit,eco02020  Two-component system
b2677,13141.2011159702,8.050458994652459,0.924178244996858,7.62889521888327,2.3677397887767003e-14,3.23842228383141e-12,proV,glycine betaine ABC transporter ATP binding subunit ProV,eco02010  ABC transporters
b0614,145.070809408147,7.4167134118583204,0.745522924238641,8.606996784721732,7.49995497254822e-18,2.05157859203614e-15,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,eco02020  Two-component system
b0617,161.64465290471,7.3922587681713,0.79886257993709,8.00170007797171,1.22712990490677e-15,2.46162258924299e-13,citD,citrate lyase acyl carrier protein,eco02020  Two-component system
b1796,776.3021026632381,7.29169979344287,0.88148719934008,7.13759632375049,9.49770645540752e-13,8.93081210135038e-11,yoaG,DUF1869 domain-containing protein YoaG,
b2870,1915.80277913849,7.011605899935679,0.8415876591794971,7.14317259095348,9.12009940343725e-13,8.85238035643313e-11,ygeW,putative carbamoyltransferase YgeW,
b2679,5406.97389143131,6.9976947421109905,0.9643792531889459,6.2192282986991,4.99605934356257e-10,3.0862837236212793e-08,proX,glycine betaine ABC transporter periplasmic binding protein ProX,eco02010  ABC transporters
b2725,191.388980121526,6.84221987523033,0.49089358359283203,11.901194210915001,1.1666557269389598e-32,3.51046708235932e-29,hycA,regulator of the transcriptional regulator FhlA,
b3366,76.91571127293899,6.4629953906229805,0.6546324166980519,8.34513423300694,7.11330432783712e-17,1.78366106020516e-14,nirD,nitrite reductase subunit NirD,"eco00910  Nitrogen metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments"
b2872,1984.0450341331,6.30510914295277,0.664979533675928,7.9778532635835395,1.4890025920539901e-15,2.80025549968153e-13,ygeY,putative peptidase YgeY,
