,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
76065_fepD,357.1856065774189,2.256690323381977,0.414536475252636,3.0315554804100104,0.0024329720458069128,0.03018756853758885,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
79425_fdhF,710.9262323078894,3.4427073882274484,0.4006309373405153,6.0971511697092815,1.0797540177061507e-09,5.198935016597079e-08,K-12,b4079,fdhF,formate dehydrogenase H
76090_citX,142.51007694607304,7.375085013614032,0.7453650180327286,8.552970503552805,1.1996056089403571e-17,2.2764280555538783e-15,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
78708_gspH,102.7691576404146,2.7845407738527537,0.5393659247212655,3.3085901278894685,0.0009376699897878739,0.012872014413002895,K-12,b3329,gspH,Type II secretion system protein GspH
76648_ycgR,577.8942310336545,-5.721362226142838,1.2137815630433444,-3.8897956353075993,0.00010032867688195574,0.0017982107626857348,K-12,b1194,ycgR,flagellar brake protein YcgR
76524_flgM,1334.9438537876981,-4.352463850717743,0.8163654321581124,-4.106572520905616,4.015734213759217e-05,0.000814764690162719,K-12,b1071,flgM,anti-sigma factor for FliA (sigma(28))
79539_ulaA,1075.6332334086273,4.789344968043535,0.5800767450194888,6.532489020769527,6.468554037440385e-11,4.012991408612055e-09,K-12,b4193,ulaA,L-ascorbate specific PTS enzyme IIC component
78214_fucP,329.6259143610088,4.299928845577578,0.6949015039558583,4.748772058762443,2.046554453497601e-06,5.548054342002739e-05,K-12,b2801,fucP,L-fucose:H(+) symporter
79315_argC,1313.5305912542892,4.1518342579227205,0.8121380957305601,3.8809092622203414,0.00010406666477429524,0.0018446102228674528,K-12,b3958,argC,N-acetylglutamylphosphate reductase
76070_entB,4594.7268749555715,4.094364422401721,0.4991952171041916,6.198706070046077,5.692923376142007e-10,3.0107165264646077e-08,K-12,b0595,entB,enterobactin synthase component B
77885_eutH,110.74900716364428,2.828137373722502,0.6094678499865445,2.9995632645148764,0.002703669691141444,0.032423934660305936,K-12,b2452,eutH,putative inner membrane protein
76187_sdhB,7169.672246408464,-3.747915285828056,0.6029796988308782,-4.557226870417046,5.183342777016557e-06,0.0001306364359269954,K-12,b0724,sdhB,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein"
77205_astB,1224.7972022134156,-4.030835459951309,0.980475571192073,-3.091189162690087,0.001993565874030158,0.02531985633709169,K-12,b1745,astB,N-succinylarginine dihydrolase
77855_cysA,1929.914214436344,-4.289521225083007,0.6223279936311812,-5.285832002975138,1.2513469552994584e-07,4.119229875302095e-06,K-12,b2422,cysA,sulfate/thiosulfate ABC transporter ATP binding subunit
77612_fruB,1814.3421706630265,3.699594866489904,0.7740220973834879,3.4877490909053392,0.0004871049586778671,0.007447396192866348,K-12,b2169,fruB,fructose-specific PTS multiphosphoryl transfer protein FruB
77120_ynhF,101.08477081548979,2.778162674057747,0.4962459847179884,3.5832283359799053,0.0003393736979447955,0.005474097747849551,K-12,b4602,ynhF,stress response membrane protein YnhF
76088_citT,651.6437048529219,6.217161068447544,0.7148697653657531,7.2980580816398835,2.9195061529979037e-13,2.545493743127361e-11,K-12,b0612,citT,citrate:succinate antiporter
78498_yqjF,1221.4695513624265,4.581882836395297,1.0592175195964582,3.381631034350647,0.0007205685728171014,0.01051834486836185,K-12,b3101,yqjF,DoxX family protein
77814_ypdI,40.558018815988476,4.028567292120268,0.4892231821170518,6.190563740284189,5.994941902704962e-10,3.1193036416332594e-08,K-12,b2376,ypdI,colanic acid synthesis putative lipoprotein YpdI
