,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genome,Gene_ID,Name,Description
77094_rsxE,2313.1929294380834,1.3109998042645143,0.6346518828411964,0.490032114727584,0.6241111738377996,1.0,K-12,b1632,rsxE,SoxR [2Fe-2S] reducing system protein RsxE
78577_ispB,3214.863421205014,0.03794472861296395,0.2369566373904199,0.0,1.0,1.0,K-12,b3187,ispB,all-trans-octaprenyl-diphosphate synthase
77329_yebC,14889.531973649262,0.29015066955966384,0.3904610408723873,0.0,1.0,1.0,K-12,b1864,yebC,putative transcriptional regulator YebC
76065_fepD,357.1856065774189,2.9315372849774355,0.4132788149096168,4.67369053359258,2.9583499566572875e-06,0.00010234689634477012,K-12,b0590,fepD,ferric enterobactin ABC transporter membrane subunit FebD
77731_alaA,5933.112897862048,0.1988657662728752,0.4245610316996497,0.0,1.0,1.0,K-12,b2290,alaA,glutamate--pyruvate aminotransferase AlaA
78045_yfjD,1594.3932974025693,0.6294399698517211,0.4296916644949589,0.0,1.0,1.0,K-12,b4461,yfjD,putative inner membrane protein
79425_fdhF,710.9262323078894,0.5176784649808781,0.4095770311487121,0.0,1.0,1.0,K-12,b4079,fdhF,formate dehydrogenase H
77188_ydjM,414.1305656995262,1.400548257812711,0.41501094242010256,0.9651510764437836,0.3344691472740928,1.0,K-12,b1728,ydjM,putative inner membrane protein regulated by LexA
77951_rodZ,5549.043493003622,0.5832161552610903,0.24310322605913,0.0,1.0,1.0,K-12,b2516,rodZ,transmembrane component of cytoskeleton
4393_Putative_transcripti..,265.1885895705605,-2.0419650668579097,0.7041115774390879,-1.4798294762424198,0.1389187601882896,0.7310798048408194,CFT073,c4488,,Putative transcriptional Antiterminator
78042_rpsP,51644.71678638696,0.9174474481096696,0.6042145429550738,0.0,1.0,1.0,K-12,b2609,rpsP,30S ribosomal subunit protein S16
77472_hisA,937.2286288521145,0.225416899090196,0.4393976022386543,0.0,1.0,1.0,K-12,b2024,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
77933_upp,7253.338641180296,0.2989025010080792,0.4023251289436689,0.0,1.0,1.0,K-12,b2498,upp,uracil phosphoribosyltransferase
77757_accD,5191.056154097753,0.281183526618234,0.33933485106886124,0.0,1.0,1.0,K-12,b2316,accD,acetyl-CoA carboxyltransferase subunit beta
78326_yggE,6116.647604324817,-2.3705377202237217,0.3841196299211272,-3.567997085973295,0.0003597205040014536,0.006107675504782574,K-12,b2922,yggE,uncharacterized protein YggE
78548_yhbT,3014.3311705613173,-0.3726748467813176,0.3186149175688061,-0.0,1.0,1.0,K-12,b3157,yhbT,SCP2 domain-containing protein YhbT
79357_yjaB,274.63678670371604,-0.392224774228723,0.7122946468764184,-0.0,1.0,1.0,K-12,b4012,yjaB,putative N-acetyltransferase YjaB
78984_gpsA,5310.680593105596,-0.3589491905885562,0.3826754765184667,-0.0,1.0,1.0,K-12,b3608,gpsA,glycerol-3-phosphate dehydrogenase
76673_chaA,1669.0642364571818,2.217286854124235,0.6555311936882687,1.8569472602444963,0.0633186578310191,0.4058879092750383,K-12,b1216,chaA,Na(+)/K(+):H(+) antiporter ChaA
77324_ruvB,1741.9530058971827,0.5196952475919755,0.2951523033415516,0.0,1.0,1.0,K-12,b1860,ruvB,Holliday junction branch migration complex subunit RuvB
75602_ppdD,20.791907461685263,0.1429823318043295,0.8775146641023498,0.0,1.0,1.0,K-12,b0108,ppdD,prepilin peptidase-dependent protein
77343_flhE,61.96060443626818,-0.17286171627599733,0.5944274884709462,-0.0,1.0,1.0,K-12,b1878,flhE,flagellar protein
3665_Hypothetical_oxidore..,133.5643885134952,0.5560824672550334,0.8487957904930091,0.0,1.0,1.0,CFT073,c3751,,Hypothetical oxidoreductase ydfI
79118_atpI,4659.211634648992,1.320613396077826,0.4015859966295301,0.7983679679289147,0.4246569861064226,1.0,K-12,b3739,atpI,ATP synthase accessory factor
395_2-5-diketo-D-gluconi..,1335.4859037508475,-1.6444992805008212,0.4742892355337205,-1.3588739364399915,0.17418653915917626,0.8312511469341753,CFT073,c0414,,"2,5-diketo-D-gluconic acid reductase A"
78928_yiaG,3856.901159214069,-2.4976660122348404,0.9260400672184924,-1.6172799269186235,0.10581787020081876,0.6001386994341543,K-12,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG
79401_aphA,865.1635777206031,-0.5987707681903893,0.3425399555453544,-0.0,1.0,1.0,K-12,b4055,aphA,acid phosphatase/phosphotransferase
76090_citX,142.51007694607304,1.5188991833885581,0.8851193409723617,0.5862477062341821,0.5577090670726992,1.0,K-12,b0614,citX,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
77691_nudI,774.2138551438915,-1.0708955643210512,0.5847233623353773,-0.1212463343997326,0.9034959252548191,1.0,K-12,b2251,nudI,pyrimidine deoxynucleotide diphosphatase NudI
75621_yadG,3580.914348293305,0.8943375189239355,0.2444806094575312,0.0,1.0,1.0,K-12,b0127,yadG,putative ABC transporter ATP-binding protein YadG
77688_yfaX,43.599592842464105,-1.1658888203925208,0.6373897470060642,-0.26026276885019073,0.7946610893716529,1.0,K-12,b2248,yfaX,putative DNA-binding transcriptional regulator YfaX
79715_deoA,4865.165346049903,-1.8915846301569867,0.5592400003547555,-1.5942790744428292,0.11087354239063757,0.6166862892279256,K-12,b4382,deoA,thymidine phosphorylase
79601_holC,2602.28468997596,0.050993047979814,0.32367948071716474,0.0,1.0,1.0,K-12,b4259,holC,DNA polymerase III subunit chi
4663_Putative_conserved_p..,862.6996315253308,-0.2415727089472676,0.3875119170212772,-0.0,1.0,1.0,CFT073,c4761,,Putative conserved protein
79673_yjiM,196.495498578794,-1.1418139140726342,0.6743202908614883,-0.21030646117953486,0.8334284927631781,1.0,K-12,b4335,yjiM,putative dehydratase subunit
77971_hcaT,346.3419339200102,0.9058119741827976,0.33061979389852725,0.0,1.0,1.0,K-12,b2536,hcaT,putative 3-phenylpropionate transporter
