,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name,Function,Pathways
b3556,17064.480936283202,4.27214880526666,0.730106774412222,4.48174009603038,7.40368762791073e-06,0.000271679220394919,cspA,cold shock protein CspA,
b2968,310.887022796239,3.59645472698408,0.488816876853877,5.3117125245253,1.0859982343374601e-07,6.16560129645549e-06,yghD,putative type II secretion system M-type protein,eco03070  Bacterial secretion system
b3795,3210.90995860143,3.53601073161781,0.42434471706879995,5.9762985836975595,2.2826446433225098e-09,1.96242220907355e-07,yifK,putative transporter YifK,
b1055,3267.2561274924797,3.50267300628022,0.456801220197143,5.47869159631433,4.2848244705550896e-08,2.86511929597784e-06,yceA,UPF0176 protein YceA,
b2971,1883.4073458689102,3.20644765209079,0.6721214817854669,3.28281078924815,0.0010277762428493901,0.0214762410745404,yghG,lipoprotein YghG,
b2250,659.931250067633,2.8509354086953502,0.587895616795548,3.1484082476822595,0.00164162249501609,0.0322852424019832,yfaZ,putative porin YfaZ,
b2365,803.055470227948,2.6663859095112796,0.533130457558874,3.12566255760629,0.0017740499015464302,0.034000739832823,dsdX,D-serine transporter,
b3936,2994.21843856612,2.61150204180117,0.461966978315359,3.48834898909396,0.00048601327002826904,0.0117777723087508,rpmE,50S ribosomal subunit protein L31,eco03010  Ribosome
b3437,2318.9412514259398,2.6094508633667597,0.464948597956009,3.46156730107839,0.000537039826023219,0.0127240380827076,gntK,"D-gluconate kinase, thermostable","eco00030  Pentose phosphate pathway, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism"
b0605,115218.470024129,2.60843889821202,0.50087238590316,3.2112748545954,0.00132147475647809,0.026867010420558002,ahpC,"alkyl hydroperoxide reductase, AhpC component",
b2562,1313.98839937213,2.58710729099106,0.496667659625167,3.19551164694082,0.00139583149104701,0.0281883017218821,yfhL,putative 4Fe-4S cluster-containing protein YfhL,
b0434,2301.38931135424,2.57235418494879,0.22830444343679202,6.887094098035389,5.6943558774811396e-12,8.1591984930194e-10,yajG,putative lipoprotein YajG,
b1047,786.431427632286,2.53332599813485,0.38791102365996294,3.95277758200277,7.724923517361641e-05,0.0023479085720950698,opgC,protein required for succinyl modification of osmoregulated periplasmic glucans,
b2533,8918.94113531817,2.52185505061707,0.336228245225498,4.52625581648088,6.00378976578211e-06,0.00022581754256547997,suhB,inositol-phosphate phosphatase,"eco00521  Streptomycin biosynthesis, eco00562  Inositol phosphate metabolism, eco01100  Metabolic pathways, eco01130  Biosynthesis of antibiotics"
b2792,377.750318622335,2.4200952333049397,0.391023806635824,3.6317359946002696,0.00028152104709290696,0.0073660593974135295,yqcC,DUF446 domain-containing protein YqcC,
b0238,3883.9286496992895,2.3554152894184197,0.326207411906349,4.155072018435759,3.251850990291261e-05,0.0010872021810873801,gpt,xanthine-guanine phsophoribosyltransferase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b2949,624.811548814847,2.26236446499478,0.268995587083122,4.69288168881631,2.69383295606239e-06,0.00011103758033961298,yqgF,ribonuclease H-like domain containing nuclease,
b3031,1770.8947940525,2.25821179295017,0.3656667491755471,3.44087012501686,0.000579846782679841,0.0136309294459659,yqiA,esterase YqiA,
b1254,1669.1515585128197,2.2214042229540296,0.347679287038614,3.51301981017459,0.00044304444271813496,0.0109272190831055,yciB,inner membrane protein,
b2748,2748.51806934522,2.20471311802168,0.297041570902195,4.05570545012485,4.99832155413556e-05,0.0016171988770316,ftsB,cell division protein FtsB,
b3190,1610.8868354116598,2.16159383786095,0.3862540635776521,3.00733104812351,0.00263552579735784,0.0477728742424684,ibaG,acid stress protein IbaG,
b2187,1716.6074759591102,2.1182575363444,0.32645249380130603,3.42548320989401,0.000613706864672189,0.0142685368135924,yejL,DUF1414 domain-containing protein YejL,
b0415,5009.19607123252,2.08986330870911,0.330707511246295,3.29555051411408,0.000982290419699364,0.020952804902454,ribE,"6,7-dimethyl-8-ribityllumazine synthase","eco00740  Riboflavin metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b0125,4492.89414912215,2.03827438407509,0.258077331313702,4.0231134551412095,5.743381178200339e-05,0.0018262077680235198,hpt,hypoxanthine phosphoribosyltransferase,"eco00230  Purine metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites"
b2156,3955.5386373422207,2.03052456814074,0.319846618352035,3.22193360508351,0.00127328637322648,0.0261915356833572,lysP,lysine:H(+) symporter,
b1253,688.637931196757,1.9495763154073602,0.262253146487757,3.62083859860072,0.000293649669248556,0.007617171161800909,yciA,acyl-CoA thioesterase,eco01040  Biosynthesis of unsaturated fatty acids
b3262,368.38044120996,1.8153277141286102,0.267595742281285,3.04686355312625,0.0023124265279884,0.0421702510467704,yhdJ,DNA adenine methyltransferase,
b0039,790.609844803752,-1.98611264163744,0.299376258844569,-3.29389058919802,0.000988109520051213,0.020952804902454,caiA,crotonobetainyl-CoA reductase,
b4185,145.225539250334,-2.1670447880156,0.378250239814855,-3.08537752305681,0.002032939321933,0.0379944995012198,yjfM,DUF1190 domain-containing protein YjfM,
b0041,223.94242778360803,-2.18684472304223,0.315819430762786,-3.75798512515741,0.000171287060919078,0.0048111994834224,fixA,putative electron transfer flavoprotein FixA,
b2993,603.134132560755,-2.26837079112261,0.35411649465680195,-3.5817896377627796,0.000341248528557227,0.00855680685357248,hybD,putative hydrogenase 2 maturation protease,
b2729,499.105319918127,-2.29059613450679,0.38754100673451797,-3.33021825324127,0.000867779355208483,0.0193418376283135,hypD,Fe-(CN)2CO cofactor assembly scaffold protein HypD,
b2202,937.0107158217869,-2.35021792039087,0.430211565820252,-3.13849749208046,0.00169816388256491,0.0330187273396389,napC,periplasmic nitrate reductase cytochrome c protein,
b3060,267.442169824577,-2.36285282918336,0.40865189164469,-3.3349969914450197,0.000853003221411699,0.0192983961896827,ttdR,DNA-binding transcriptional activator Dan,
b2726,488.144794774842,-2.41999872504719,0.378298971235345,-3.7536415190613597,0.000174284062377216,0.0048111994834224,hypA,hydrogenase 3 nickel incorporation protein HypA,
b1723,6531.63905489302,-2.66702841420206,0.5550632269276811,-3.00331265580175,0.00267057915890454,0.0481183993361903,pfkB,6-phosphofructokinase II,"eco00010  Glycolysis / Gluconeogenesis, eco00030  Pentose phosphate pathway, eco00051  Fructose and mannose metabolism, eco00052  Galactose metabolism, eco00680  Methane metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01120  Microbial metabolism in diverse environments, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism, eco01230  Biosynthesis of amino acids"
b2904,8910.827917275079,-2.70548828607782,0.45290850154057005,-3.7656353993722798,0.000166126066569224,0.00471578617270561,gcvH,glycine cleavage system H protein,"eco00260  Glycine, serine and threonine metabolism, eco00630  Glyoxylate and dicarboxylate metabolism, eco01100  Metabolic pathways, eco01110  Biosynthesis of secondary metabolites, eco01130  Biosynthesis of antibiotics, eco01200  Carbon metabolism"
b3211,199.583939510326,-2.72333427408644,0.37518402372148796,-4.59330399251149,4.3628279799391e-06,0.000166308777179798,yhcC,radical SAM family oxidoreductase YhcC,
b4074,98.71523595382601,-2.7294248581428997,0.556261569046079,-3.1090137345074,0.00187712992136778,0.035523798323243,nrfE,putative cytochrome c-type biogenesis protein NrfE,
b2147,1094.59692461983,-2.7348749848279303,0.374105390861376,-4.63739637868725,3.5282539199046096e-06,0.000141367369273694,preA,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,"eco00240  Pyrimidine metabolism, eco00410  beta-Alanine metabolism, eco00770  Pantothenate and CoA biosynthesis, eco01100  Metabolic pathways"
b2996,1369.8372093714,-2.7363591645599197,0.422355042942207,-4.11113633795894,3.93716618315199e-05,0.0012877101135983,hybA,hydrogenase 2 iron-sulfur protein,
b3051,706.167027758409,-2.73754161615862,0.550825299674065,-3.15443320629383,0.0016081018423689801,0.0318368944214247,yqiK,protein YqiK,
b0896,284.67889539214,-2.73775151570071,0.48607992595928795,-3.5750324646121094,0.00035018444033400696,0.00870830562781013,dmsC,dimethyl sulfoxide reductase subunit C,"eco00920  Sulfur metabolism, eco01100  Metabolic pathways"
b3062,109.93819778755899,-2.7439470467225497,0.482759008204887,-3.6124588398822794,0.00030330726193602,0.007800440608252,ttdB,L(+)-tartrate dehydratase subunit beta,"eco00630  Glyoxylate and dicarboxylate metabolism, eco01100  Metabolic pathways"
b2727,266.77785765781397,-2.76229368150697,0.5586766420864631,-3.1544073060320197,0.00160824458360138,0.0318368944214247,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,
b3329,103.87405304885799,-2.77157809922518,0.5788171840777161,-3.06068677288496,0.00220829980925661,0.0407654854359088,gspH,Type II secretion system protein GspH,eco03070  Bacterial secretion system
b0042,212.142164997985,-2.7834258269119903,0.42114657336229794,-4.2346915295397,2.28865650263762e-05,0.0007915594731536309,fixB,putative electron transfer flavoprotein FixB,
b3081,622.531232336018,-2.7882034211141096,0.48725925676823795,-3.6699219076399303,0.000242624578495263,0.0064606845724977605,fadH,"2,4-dienoyl-CoA reductase",
b1593,1537.6300595655403,-2.8197289018814597,0.396131135634592,-4.5937537804654,4.35343007732285e-06,0.000166308777179798,ynfK,putative dethiobiotin synthetase,"eco00780  Biotin metabolism, eco01100  Metabolic pathways"
b2146,585.9894466021041,-2.8330187565172897,0.372215665993488,-4.92461474351099,8.452671850346941e-07,3.79613277577521e-05,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,"eco00240  Pyrimidine metabolism, eco00410  beta-Alanine metabolism, eco00770  Pantothenate and CoA biosynthesis, eco01100  Metabolic pathways"
b2373,237.47433318862002,-2.8505682826984398,0.5627427584072429,-3.28847995829602,0.0010072995595798,0.0211955550683609,oxc,oxalyl-CoA decarboxylase,"eco00630  Glyoxylate and dicarboxylate metabolism, eco01100  Metabolic pathways"
b2298,269.123465940957,-2.85438158757944,0.6043316461540059,-3.0684833392075497,0.00215148325001314,0.0399618092548737,yfcC,putative transporter YfcC,
b2243,234.653965215182,-2.85969629508703,0.543092808724198,-3.42426978448806,0.000616453900221671,0.0142685368135924,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C,"eco00564  Glycerophospholipid metabolism, eco01110  Biosynthesis of secondary metabolites"
b0034,662.6729863251,-2.90166625677118,0.569968040396595,-3.33644366348674,0.0008485762507224541,0.0192983961896827,caiF,DNA-binding transcriptional activator CaiF,
b2203,280.402922955725,-2.92665896559335,0.630278833198732,-3.05683590200126,0.0022368669735303697,0.0410410531911761,napB,periplasmic nitrate reductase cytochrome c550 protein,"eco00910  Nitrogen metabolism, eco01100  Metabolic pathways, eco01120  Microbial metabolism in diverse environments"
