,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
c3503|fba,PROKKA_02719,PROKKA_01322,PROKKA_01772,PROKKA_02568,PROKKA_02979,PROKKA_03626,PROKKA_03275,PROKKA_05056,PROKKA_01637,PROKKA_01770,PROKKA_05329,PROKKA_01724,PROKKA_02350,PROKKA_01739
c0350|,,,,,,PROKKA_01536,,,,PROKKA_03975,,PROKKA_03718,,
c2884|yfcV,,,PROKKA_01145,,,PROKKA_04184,PROKKA_03848,PROKKA_04497,PROKKA_02258,PROKKA_01179,PROKKA_02724,PROKKA_01159,PROKKA_01804,PROKKA_02324
c3504|pgk,PROKKA_02720,PROKKA_01323,PROKKA_01773,PROKKA_02569,PROKKA_02980,PROKKA_03624,PROKKA_03273,PROKKA_05054,PROKKA_01635,PROKKA_01771,PROKKA_05327,PROKKA_01725,PROKKA_02351,PROKKA_01737
c2358|fliI,PROKKA_01600,PROKKA_00277,PROKKA_00674,PROKKA_01471,PROKKA_01943,PROKKA_04715,PROKKA_04338,PROKKA_03881,PROKKA_02735,PROKKA_00604,PROKKA_02139,PROKKA_00597,PROKKA_01312,
c2635|yehA,PROKKA_01870,PROKKA_00464,PROKKA_00904,PROKKA_01678,PROKKA_02152,PROKKA_04427,PROKKA_04085,PROKKA_04136,PROKKA_02491,PROKKA_00941,,PROKKA_00921,PROKKA_01568,PROKKA_02571
c1241|focC,,,,,,PROKKA_00656,,,,,,PROKKA_04592,PROKKA_03887,
c2265|zwf,PROKKA_01512,PROKKA_00176,PROKKA_00518,PROKKA_01388,PROKKA_01842,PROKKA_04804,PROKKA_04426,PROKKA_03701,PROKKA_02823,PROKKA_00516,PROKKA_02042,PROKKA_00509,PROKKA_01225,PROKKA_02925
c1767|sapF,PROKKA_00931,PROKKA_04249,PROKKA_00059,PROKKA_00689,PROKKA_01308,PROKKA_00189,PROKKA_00172,PROKKA_03215,PROKKA_03348,PROKKA_00038,PROKKA_01326,PROKKA_05044,PROKKA_00719,PROKKA_03447
c4317|chuU,PROKKA_03379,,PROKKA_02495,,,PROKKA_02895,PROKKA_02617,PROKKA_00531,PROKKA_00994,PROKKA_02510,PROKKA_04531,PROKKA_02399,PROKKA_02998,PROKKA_00972
c2556|gnd,PROKKA_01739,PROKKA_00368,PROKKA_00824,PROKKA_01573,PROKKA_02087,PROKKA_04511,PROKKA_04176,PROKKA_04054,PROKKA_02574,PROKKA_00854,PROKKA_02320,PROKKA_00832,PROKKA_01481,PROKKA_02657
c1351|flgK,PROKKA_00574,PROKKA_04049,PROKKA_04866,PROKKA_00428,PROKKA_01048,PROKKA_00550,PROKKA_00461,PROKKA_02817,PROKKA_03615,PROKKA_04748,PROKKA_01057,PROKKA_04736,PROKKA_00442,PROKKA_03740
c2184|gapA,PROKKA_01432,PROKKA_00094,PROKKA_00445,PROKKA_01299,PROKKA_01759,PROKKA_04881,PROKKA_04505,PROKKA_03623,PROKKA_02898,PROKKA_00442,PROKKA_01956,PROKKA_00431,PROKKA_01154,PROKKA_03005
c2882|yfcS,,,PROKKA_01143,,,PROKKA_04187,PROKKA_03850,PROKKA_04494,PROKKA_02260,PROKKA_01175,PROKKA_02722,PROKKA_01156,PROKKA_01802,PROKKA_02326
c4256|ftsE,PROKKA_03300,PROKKA_01862,PROKKA_02442,PROKKA_03230,PROKKA_03550,PROKKA_02949,PROKKA_02666,PROKKA_00486,PROKKA_01046,PROKKA_02458,PROKKA_04588,PROKKA_02347,PROKKA_02945,PROKKA_01017
c2990|tktB,PROKKA_02210,PROKKA_00836,PROKKA_01254,PROKKA_02040,PROKKA_02485,PROKKA_04080,PROKKA_03746,PROKKA_04601,PROKKA_02160,PROKKA_01282,PROKKA_02843,PROKKA_01260,PROKKA_01901,PROKKA_02221
c1076|ycbE,PROKKA_00446,PROKKA_03900,PROKKA_04733,PROKKA_00266,PROKKA_00896,PROKKA_00818,PROKKA_00588,PROKKA_02686,PROKKA_03746,PROKKA_04616,PROKKA_00908,PROKKA_04438,PROKKA_00244,PROKKA_03969
c4355|dppF,PROKKA_03427,PROKKA_01951,PROKKA_02538,PROKKA_03335,PROKKA_03634,PROKKA_02851,PROKKA_02571,PROKKA_00573,PROKKA_00951,PROKKA_02551,PROKKA_04480,PROKKA_02439,PROKKA_03037,PROKKA_00931
UTI89_C0598|entA,PROKKA_00090,PROKKA_03554,PROKKA_04273,PROKKA_05067,PROKKA_00478,PROKKA_01152,PROKKA_00942,PROKKA_02348,PROKKA_04085,PROKKA_04286,PROKKA_00314,PROKKA_04095,PROKKA_04804,PROKKA_04317
c0877|ybhF,PROKKA_00289,PROKKA_03755,PROKKA_04477,PROKKA_00055,PROKKA_00686,PROKKA_00958,PROKKA_00735,PROKKA_02540,PROKKA_03888,PROKKA_04475,PROKKA_00562,PROKKA_04286,PROKKA_00027,PROKKA_04123
c3495|rpiA,PROKKA_02708,PROKKA_01311,PROKKA_01762,PROKKA_02557,PROKKA_02968,PROKKA_03633,PROKKA_03282,PROKKA_05064,PROKKA_01644,PROKKA_01762,PROKKA_05342,PROKKA_01716,PROKKA_02342,PROKKA_01746
c3627|iucA,,,PROKKA_01840,,PROKKA_04996,,,PROKKA_04933,,PROKKA_01840,PROKKA_06192,,,
