,536,CFT073,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
77094_rsxE,ECP_RS08045,c2024,PROKKA_01274,PROKKA_04582,PROKKA_00292,PROKKA_01123,PROKKA_01607,PROKKA_05039,PROKKA_04664,PROKKA_03465,PROKKA_03050,PROKKA_00287,PROKKA_01782,PROKKA_00279,PROKKA_00997,PROKKA_03175,b1632,ECUMN_1923,UTI89_C1822
57692_metE_1,,,,,,,,,,,,,PROKKA_05795,,,,,,
78577_ispB,ECP_RS16695,c3945,PROKKA_03042,PROKKA_01605,PROKKA_02164,PROKKA_02956,PROKKA_03284,PROKKA_03241,PROKKA_02954,PROKKA_00194,PROKKA_01329,PROKKA_02168,PROKKA_04883,PROKKA_02050,PROKKA_02664,PROKKA_01316,b3187,ECUMN_3667,UTI89_C3621
77329_yebC,ECP_RS09275,c2278,PROKKA_01526,PROKKA_00189,PROKKA_00534,PROKKA_01401,PROKKA_01856,PROKKA_04790,PROKKA_04413,PROKKA_03714,PROKKA_02810,PROKKA_00530,PROKKA_02057,PROKKA_00523,PROKKA_01238,PROKKA_02912,b1864,ECUMN_2162,UTI89_C2068
76065_fepD,ECP_RS03100,c0677,PROKKA_00084,PROKKA_03548,PROKKA_04266,PROKKA_05060,PROKKA_00472,PROKKA_01159,PROKKA_00950,PROKKA_02341,PROKKA_04092,PROKKA_04279,PROKKA_00306,PROKKA_04088,PROKKA_04797,PROKKA_04323,b0590,ECUMN_0684,UTI89_C0592
21593_acm_1,,,,,,PROKKA_01654,,,,,,,,,,,,,
31157_nusB_2,,,,,,,,PROKKA_01311,,,,,,,,,,,
77731_alaA,ECP_RS11865,c2831,PROKKA_02063,PROKKA_00634,PROKKA_01096,PROKKA_01876,PROKKA_02331,PROKKA_04235,PROKKA_03896,PROKKA_04393,PROKKA_02305,PROKKA_01128,PROKKA_02669,PROKKA_01110,PROKKA_01756,PROKKA_02377,b2290,ECUMN_2629,UTI89_C2572
56056_rplL,,,,,,,,,,,,,PROKKA_04073,,,,,,
1476_Hypothetical_protein,,c1524,,,,,,PROKKA_00421,,,,PROKKA_04892,,,,PROKKA_03678,,,
